R,neta,mot,rgo,hniv,hop,ratio,i
-1.0,-1.2651093807935447,SL,5.393999999998567,8,7,1.2794117647059111,EURUSD
-1.0,-1.1653370331830584,SL,8.648999999998352,23,12,1.910958904109463,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,18,18,1.3471502590672932,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,15,18,1.3471502590672932,EURUSD
-1.0,-1.2493461203137637,SL,5.735000000002266,12,1,1.0571428571428463,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,12,3,2.157407407407415,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,15,3,2.157407407407415,EURUSD
-1.0,-1.4522454142946075,SL,3.1620000000009973,15,4,1.0303030303030032,EURUSD
-1.0,-1.072644145288289,SL,19.685000000000397,19,9,1.8091168091168817,EURUSD
-1.0,-1.1173766724123666,SL,12.183000000001165,12,8,1.3645833333333326,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,15,16,1.1617161716171904,EURUSD
-1.0,-1.530218761586871,SL,2.6970000000003935,23,4,1.1012658227846215,EURUSD
2.0,1.824604440083397,TP,8.152999999999633,16,8,1.9626865671642633,EURUSD
2.0,1.812483608707069,TP,7.626000000000577,16,10,1.6965517241379235,EURUSD
-1.0,-1.1867572156197264,SL,7.656999999998693,22,3,2.2660550458714606,EURUSD
-1.0,-1.318131256952175,SL,4.494999999999916,23,6,1.9594594594594918,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,23,6,1.4189189189189837,EURUSD
-1.0,-1.0897451989456526,SL,15.93399999999967,16,10,2.4245283018868706,EURUSD
-1.0,-1.1038942167974553,SL,13.763999999998333,12,11,1.069879518072321,EURUSD
-1.0,-1.375032782585753,SL,3.8130000000013986,16,4,1.3820224719101908,EURUSD
-1.0,-1.1590656284760876,SL,8.989999999999831,12,9,1.0943396226415474,EURUSD
2.0,1.8606373647792653,TP,10.261000000000298,12,11,1.828729281768048,EURUSD
-1.0,-1.2938154920896126,SL,4.866999999999511,12,3,1.3418803418802705,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,13,9,1.389610389610437,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,20,9,1.389610389610437,EURUSD
-1.0,-1.3034804753820002,SL,4.7120000000000495,2,7,1.1515151515151363,EURUSD
-1.0,-1.1922043010752488,SL,7.440000000000779,2,8,1.0762331838565053,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,20,9,2.1030927835051405,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,21,9,2.1030927835051405,EURUSD
2.0,1.8507151059609495,TP,9.57899999999956,15,11,1.1660377358490663,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,15,3,1.1647058823527108,EURUSD
2.0,1.9150478227291656,TP,16.833000000000542,11,9,3.5032258064517774,EURUSD
2.0,1.799438990182318,TP,7.129999999999637,12,11,1.05022831050231,EURUSD
2.0,1.8462365591397643,TP,9.299999999998754,12,15,1.6042780748662193,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,2,2,1.3229813664595143,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,23,2,1.3229813664595143,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,2,6,4.580645161289768,EURUSD
-1.0,-1.1837810050122084,SL,7.781000000000038,23,8,2.2818181818179837,EURUSD
-1.0,-1.2507012622721025,SL,5.703999999999709,11,9,1.3333333333332797,EURUSD
-1.0,-1.1406372934697186,SL,10.167999999999289,11,10,2.1025641025640622,EURUSD
2.0,1.6478699827628358,TP,4.060999999999648,23,1,1.2242990654205976,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,2,2,1.3846153846154723,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,2,1.3846153846154723,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,2,1.3846153846154723,EURUSD
2.0,1.5767978691919322,TP,3.3789999999989107,2,7,1.5571428571430792,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,23,9,1.967391304347855,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,23,9,1.967391304347855,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,16,10,1.2482269503545786,EURUSD
2.0,1.7658424758473745,TP,6.1069999999996405,23,11,1.1193181818180815,EURUSD
2.0,1.7681958177986825,TP,6.169000000000313,16,13,2.010101010101302,EURUSD
2.0,1.5564516129034556,TP,3.22400000000167,22,5,1.181818181818113,EURUSD
2.0,1.8093841642229107,TP,7.502000000001452,16,8,1.1308411214952485,EURUSD
-1.0,-1.1036607466473294,SL,13.79500000000089,3,14,1.8697478991596528,EURUSD
2.0,1.6057347670250222,TP,3.6269999999993807,3,21,1.4444444444442313,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,3,6,1.4347826086955542,EURUSD
-1.0,-1.0701049122462936,SL,20.39800000000147,23,9,3.3232323232321828,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,10,1.0,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,16,13,1.9890109890110386,EURUSD
2.0,1.602335928809683,TP,3.5959999999990444,16,19,1.1599999999999555,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,16,3,1.9615384615383826,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,21,3,1.9615384615383826,EURUSD
-1.0,-1.7096774193549598,SL,2.014999999999656,21,4,1.0317460317462444,EURUSD
-1.0,-1.1914067728550677,SL,7.470999999998895,22,9,1.3693181818182076,EURUSD
-1.0,-1.134880211280896,SL,10.601999999999556,22,12,1.3204633204633784,EURUSD
2.0,1.8610571317528262,TP,10.292000000000634,2,12,1.2818532818533421,EURUSD
-1.0,-1.1882817643186248,SL,7.5950000000002404,2,18,1.0425531914893598,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,22,2,1.3815789473682443,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,22,8,1.158620689655145,EURUSD
-1.0,-1.175395559916603,SL,8.152999999999633,21,9,1.0273437500000069,EURUSD
-1.0,-1.1502574340653393,SL,9.517000000001108,21,10,2.2408759124089013,EURUSD
