instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,B,1.0,1:3,0.5,1212,876,71.89333333333343,215.6800000000003,2,0.6468646864686468,0.8070776255707762,0.75,3.9013715732043504,862.7200000000012,287.5733333333337,-0.011074782946580661,-0.02220237938574979,-19.154436743674086,0.2936666666666667,0.20566666666666666,0.3425,0.251,29.0
NASDAQ,B,1.0,1:3,1.0,1212,876,71.89333333333343,215.6800000000003,5,0.6468646864686468,0.8070776255707762,0.75,3.9013715732043504,2156.800000000003,718.9333333333343,-0.011074782946580661,-0.02220237938574979,-47.88609185918521,0.37416666666666665,0.29183333333333333,0.4056666666666667,0.3105,6.0
NASDAQ,B,1.0,1:10,0.2,1212,1102,21.56800000000003,215.6800000000003,1,0.8473597359735974,0.9274047186932849,0.9090909090909091,2.1147653072859343,431.3600000000006,43.13600000000006,-0.015750919954755013,-0.02687851639392414,-11.594316831683134,0.0018333333333333333,0.0023333333333333335,0.013166666666666667,0.012,168.5
NASDAQ,B,1.0,1:10,0.5,1212,1102,21.56800000000003,215.6800000000003,2,0.8473597359735974,0.9274047186932849,0.9090909090909091,2.1147653072859343,862.7200000000012,86.27200000000012,-0.015750919954755013,-0.02687851639392414,-23.188633663366268,0.058833333333333335,0.05333333333333334,0.15516666666666667,0.12266666666666666,91.0
NASDAQ,B,1.0,1:10,1.0,1212,1102,21.56800000000003,215.6800000000003,5,0.8473597359735974,0.9274047186932849,0.9090909090909091,2.1147653072859343,2156.800000000003,215.6800000000003,-0.015750919954755013,-0.02687851639392414,-57.97158415841567,0.2663333333333333,0.17933333333333334,0.3428333333333333,0.24566666666666667,19.0
NASDAQ,B,1.0,1:30,0.2,1212,1171,7.189333333333343,215.6800000000003,1,0.9364686468646864,0.9692570452604612,0.967741935483871,0.29344290580885396,431.3600000000006,14.378666666666685,-0.013491337194735718,-0.024618933633904855,-10.619623212321212,0.0,0.0,0.0,0.0,
NASDAQ,B,1.0,1:30,0.5,1212,1171,7.189333333333343,215.6800000000003,2,0.9364686468646864,0.9692570452604612,0.967741935483871,0.29344290580885396,862.7200000000012,28.75733333333337,-0.013491337194735718,-0.024618933633904855,-21.239246424642424,0.0,0.0003333333333333333,0.011666666666666667,0.0145,195.0
NASDAQ,B,1.0,1:30,1.0,1212,1171,7.189333333333343,215.6800000000003,5,0.9364686468646864,0.9692570452604612,0.967741935483871,0.29344290580885396,2156.800000000003,71.89333333333343,-0.013491337194735718,-0.024618933633904855,-53.098116061606035,0.043833333333333335,0.034666666666666665,0.213,0.15316666666666667,71.0
NASDAQ,C,0.25,1:1,0.2,1691,1616,53.92000000000007,53.92000000000007,4,0.5044352454169131,0.5074257425742574,0.5,0.597022314125994,431.3600000000006,431.3600000000006,0.013323942253192418,-0.031186443503484075,-13.452584269662909,0.3115,0.22466666666666665,0.44066666666666665,0.32033333333333336,26.0
NASDAQ,C,0.25,1:1,0.5,1691,1616,53.92000000000007,53.92000000000007,9,0.5044352454169131,0.5074257425742574,0.5,0.597022314125994,970.5600000000013,970.5600000000013,0.013323942253192418,-0.031186443503484075,-30.268314606741463,0.3375,0.2545,0.43583333333333335,0.3455,6.0
NASDAQ,C,0.25,1:1,1.0,1691,1616,53.92000000000007,53.92000000000007,19,0.5044352454169131,0.5074257425742574,0.5,0.597022314125994,2048.9600000000028,2048.9600000000028,0.013323942253192418,-0.031186443503484075,-63.89977528089875,0.23783333333333334,0.197,0.256,0.20066666666666666,4.0
