ses,min,lado,rgo,si,mot,R,neta,res
5,59,-1,8.8,True,SL,-1.0,-1.1625,True
5,72,1,5.3,False,SL,-1.0,-1.269811320754717,True
5,76,1,3.1,True,SL,-1.0,-1.461290322580645,True
5,86,-1,3.5,False,TP,2.0,1.5914285714285714,True
5,90,-1,5.6,True,TP,2.0,1.7446428571428572,True
5,105,1,11.0,False,SL,-1.0,-1.13,True
5,110,-1,7.9,True,SL,-1.0,-1.1810126582278482,True
5,114,-1,7.8,False,SL,-1.0,-1.1833333333333333,True
5,119,1,5.8,False,SL,-1.0,-1.2465517241379311,True
5,130,-1,4.9,True,TP,2.0,1.7081632653061225,True
5,142,-1,39.2,False,cierre,-0.61,-0.6464795918367346,False
5,147,-1,24.2,True,SL,-1.0,-1.059090909090909,True
5,176,1,11.6,True,cierre,0.89,0.7667241379310346,False
5,181,-1,7.0,False,SL,-1.0,-1.2042857142857142,True
5,193,1,7.3,True,cierre,0.7,0.5041095890410958,False
5,204,1,3.8,True,cierre,0.45,0.0736842105263158,False
5,208,1,6.3,True,cierre,-0.13,-0.35698412698412696,False
6,1,1,6.1,False,TP,2.0,1.7655737704918033,True
6,9,1,7.9,True,SL,-1.0,-1.1810126582278482,True
6,12,-1,3.7,True,SL,-1.0,-1.3864864864864863,True
6,13,1,4.4,True,SL,-1.0,-1.325,True
6,20,-1,4.7,False,SL,-1.0,-1.304255319148936,True
6,24,-1,2.8,False,SL,-1.0,-1.5107142857142857,True
6,43,1,6.9,False,SL,-1.0,-1.2072463768115942,True
6,55,-1,2.8,True,TP,2.0,1.4892857142857143,True
6,59,-1,5.7,True,TP,2.0,1.7491228070175437,True
6,67,-1,10.9,True,SL,-1.0,-1.1311926605504588,True
6,83,1,7.8,True,TP,2.0,1.8166666666666667,True
6,90,1,7.9,True,TP,2.0,1.8189873417721518,True
6,116,1,6.2,True,TP,2.0,1.7693548387096774,True
6,120,1,10.6,True,cierre,0.75,0.6150943396226415,False
6,124,1,16.4,True,cierre,0.13,0.042804878048780484,False
6,128,1,11.2,False,cierre,0.18,0.052321428571428574,False
6,132,1,7.9,True,cierre,-0.06,-0.2410126582278481,False
6,140,1,10.2,True,SL,-1.0,-1.1401960784313725,True
6,145,-1,4.0,False,SL,-1.0,-1.3575,True
6,153,-1,3.7,False,SL,-1.0,-1.3864864864864863,True
6,170,1,2.4,False,SL,-1.0,-1.5958333333333332,True
6,174,1,4.7,True,SL,-1.0,-1.304255319148936,True
6,177,-1,6.5,False,cierre,0.11,-0.11,False
6,190,-1,4.1,True,SL,-1.0,-1.3487804878048781,True
6,194,-1,7.8,False,SL,-1.0,-1.1833333333333333,True
7,1,1,5.4,False,SL,-1.0,-1.2648148148148148,True
7,9,-1,3.0,False,TP,2.0,1.5233333333333334,True
7,17,-1,6.6,True,SL,-1.0,-1.2166666666666668,True
7,22,-1,3.1,True,SL,-1.0,-1.461290322580645,True
7,44,-1,4.3,False,SL,-1.0,-1.3325581395348838,True
7,51,-1,4.6,True,SL,-1.0,-1.3108695652173914,True
7,53,1,2.3,False,SL,-1.0,-1.6217391304347828,True
7,63,-1,4.6,True,SL,-1.0,-1.3108695652173914,True
7,67,1,3.5,False,TP,2.0,1.5914285714285714,True
7,80,-1,3.9,True,SL,-1.0,-1.3666666666666667,True
7,85,-1,2.3,False,SL,-1.0,-1.6217391304347828,True
7,102,1,2.3,True,TP,2.0,1.3782608695652172,True
7,106,1,3.0,False,TP,2.0,1.5233333333333334,True
7,118,1,4.2,True,TP,2.0,1.6595238095238096,True
7,120,-1,2.5,True,SL,-1.0,-1.572,True
7,124,-1,1.9,False,SL,-1.0,-1.7526315789473683,True
7,130,1,2.7,False,TP,2.0,1.4703703703703703,True
7,138,1,8.9,True,cierre,0.66,0.4993258426966293,False
7,145,-1,2.8,True,TP,2.0,1.4892857142857143,True
7,153,-1,5.8,True,SL,-1.0,-1.2465517241379311,True
7,157,-1,5.9,False,SL,-1.0,-1.2423728813559323,True
7,160,1,2.9,True,TP,2.0,1.506896551724138,True
7,196,1,6.8,True,cierre,0.0,-0.21029411764705883,False
7,203,1,3.6,False,cierre,-0.5,-0.8972222222222221,False
7,207,-1,2.1,True,cierre,0.24,-0.4409523809523809,False
8,4,1,8.0,True,TP,2.0,1.82125,True
8,15,-1,4.3,True,SL,-1.0,-1.3325581395348838,True
8,23,-1,3.1,False,SL,-1.0,-1.461290322580645,True
8,35,1,3.7,True,SL,-1.0,-1.3864864864864863,True
8,39,1,3.9,True,SL,-1.0,-1.3666666666666667,True
