i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
605,2020-02-06 03:59:00,-1,1.29857,1.29918,1.2941,6.099999999999994,7.32786885245898,1,1D,1,-1.0,SL,-1.2459016393442626,GBPUSD,0.2459016393442625
551,2020-02-06 03:59:00,-1,9413.32,9423.5,9310.24,10.180000000000291,10.125736738703043,1,12H,3,-1.0,SL,-1.1473477406679722,NAS100,0.1473477406679722
607,2020-02-06 05:59:00,1,1.29843,1.29704,1.30704,13.900000000000023,6.194244604316541,1,12H,2,-1.0,SL,-1.107913669064748,GBPUSD,0.10791366906474802
608,2020-02-06 06:59:00,-1,1.29827,1.29872,1.2941,4.500000000000615,9.266666666665417,1,1D,1,-1.0,SL,-1.3333333333332877,GBPUSD,0.3333333333332878
560,2020-02-06 12:59:00,-1,9406.74,9427.34,9310.24,20.600000000000364,4.684466019417393,1,12H,3,-1.0,SL,-1.0728155339805812,NAS100,0.07281553398058124
566,2020-02-06 18:59:00,-1,9434.78,9445.98,9310.24,11.199999999998909,11.119642857144019,1,12H,3,-1.0,SL,-1.1339285714285845,NAS100,0.13392857142858447
572,2020-02-07 02:59:00,-1,9427.4,9441.89,9310.24,14.489999999999782,8.085576259489414,1,12H,3,-1.0,SL,-1.1035196687370616,NAS100,0.1035196687370616
577,2020-02-07 07:59:00,-1,9432.96,9454.7,9310.24,21.7400000000016,5.6448942042313845,1,12H,3,-1.0,SL,-1.0689972401103904,NAS100,0.0689972401103905
648,2020-02-09 22:59:00,1,109.715,109.672,110.005,4.300000000000637,6.744186046510444,1,4H,1,-1.0,SL,-1.302325581395304,USDJPY,0.3023255813953041
660,2020-02-10 10:59:00,1,109.769,109.696,110.005,7.30000000000075,3.2328767123282978,1,4H,1,-1.0,SL,-1.1780821917808035,USDJPY,0.17808219178080362
610,2020-02-10 18:59:00,-1,9462.37,9470.3,9354.02,7.929999999998472,13.663303909208228,1,1D,1,-1.0,SL,-1.1891551071879305,NAS100,0.18915510718793052
675,2020-02-11 01:59:00,-1,1.29151,1.29223,1.28716,7.200000000000539,6.0416666666660115,1,12H,2,-1.0,SL,-1.2083333333333177,GBPUSD,0.20833333333331772
632,2020-02-12 02:59:00,-1,3360.44,3363.255,3349.946,2.8150000000000546,3.727886323268184,1,12H,1,-1.0,SL,-1.2131438721136725,SPX500,0.21314387211367258
636,2020-02-12 06:58:00,-1,3366.249,3369.8,3349.946,3.5510000000003856,4.5911010982816425,1,12H,1,-1.0,SL,-1.1689664883131328,SPX500,0.16896648831313288
642,2020-02-12 06:59:00,-1,9552.27,9561.41,9320.49,9.139999999999418,25.358862144421817,1,1D,1,-1.0,SL,-1.1641137855579973,NAS100,0.16411378555799733
707,2020-02-12 09:59:00,1,1.09203,1.09104,1.09527,9.900000000000464,3.2727272727270282,2,12H,3,-1.0,SL,-1.1212121212121156,EURUSD,0.12121212121211553
649,2020-02-12 13:59:00,-1,9566.54,9572.12,9320.49,5.579999999999927,44.09498207885382,1,1D,1,-1.0,SL,-1.2688172043010788,NAS100,0.26881720430107875
734,2020-02-13 12:59:00,1,1.08638,1.08521,1.09184,11.699999999998933,4.666666666667109,1,12H,1,-1.0,SL,-1.102564102564112,EURUSD,0.10256410256411191
736,2020-02-13 14:59:00,1,1.08553,1.08466,1.09184,8.700000000001484,7.252873563216942,1,12H,1,-1.0,SL,-1.1379310344827351,EURUSD,0.13793103448273508
669,2020-02-13 17:59:00,-1,3376.055,3382.055,3348.343,6.0,4.618666666666665,1,4H,1,-1.0,SL,-1.1,SPX500,0.09999999999999999
741,2020-02-13 19:59:00,-1,109.807,109.86,109.619,5.299999999999727,3.547169811320982,1,4H,3,-1.0,SL,-1.2452830188679371,USDJPY,0.24528301886793716
744,2020-02-13 22:59:00,1,109.814,109.76599999999999,110.133,4.800000000000182,6.645833333333136,1,1D,1,-1.0,SL,-1.270833333333323,USDJPY,0.2708333333333231
