par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
GBPUSD,H12,2021-04-15 00:00:00,-1,1.0,opuesto,1.6026785714285492,1.6026785714285492,0.0714285714285708,1,1.5312499999999785,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.0,medio,0.5223214285713763,0.5223214285713763,0.0714285714285708,1,0.4508928571428055,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.0,ext150,-1.0,3.2410714285713205,0.0714285714285708,0,-1.0714285714285707,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.25,opuesto,1.2821428571428395,1.2821428571428395,0.05714285714285664,1,1.2249999999999828,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.25,medio,0.41785714285710107,0.41785714285710107,0.05714285714285664,1,0.3607142857142444,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.25,ext150,-1.0,2.5928571428570564,0.05714285714285664,0,-1.0571428571428567,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.5,opuesto,1.0684523809523663,1.0684523809523663,0.0476190476190472,1,1.020833333333319,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.5,medio,0.3482142857142509,0.3482142857142509,0.0476190476190472,1,0.3005952380952037,False
GBPUSD,H12,2021-04-15 00:00:00,-1,1.5,ext150,-1.0,2.1607142857142136,0.0476190476190472,0,-1.0476190476190472,False
GBPUSD,H12,2021-04-15 00:00:00,-1,2.0,opuesto,0.8013392857142746,0.8013392857142746,0.0357142857142854,1,0.7656249999999892,False
GBPUSD,H12,2021-04-15 00:00:00,-1,2.0,medio,0.26116071428568816,0.26116071428568816,0.0357142857142854,1,0.22544642857140276,False
GBPUSD,H12,2021-04-15 00:00:00,-1,2.0,ext150,-1.0,1.6205357142856602,0.0357142857142854,0,-1.0357142857142854,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.0,opuesto,0.08284023668640919,0.08284023668640919,0.018934911242603897,1,0.0639053254438053,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.0,ext150,0.6390532544378899,0.6390532544378899,0.018934911242603897,1,0.6201183431952859,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.25,opuesto,0.06627218934912735,0.06627218934912735,0.015147928994083116,1,0.051124260355044235,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.25,ext150,0.5112426035503119,0.5112426035503119,0.015147928994083116,1,0.4960946745562288,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.5,opuesto,0.05522682445760613,0.05522682445760613,0.01262327416173593,1,0.04260355029587019,False
GBPUSD,H12,2021-04-16 00:00:00,1,1.5,ext150,0.42603550295859327,0.42603550295859327,0.01262327416173593,1,0.41341222879685735,False
GBPUSD,H12,2021-04-16 00:00:00,1,2.0,opuesto,0.041420118343204596,0.041420118343204596,0.009467455621301949,1,0.03195266272190265,False
GBPUSD,H12,2021-04-16 00:00:00,1,2.0,ext150,0.3195266272189449,0.3195266272189449,0.009467455621301949,1,0.31005917159764296,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.0,opuesto,1.262599469495971,1.262599469495971,0.0424403183023867,1,1.2201591511935843,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.0,medio,0.34748010610077046,0.34748010610077046,0.0424403183023867,1,0.30503978779838375,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.0,ext150,1.1114058355437293,2.745358090185602,0.0424403183023867,0,1.0689655172413426,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.25,opuesto,1.0100795755967769,1.0100795755967769,0.03395225464190936,1,0.9761273209548675,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.25,medio,0.2779840848806164,0.2779840848806164,0.03395225464190936,1,0.244031830238707,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.25,ext150,0.8891246684349834,2.1962864721484814,0.03395225464190936,0,0.8551724137930741,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.5,opuesto,0.8417329796639808,0.8417329796639808,0.028293545534924466,1,0.8134394341290563,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.5,medio,0.2316534040671803,0.2316534040671803,0.028293545534924466,1,0.20335985853225583,False
GBPUSD,H12,2021-04-20 00:00:00,-1,1.5,ext150,0.7409372236958195,1.8302387267904012,0.028293545534924466,0,0.712643678160895,False
GBPUSD,H12,2021-04-20 00:00:00,-1,2.0,opuesto,0.6312997347479855,0.6312997347479855,0.02122015915119335,1,0.6100795755967922,False
GBPUSD,H12,2021-04-20 00:00:00,-1,2.0,medio,0.17374005305038523,0.17374005305038523,0.02122015915119335,1,0.15251989389919188,False
GBPUSD,H12,2021-04-20 00:00:00,-1,2.0,ext150,0.5557029177718646,1.372679045092801,0.02122015915119335,0,0.5344827586206713,False
GBPUSD,H12,2021-04-21 12:00:00,1,1.0,opuesto,0.40879120879119796,0.40879120879119796,0.03516483516483475,1,0.3736263736263632,False
