tf,ema,fib,rr,filtro,n,R,z,fuente
15,50,0.382,2.0,K<=20/>=80,6796,-0.6893854397559516,-50.02708037424011,real
15,50,0.382,2.0,K<=30/>=70,12182,-0.6550474638241,-62.22574433680808,real
15,50,0.382,2.0,cruce K>D,13040,-0.3377030633166383,-28.30198145275443,real
15,50,0.382,3.0,sin filtro,57693,-0.5282133330032459,-86.04949132104225,real
15,50,0.382,3.0,K<=20/>=80,6475,-0.8062077477308318,-54.43159675083725,real
15,50,0.382,3.0,K<=30/>=70,11644,-0.7616772505623992,-66.02028207218036,real
15,50,0.382,3.0,cruce K>D,12673,-0.3979521162945513,-27.958230216001954,real
15,50,0.5,1.0,sin filtro,58119,-0.3885910084306104,-94.05261263546771,real
15,50,0.5,1.0,K<=20/>=80,8669,-0.5093898160566965,-48.651423499252694,real
15,50,0.5,1.0,K<=30/>=70,14792,-0.5186256177981249,-64.9439354972191,real
15,50,0.5,1.0,cruce K>D,11425,-0.35525137172034305,-37.83412561584117,real
15,50,0.5,2.0,sin filtro,56600,-0.3999922860594208,-71.41356055863618,real
15,50,0.5,2.0,K<=20/>=80,8195,-0.5421294862904468,-39.1452797900124,real
15,50,0.5,2.0,K<=30/>=70,14124,-0.5363358543330342,-50.66104854822302,real
15,50,0.5,2.0,cruce K>D,11181,-0.3364809947651784,-25.906963389274416,real
15,50,0.5,3.0,sin filtro,55158,-0.45820707712500564,-69.10951222647489,real
15,50,0.5,3.0,K<=20/>=80,7792,-0.6827327526948808,-44.71014521441098,real
15,50,0.5,3.0,K<=30/>=70,13554,-0.636887017868037,-52.99505835885182,real
15,50,0.5,3.0,cruce K>D,10916,-0.37743650223953773,-24.117226931463176,real
15,50,0.618,1.0,sin filtro,51196,-0.3929382092509659,-88.86050718272078,real
15,50,0.618,1.0,K<=20/>=80,10411,-0.41305456284574615,-42.06529587378755,real
15,50,0.618,1.0,K<=30/>=70,16349,-0.4318505518599149,-55.31033852554416,real
15,50,0.618,1.0,cruce K>D,9066,-0.39308169880732674,-37.372681689679176,real
15,50,0.618,2.0,sin filtro,50283,-0.374969264309301,-61.80640627913884,real
15,50,0.618,2.0,K<=20/>=80,9947,-0.4639156637693961,-35.39560623092093,real
15,50,0.618,2.0,K<=30/>=70,15729,-0.4593141020989644,-43.89387491689832,real
15,50,0.618,2.0,cruce K>D,8868,-0.36144379081304506,-24.826898902380265,real
15,50,0.618,3.0,sin filtro,49416,-0.4006022065342128,-54.837408235731736,real
15,50,0.618,3.0,K<=20/>=80,9589,-0.5475622819811522,-35.90119955378636,real
15,50,0.618,3.0,K<=30/>=70,15267,-0.516275777835401,-41.8141049989666,real
15,50,0.618,3.0,cruce K>D,8729,-0.3537059719502082,-19.859995309142768,real
15,50,0.705,1.0,sin filtro,43031,-0.4120963239695242,-85.27567341248655,real
15,50,0.705,1.0,K<=20/>=80,10491,-0.36364949534479457,-36.83868717738435,real
15,50,0.705,1.0,K<=30/>=70,16271,-0.39566135204327607,-50.08355684101789,real
15,50,0.705,1.0,cruce K>D,7525,-0.43387364349148094,-37.74955780380784,real
15,50,0.705,2.0,sin filtro,42516,-0.3743864765766724,-56.22258718844036,real
15,50,0.705,2.0,K<=20/>=80,10248,-0.35803290152327144,-26.47898034270853,real
15,50,0.705,2.0,K<=30/>=70,15892,-0.3908927413261665,-36.293063155359356,real
15,50,0.705,2.0,cruce K>D,7363,-0.39089332107749075,-24.557753336225435,real
15,50,0.705,3.0,sin filtro,42042,-0.3656018945733617,-44.959883317268165,real
15,50,0.705,3.0,K<=20/>=80,9983,-0.37519144980088087,-22.849118642629982,real
15,50,0.705,3.0,K<=30/>=70,15555,-0.4209470242180142,-32.51131729399349,real
15,50,0.705,3.0,cruce K>D,7282,-0.3630280235435534,-18.534117196958793,real
15,50,0.786,1.0,sin filtro,31575,-0.450384957140143,-80.1748435003255,real
15,50,0.786,1.0,K<=20/>=80,9402,-0.35487881836773355,-34.065038449770334,real
15,50,0.786,1.0,K<=30/>=70,14242,-0.38426278087838195,-45.51904324080953,real
15,50,0.786,1.0,cruce K>D,5741,-0.47252818050930884,-36.11591705083315,real
15,50,0.786,2.0,sin filtro,31323,-0.38245607623424294,-49.04334935625135,real
15,50,0.786,2.0,K<=20/>=80,9250,-0.34354129190316035,-23.814669208358183,real
15,50,0.786,2.0,K<=30/>=70,14056,-0.3395249569131394,-28.937595561223187,real
15,50,0.786,2.0,cruce K>D,5693,-0.35296077554559374,-19.165894584391985,real
15,50,0.786,3.0,sin filtro,31028,-0.367042942368874,-38.40371294321242,real
15,50,0.786,3.0,K<=20/>=80,9068,-0.3917226659248675,-22.57748013273178,real
15,50,0.786,3.0,K<=30/>=70,13834,-0.3514368983804256,-24.571067958898148,real
15,50,0.786,3.0,cruce K>D,5612,-0.3309180532044654,-14.575656249966647,real
15,100,0.382,1.0,sin filtro,64668,-0.4783742461531114,-125.43041792916937,real
15,100,0.382,1.0,K<=20/>=80,10363,-0.7814633827511946,-94.28863405450785,real
15,100,0.382,1.0,K<=30/>=70,17447,-0.7396513151984908,-112.70485447152504,real
15,100,0.382,1.0,cruce K>D,14043,-0.40940764918154826,-48.792825454308485,real
15,100,0.382,2.0,sin filtro,62377,-0.5252633087180649,-105.30902018127513,real
15,100,0.382,2.0,K<=20/>=80,9893,-0.8535996695298371,-86.65061948728112,real
15,100,0.382,2.0,K<=30/>=70,16724,-0.7936494312035313,-98.55744053628949,real
15,100,0.382,2.0,cruce K>D,13671,-0.4161608715896666,-36.642904727648045,real
15,100,0.382,3.0,sin filtro,60472,-0.5933034554293475,-102.90535644503224,real
15,100,0.382,3.0,K<=20/>=80,9595,-0.9286834958224872,-88.83710251685088,real
15,100,0.382,3.0,K<=30/>=70,16225,-0.8665654081627716,-98.94980621974307,real
15,100,0.382,3.0,cruce K>D,13340,-0.4654069262309476,-34.553743521637095,real
15,100,0.5,1.0,sin filtro,60367,-0.4590864265919052,-114.77719382777562,real
15,100,0.5,1.0,K<=20/>=80,11264,-0.6939770223301797,-81.40978899908814,real
15,100,0.5,1.0,K<=30/>=70,18667,-0.6650120842237063,-99.09258538881302,real
15,100,0.5,1.0,cruce K>D,11951,-0.43112503798395785,-47.41281269659454,real
15,100,0.5,2.0,sin filtro,58916,-0.47294837015242563,-88.57525407869635,real
15,100,0.5,2.0,K<=20/>=80,10802,-0.7211560403096848,-66.36187585742006,real
15,100,0.5,2.0,K<=30/>=70,18018,-0.6821607925674443,-78.89707472308794,real
15,100,0.5,2.0,cruce K>D,11724,-0.42294374204667784,-34.25394442193566,real
15,100,0.5,3.0,sin filtro,57532,-0.5309049142443278,-84.81873362652249,real
15,100,0.5,3.0,K<=20/>=80,10405,-0.8323648143236603,-71.53064318819546,real
15,100,0.5,3.0,K<=30/>=70,17460,-0.7643955849868009,-79.34534379569381,real
15,100,0.5,3.0,cruce K>D,11464,-0.46690218322868055,-31.742406742091973,real
15,100,0.618,1.0,sin filtro,52873,-0.46357074944891247,-107.79161094302655,real
15,100,0.618,1.0,K<=20/>=80,12250,-0.5846952779317341,-67.29285680613631,real
15,100,0.618,1.0,K<=30/>=70,19138,-0.5791282160952322,-83.24415644141655,real
15,100,0.618,1.0,cruce K>D,9467,-0.4660143953464639,-45.781826276417526,real
15,100,0.618,2.0,sin filtro,52017,-0.4420396499835385,-75.78058615415725,real
15,100,0.618,2.0,K<=20/>=80,11811,-0.6299440139108639,-56.441667021523834,real
15,100,0.618,2.0,K<=30/>=70,18556,-0.599456121409033,-66.07677170801999,real
15,100,0.618,2.0,cruce K>D,9276,-0.4340311284850608,-31.19540016446926,real
15,100,0.618,3.0,sin filtro,51203,-0.4691191636500403,-67.29684724709675,real
15,100,0.618,3.0,K<=20/>=80,11481,-0.7003451673917171,-55.04660338963598,real
15,100,0.618,3.0,K<=30/>=70,18127,-0.650016121593822,-61.70508340770568,real
15,100,0.618,3.0,cruce K>D,9147,-0.42643434726688784,-25.183658482261137,real
15,100,0.705,1.0,sin filtro,44041,-0.4720073815546814,-99.72015360060252,real
15,100,0.705,1.0,K<=20/>=80,11726,-0.51043294983674,-55.839103005192,real
15,100,0.705,1.0,K<=30/>=70,18082,-0.5200665637403028,-70.85275518180833,real
15,100,0.705,1.0,cruce K>D,7699,-0.4854633611894412,-43.035006785669005,real
15,100,0.705,2.0,sin filtro,43545,-0.4346723445418968,-67.3221010480258,real
15,100,0.705,2.0,K<=20/>=80,11497,-0.5072614149565171,-41.72289900483095,real
15,100,0.705,2.0,K<=30/>=70,17717,-0.519097351902501,-53.19223922387003,real
15,100,0.705,2.0,cruce K>D,7542,-0.44649831190773703,-28.872801567106578,real
15,100,0.705,3.0,sin filtro,43105,-0.4252886243474939,-54.18890291315168,real
15,100,0.705,3.0,K<=20/>=80,11256,-0.5270708619716042,-36.30867034011858,real
15,100,0.705,3.0,K<=30/>=70,17403,-0.5448626630205147,-47.00180239542104,real
15,100,0.705,3.0,cruce K>D,7469,-0.42454588897864187,-22.459264298068646,real
15,100,0.786,1.0,sin filtro,32006,-0.49456742345329807,-89.30553056493268,real
15,100,0.786,1.0,K<=20/>=80,10007,-0.4575994207653256,-45.789526216321256,real
15,100,0.786,1.0,K<=30/>=70,15111,-0.46955159444940153,-57.86778334831416,real
15,100,0.786,1.0,cruce K>D,5823,-0.503218038498024,-38.953775360094205,real
15,100,0.786,2.0,sin filtro,31761,-0.43467361558335066,-57.03513807730334,real
15,100,0.786,2.0,K<=20/>=80,9859,-0.4507261571021704,-33.29172189585852,real
15,100,0.786,2.0,K<=30/>=70,14928,-0.4294795197891667,-38.68466914673759,real
15,100,0.786,2.0,cruce K>D,5780,-0.389695920267609,-21.541758432920425,real
15,100,0.786,3.0,sin filtro,31469,-0.4172460897927036,-44.792211088106804,real
15,100,0.786,3.0,K<=20/>=80,9684,-0.5001579443760155,-31.122738200343885,real
15,100,0.786,3.0,K<=30/>=70,14709,-0.44159518962171374,-32.89878734457315,real
15,100,0.786,3.0,cruce K>D,5700,-0.36621551408879044,-16.452358712690376,real
15,200,0.382,1.0,sin filtro,65607,-0.5298879663695419,-142.26400114669264,real
15,200,0.382,1.0,K<=20/>=80,12576,-0.8747963293777319,-127.53978916992459,real
15,200,0.382,1.0,K<=30/>=70,20390,-0.814357023527992,-142.71745289772934,real
15,200,0.382,1.0,cruce K>D,14674,-0.46831220319347355,-57.865044046918854,real
15,200,0.382,2.0,sin filtro,63480,-0.5760605351851673,-119.65490227303317,real
15,200,0.382,2.0,K<=20/>=80,12131,-0.944059289138589,-120.46502756368825,real
15,200,0.382,2.0,K<=30/>=70,19700,-0.8658022005175061,-126.33507303910092,real
15,200,0.382,2.0,cruce K>D,14329,-0.47842019467880903,-44.244458163126474,real
15,200,0.382,3.0,sin filtro,61748,-0.6365887893889252,-114.82032285259098,real
15,200,0.382,3.0,K<=20/>=80,11867,-0.9977839770932184,-120.67826714801154,real
15,200,0.382,3.0,K<=30/>=70,19247,-0.919333653899762,-123.01034678697381,real
15,200,0.382,3.0,cruce K>D,14018,-0.518709350383544,-40.5688127395752,real
15,200,0.5,1.0,sin filtro,61112,-0.5133009055327598,-131.00070978292334,real
15,200,0.5,1.0,K<=20/>=80,13156,-0.7974058118689437,-108.50540557062197,real
15,200,0.5,1.0,K<=30/>=70,21148,-0.74760457450912,-124.56061031825544,real
15,200,0.5,1.0,cruce K>D,12500,-0.49266015987242895,-56.23060738480372,real
15,200,0.5,2.0,sin filtro,59771,-0.5266344405785446,-101.71362885443905,real
15,200,0.5,2.0,K<=20/>=80,12731,-0.8230792733248307,-89.80253252185294,real
15,200,0.5,2.0,K<=30/>=70,20558,-0.760995766516057,-99.7202745922149,real
15,200,0.5,2.0,cruce K>D,12296,-0.49058864826787396,-41.789866734269495,real
15,200,0.5,3.0,sin filtro,58506,-0.579885806788673,-96.02010988225085,real
15,200,0.5,3.0,K<=20/>=80,12357,-0.9186966620663619,-95.64000508696788,real
15,200,0.5,3.0,K<=30/>=70,20036,-0.8297414543381374,-98.22393286169678,real
15,200,0.5,3.0,cruce K>D,12049,-0.531808445609349,-38.290522362760136,real
15,200,0.618,1.0,sin filtro,53280,-0.5108427623275222,-120.553967193535,real
15,200,0.618,1.0,K<=20/>=80,13420,-0.696322959963979,-88.08325422835382,real
15,200,0.618,1.0,K<=30/>=70,20778,-0.6652140760877092,-103.17603609725413,real
15,200,0.618,1.0,cruce K>D,10068,-0.5124247427318807,-52.44774782035407,real
15,200,0.618,2.0,sin filtro,52495,-0.49125695810108505,-86.2392013706386,real
15,200,0.618,2.0,K<=20/>=80,13021,-0.7359767391567114,-74.09340409214502,real
15,200,0.618,2.0,K<=30/>=70,20254,-0.6825031494699929,-82.42596328684921,real
15,200,0.618,2.0,cruce K>D,9901,-0.47966624045067835,-36.21983100176442,real
15,200,0.618,3.0,sin filtro,51751,-0.5160244436328124,-76.08668191765342,real
15,200,0.618,3.0,K<=20/>=80,12711,-0.803144476927556,-72.27700885411119,real
15,200,0.618,3.0,K<=30/>=70,19859,-0.7288915282819326,-76.53518951837417,real
15,200,0.618,3.0,cruce K>D,9772,-0.4808280526261917,-30.035895003324786,real
15,200,0.705,1.0,sin filtro,44111,-0.5153139092294279,-109.94377961373192,real
15,200,0.705,1.0,K<=20/>=80,12403,-0.6194454950114313,-72.04923258753782,real
15,200,0.705,1.0,K<=30/>=70,19050,-0.601959441012804,-86.22712416176186,real
15,200,0.705,1.0,cruce K>D,8021,-0.5334901702286956,-48.69298559659137,real
15,200,0.705,2.0,sin filtro,43636,-0.480476910376568,-75.73457762506916,real
15,200,0.705,2.0,K<=20/>=80,12186,-0.6204761338238718,-55.3874483051141,real
15,200,0.705,2.0,K<=30/>=70,18699,-0.6041149299712351,-66.1135824406231,real
15,200,0.705,2.0,cruce K>D,7876,-0.494660009897046,-33.22776293702908,real
15,200,0.705,3.0,sin filtro,43232,-0.47371170027881415,-61.71471367710401,real
15,200,0.705,3.0,K<=20/>=80,11967,-0.6447796667282782,-48.916026033341744,real
15,200,0.705,3.0,K<=30/>=70,18412,-0.6312235710595765,-58.7504953868457,real
15,200,0.705,3.0,cruce K>D,7807,-0.47456594108102246,-26.19043413238035,real
15,200,0.786,1.0,sin filtro,31874,-0.5324864613985906,-96.64353512660679,real
15,200,0.786,1.0,K<=20/>=80,10313,-0.5349774840548384,-55.144722817000364,real
15,200,0.786,1.0,K<=30/>=70,15498,-0.532277590972287,-67.24086351496088,real
15,200,0.786,1.0,cruce K>D,5931,-0.5438062047893428,-42.75264620301795,real
15,200,0.786,2.0,sin filtro,31640,-0.4781560935378863,-63.5318274282877,real
15,200,0.786,2.0,K<=20/>=80,10170,-0.5388317926331015,-41.78276064538072,real
15,200,0.786,2.0,K<=30/>=70,15321,-0.502292899033457,-47.01635633879959,real
15,200,0.786,2.0,cruce K>D,5889,-0.4369811679091077,-24.685438149242234,real
15,200,0.786,3.0,sin filtro,31353,-0.46182774360494605,-50.38024477462979,real
15,200,0.786,3.0,K<=20/>=80,9993,-0.5846755528078704,-38.537080008201876,real
15,200,0.786,3.0,K<=30/>=70,15098,-0.5111499558203871,-39.76642973226977,real
15,200,0.786,3.0,cruce K>D,5812,-0.41324895473562967,-19.039420167733002,real
60,10,0.382,1.0,sin filtro,14034,-0.16461572707402786,-19.481398579454588,real
60,10,0.382,1.0,K<=20/>=80,1049,-0.12094125051063802,-3.9089028983122853,real
60,10,0.382,1.0,K<=30/>=70,2058,-0.13535045203597168,-6.113924047906825,real
60,10,0.382,1.0,cruce K>D,4499,-0.1869736210141605,-12.529162594512455,real
60,10,0.382,2.0,sin filtro,13423,-0.16313062042070997,-13.653101284698131,real
60,10,0.382,2.0,K<=20/>=80,906,-0.19793430434768833,-4.378403064630009,real
60,10,0.382,2.0,K<=30/>=70,1827,-0.1999038889317498,-6.254765251712169,real
60,10,0.382,2.0,cruce K>D,4365,-0.17595559192387672,-8.394033623739451,real
60,10,0.382,3.0,sin filtro,12825,-0.23020419864164923,-15.922941343711607,real
60,10,0.382,3.0,K<=20/>=80,824,-0.34524054154930695,-6.449211203073724,real
60,10,0.382,3.0,K<=30/>=70,1688,-0.3437994700148699,-9.133362576335978,real
60,10,0.382,3.0,cruce K>D,4259,-0.20687567952682254,-8.114763511876655,real
60,10,0.5,1.0,sin filtro,13597,-0.15272685935150968,-17.699738097717212,real
60,10,0.5,1.0,K<=20/>=80,1704,-0.032493709735236624,-1.3369974328992213,real
60,10,0.5,1.0,K<=30/>=70,2894,-0.08263844151486698,-4.417544161979334,real
60,10,0.5,1.0,cruce K>D,4104,-0.20439746551759452,-13.007800240178153,real
60,10,0.5,2.0,sin filtro,13143,-0.13926783679506838,-11.388641351438215,real
60,10,0.5,2.0,K<=20/>=80,1503,-0.0893575845324442,-2.4649489814629684,real
