dia,ts,i,fin,lado,entrada,stop,obj,riesgo,exceso,mecha,cuerpo,visto,A,B,C
2020-05-07,2020-05-07 06:44:00,26008,26071,1,1.07941,1.07865,1.08045,7.599999999998719,1.9999999999997797,3.4000000000000696,6.699999999999484,False,False,False,True
2020-05-12,2020-05-12 07:09:00,26877,26935,-1,1.082,1.08276,1.0804800000000003,7.599999999998719,3.2999999999994145,10.399999999999299,5.499999999998284,True,False,False,True
2020-05-15,2020-05-15 06:09:00,27729,27799,-1,1.08061,1.0811,1.0796300000000003,4.899999999998794,1.500000000000945,2.100000000000435,3.4000000000000696,False,False,True,False
2020-05-21,2020-05-21 10:59:00,28938,28950,-1,1.09849,1.09934,1.09679,8.500000000000174,6.00000000000156,11.000000000001009,5.9000000000009045,False,False,False,True
2020-05-28,2020-05-28 07:59:00,30339,30387,1,1.10042,1.0995,1.10351,9.200000000000319,3.1999999999987594,9.600000000000719,6.899999999998574,False,False,False,True
2020-06-02,2020-06-02 07:04:00,31192,31251,1,1.11234,1.11141,1.11384,9.300000000000974,0.40000000000040004,3.8000000000004697,5.00000000000167,False,True,True,True
2020-06-08,2020-06-08 10:49:00,32389,32403,1,1.12741,1.12689,1.13198,5.20000000000076,10.000000000001119,12.700000000001044,3.900000000001125,False,False,False,True
2020-06-16,2020-06-16 08:14:00,34084,34129,1,1.1324,1.13162,1.13483,7.800000000000029,2.6999999999999247,3.5999999999991594,6.399999999999739,False,False,False,True
2020-06-17,2020-06-17 06:19:00,34348,34416,-1,1.12754,1.12842,1.12578,8.799999999999919,0.5000000000010552,3.4000000000000696,5.699999999999594,False,True,True,True
2020-06-26,2020-06-26 07:24:00,36375,36430,1,1.12111,1.12046,1.12263,6.500000000000394,2.20000000000109,3.1000000000003247,5.300000000001415,True,False,False,True
2020-06-29,2020-06-29 06:34:00,36652,36717,-1,1.12609,1.12678,1.1247100000000003,6.899999999998574,4.100000000000215,7.599999999998719,4.899999999998794,True,False,False,True
