ts,dir,riesgo_u,motivo,bruto,R
2021-11-22 14:15:00,corto,24.270000000000437,SL,-1.0,-1.0618046971569828
2021-11-23 12:15:00,corto,40.01000000000022,SL,-1.0,-1.037490627343164
2021-11-23 13:45:00,corto,28.170000000000073,SL,-1.0,-1.0532481363152288
2021-11-26 14:30:00,corto,102.64999999999964,SL,-1.0,-1.0146127618119825
2021-12-02 07:15:00,corto,52.81999999999971,SL,-1.0,-1.0283983339644076
2021-12-02 09:30:00,corto,57.461999999999534,SL,-1.0,-1.0261042079983296
2021-12-02 15:00:00,corto,123.05000000000109,SL,-1.0,-1.0121901665989435
2021-12-06 09:30:00,corto,76.82200000000012,SL,-1.0,-1.0195256567129207
2021-12-08 11:00:00,largo,32.75,SL,-1.0,-1.0458015267175573
2021-12-10 10:00:00,corto,19.152000000000044,SL,-1.0,-1.0783208020050123
2021-12-13 06:30:00,largo,14.819999999999709,SL,-1.0,-1.1012145748987874
2021-12-14 08:45:00,corto,25.780000000000655,TP,3.0,2.941815360744765
2021-12-21 10:45:00,largo,40.150000000001455,SL,-1.0,-1.0373599003735976
2022-01-03 14:30:00,largo,75.04000000000087,SL,-1.0,-1.0199893390191894
2022-01-05 10:30:00,corto,34.26000000000022,TP,3.0,2.9562171628721545
2022-01-19 15:30:00,corto,163.59000000000015,TP,3.0,2.990830735375023
2022-01-21 08:00:00,corto,59.470000000001164,SL,-1.0,-1.0252228014124765
2022-02-08 09:30:00,corto,32.530000000000655,SL,-1.0,-1.0461112818936358
2022-02-11 14:45:00,corto,129.17200000000048,TP,3.0,2.988387576254916
2022-02-22 06:45:00,corto,56.30199999999968,SL,-1.0,-1.0266420375830345
2022-02-24 09:30:00,corto,92.03000000000065,SL,-1.0,-1.0162990329240464
2022-03-02 08:45:00,corto,110.23999999999978,SL,-1.0,-1.0136066763425253
2022-03-08 12:45:00,corto,114.20000000000073,SL,-1.0,-1.0131348511383538
2022-03-14 06:45:00,corto,43.797999999998865,SL,-1.0,-1.0342481391844385
2022-03-17 12:45:00,largo,161.23999999999978,TP,3.0,2.9906970974944183
2022-03-24 12:15:00,corto,50.090000000000146,SL,-1.0,-1.0299460970253542
2022-04-01 10:30:00,corto,16.420000000000073,TP,3.0,2.908647990255786
2022-04-14 09:45:00,largo,25.69000000000051,SL,-1.0,-1.0583884780070054
2022-04-14 13:15:00,largo,47.56999999999971,SL,-1.0,-1.0315324784528066
2022-04-22 07:15:00,corto,93.61000000000058,SL,-1.0,-1.0160239290674071
2022-04-27 07:15:00,corto,127.58799999999974,SL,-1.0,-1.011756591528984
2022-05-02 07:45:00,corto,74.67000000000007,SL,-1.0,-1.0200883889112093
2022-05-04 07:45:00,largo,37.07999999999993,SL,-1.0,-1.040453074433657
2022-05-06 06:45:00,corto,51.52000000000044,SL,-1.0,-1.0291149068322978
2022-05-12 15:45:00,corto,281.5480000000007,SL,-1.0,-1.005327688351542
2022-05-16 14:15:00,largo,163.1800000000003,SL,-1.0,-1.009192302978306
2022-05-23 14:15:00,largo,112.31000000000131,SL,-1.0,-1.0133558899474666
2022-05-27 06:45:00,largo,37.347999999999956,TP,3.0,2.95983720681161
2022-05-31 10:30:00,largo,61.73999999999978,SL,-1.0,-1.024295432458698
2022-06-08 13:30:00,largo,57.71800000000076,SL,-1.0,-1.025988426487404
2022-06-17 08:45:00,corto,38.03200000000106,SL,-1.0,-1.0394404711821612
2022-07-01 14:15:00,corto,169.29000000000087,SL,-1.0,-1.0088605351763247
2022-07-07 10:45:00,largo,39.55999999999949,TP,3.0,2.9620829120323555
2022-07-08 06:45:00,largo,26.537999999998647,SL,-1.0,-1.0565227221343008
2022-07-08 09:30:00,largo,33.850000000000364,SL,-1.0,-1.0443131462333821
2022-07-12 09:15:00,corto,25.079999999999927,SL,-1.0,-1.0598086124401915
2022-07-12 13:45:00,corto,169.65999999999985,SL,-1.0,-1.0088412118354355
