i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
107688,2023-02-24 12:29:00,1,3987.57,3984.819,4052.777,2.7510000000002037,23.703017084694675,1,12H,1,-1.0,SL,-1.218102508178828,SPX500,0.2181025081788279
107693,2023-02-24 13:19:00,1,3983.097,3979.704,4052.777,3.393000000000029,20.536398467432726,1,12H,1,-1.0,SL,-1.1768346595932788,SPX500,0.17683465959327876
107696,2023-02-24 13:49:00,1,3961.634,3955.757,4052.777,5.876999999999953,15.508422664624938,1,12H,1,-1.0,SL,-1.1020929045431351,SPX500,0.10209290454313508
107924,2023-02-24 15:47:00,1,11925.807,11906.659,12255.899,19.148000000001048,17.23898057238253,2,12H,2,-1.0,SL,-1.0783371631501941,NAS100,0.07833716315019416
117494,2023-02-24 16:09:00,1,1.19468,1.19359,1.20689,10.900000000000354,11.201834862385008,1,12H,1,-1.0,SL,-1.1376146788990782,GBPUSD,0.1376146788990781
117498,2023-02-24 16:49:00,1,1.19453,1.19356,1.20689,9.700000000001374,12.742268041235233,1,12H,1,-1.0,SL,-1.15463917525771,GBPUSD,0.15463917525771004
107700,2023-02-24 17:29:00,1,3961.493,3957.497,4052.777,3.9960000000000946,22.84384384384333,1,12H,1,-1.0,SL,-1.1501501501501465,SPX500,0.1501501501501466
107928,2023-02-24 17:29:00,1,11947.269,11935.829,12255.899,11.44000000000051,26.97814685314558,2,12H,2,-1.0,SL,-1.1311188811188753,NAS100,0.1311188811188753
107942,2023-02-26 23:29:00,1,11971.889,11963.329,12255.899,8.55999999999949,33.178738317759006,1,12H,2,-1.0,SL,-1.1752336448598235,NAS100,0.1752336448598235
107947,2023-02-27 00:19:00,1,11986.559,11978.929,12255.899,7.6299999999992,35.30013106160267,1,12H,2,-1.0,SL,-1.1965923984272815,NAS100,0.19659239842728143
107719,2023-02-27 00:19:00,1,3971.414,3968.161,3996.817,3.2530000000001564,7.809099292959905,2,4H,1,7.809099292959905,TP,7.624654165385367,SPX500,0.1844451275745377
107969,2023-02-27 03:59:00,1,11999.869,11993.629,12255.899,6.239999999999782,41.030448717949966,1,12H,2,-1.0,SL,-1.2403846153846239,NAS100,0.2403846153846238
107751,2023-02-27 05:39:00,1,3971.679,3968.429,3996.817,3.25,7.734769230769206,2,4H,1,7.734769230769206,TP,7.550153846153822,SPX500,0.1846153846153846
107979,2023-02-27 05:39:00,1,11989.529,11980.319,12255.899,9.210000000000946,28.921824104231447,1,12H,2,-1.0,SL,-1.1628664495113838,NAS100,0.16286644951138393
107757,2023-02-27 06:39:00,1,3970.727,3968.661,3996.817,2.0659999999998035,12.628267182963517,2,4H,1,12.628267182963517,TP,12.337850919652745,SPX500,0.290416263310773
107996,2023-02-27 08:29:00,1,12029.919,12019.009,12255.899,10.909999999999854,20.71310724106348,1,12H,2,-1.0,SL,-1.13748854262145,NAS100,0.13748854262145005
108001,2023-02-27 09:19:00,1,12027.899,12021.879,12255.899,6.019999999998618,37.87375415283262,1,12H,2,-1.0,SL,-1.249169435216004,NAS100,0.24916943521600407
108008,2023-02-27 10:29:00,1,12040.929,12034.419,12255.899,6.510000000000218,33.02150537634288,1,12H,2,-1.0,SL,-1.2304147465437711,NAS100,0.2304147465437711
107782,2023-02-27 10:49:00,1,3988.92,3986.411,3996.817,2.5090000000000146,3.1474691111996367,2,4H,1,-1.0,SL,-1.2391390992427247,SPX500,0.23913909924272478
117581,2023-02-27 11:39:00,1,1.19839,1.19773,1.20092,6.6000000000010495,3.8333333333326043,1,12H,1,-1.0,SL,-1.227272727272691,GBPUSD,0.22727272727269113
117635,2023-02-27 14:39:00,1,136.11,136.011,136.443,9.900000000001796,3.363636363635737,1,4H,1,-1.0,SL,-1.1313131313131075,USDJPY,0.13131313131310748
107830,2023-02-28 02:49:00,1,3989.57,3987.567,4009.17,2.0030000000001564,9.785322016973728,1,4H,2,-1.0,SL,-1.299550673988993,SPX500,0.29955067398899304
117680,2023-02-28 03:09:00,-1,136.253,136.31199999999998,134.054,5.89999999999975,37.27118644067927,1,1D,2,-1.0,SL,-1.2203389830508569,USDJPY,0.2203389830508568
107834,2023-02-28 03:29:00,1,3989.217,3987.086,4009.17,2.131000000000313,9.363209760674353,1,4H,2,-1.0,SL,-1.2815579540121596,SPX500,0.2815579540121595
107845,2023-02-28 05:18:00,1,3984.149,3981.643,4009.17,2.505999999999858,9.984437350359777,1,4H,2,-1.0,SL,-1.239425379090197,SPX500,0.2394253790901971
117693,2023-02-28 05:19:00,-1,136.278,136.32399999999998,134.054,4.599999999999227,48.34782608696442,1,1D,2,-1.0,SL,-1.2826086956522214,USDJPY,0.2826086956522214
117695,2023-02-28 05:39:00,-1,136.332,136.381,134.054,4.900000000000659,46.48979591836092,1,1D,2,-1.0,SL,-1.265306122448944,USDJPY,0.2653061224489439
108091,2023-02-28 07:19:00,1,12048.919,12042.409,12101.699,6.510000000000218,8.10752688172026,1,4H,1,-1.0,SL,-1.2304147465437711,NAS100,0.2304147465437711
117707,2023-02-28 07:39:00,-1,136.409,136.482,134.054,7.30000000000075,32.260273972599286,1,1D,2,-1.0,SL,-1.1780821917808035,USDJPY,0.17808219178080362
108093,2023-02-28 07:39:00,1,12044.139,12036.149,12101.699,7.989999999999782,7.204005006258183,1,4H,1,-1.0,SL,-1.1877346683354244,NAS100,0.1877346683354244
108096,2023-02-28 08:09:00,1,12017.839,12005.629,12101.699,12.209999999999127,6.868140868141407,1,4H,1,-1.0,SL,-1.1228501228501315,NAS100,0.12285012285013164
117722,2023-02-28 11:09:00,-1,136.736,136.78099999999998,134.054,4.4999999999987494,59.600000000016294,1,1D,2,-1.0,SL,-1.2888888888889691,USDJPY,0.2888888888889692
107897,2023-02-28 16:59:00,1,3978.983,3975.494,3991.977,3.4890000000000327,3.7242762969330943,1,12H,2,3.7242762969330943,TP,3.5523072513612988,SPX500,0.17196904557179546
117749,2023-02-28 18:39:00,-1,135.962,136.016,134.054,5.400000000000205,35.33333333333175,1,1D,2,-1.0,SL,-1.2407407407407316,USDJPY,0.24074074074073162
117755,2023-02-28 20:39:00,-1,136.152,136.21099999999998,134.054,5.89999999999975,35.559322033899555,1,1D,2,-1.0,SL,-1.2203389830508569,USDJPY,0.2203389830508568
117716,2023-02-28 23:09:00,-1,1.2032,1.20403,1.1922,8.299999999998864,13.25301204819473,1,1D,2,-1.0,SL,-1.1807228915662897,GBPUSD,0.1807228915662898
117776,2023-03-01 02:09:00,-1,136.3,136.345,134.054,4.4999999999987494,49.91111111112519,1,1D,2,-1.0,SL,-1.2888888888889691,USDJPY,0.2888888888889692
107932,2023-03-01 03:49:00,1,3969.936,3967.93,3991.977,2.006000000000313,10.987537387834633,1,12H,2,-1.0,SL,-1.2991026919241806,SPX500,0.29910269192418065
108170,2023-03-01 04:09:00,-1,12042.109,12051.499,11964.329,9.389999999999418,8.283280085197601,1,1D,1,-1.0,SL,-1.1597444089456967,NAS100,0.1597444089456968
