R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.0439831104855737,454.7199999999975,-1,14,17,False,True,0.9736387208297343,2025
2.448275862069054,2.4213677398523625,743.2699999999841,-1,15,18,True,True,0.9970839104760509,2025
-1.0,-1.0235803731122444,848.1629999999768,-1,7,9,False,True,0.980932861312961,2025
-1.0,-1.043871194173903,455.88000000002467,-1,16,18,False,True,0.6891831509365721,2025
-1.0,-1.0176233657632634,1134.8570000000109,-1,3,4,False,True,1.0167187695385769,2025
-1.0,-1.0583513979536168,342.7509999999984,1,16,17,False,True,0.39883849557521933,2025
-1.0,-1.0821018062397476,243.59999999996944,1,4,5,False,True,0.33975314634400217,2025
-1.0,-1.1086584484660058,184.06300000001465,1,21,0,False,True,0.32957846767302684,2025
2.4482758620691945,2.3648834591170975,239.82999999998356,-1,6,8,True,True,0.859068109577964,2025
-1.0,-1.0562983814215376,355.2499999999782,1,14,15,False,True,0.11518592741038179,2025
-1.0,-1.1312628801701308,152.36599999998361,1,20,21,False,True,0.12313515920730835,2025
-1.0,-1.0288353544513853,693.5930000000099,-1,14,15,False,True,0.75086844214839,2025
2.4482758620687957,2.3896815398586204,341.3300000000163,-1,12,16,True,True,0.6117722740431017,2025
-1.0,-1.0688484748341578,290.49300000001494,-1,12,13,False,True,0.6757258645926649,2025
-1.0,-1.072979383324214,274.04999999998836,-1,17,18,False,True,0.7790427751695385,2025
-1.0,-1.0235457552889655,849.4099999999889,-1,15,17,False,True,1.0489147630196798,2025
2.4482758620689102,2.4247678287862375,850.7730000000265,1,1,2,True,True,0.20639417989418063,2025
2.448275862069054,2.40643547061035,478.0069999999796,-1,11,12,True,True,0.6084364970197143,2025
-1.0,-1.0329978551394177,606.0999999999694,-1,10,11,False,True,1.0705505333142011,2025
-1.0,-1.0302215237692285,661.7799999999988,-1,4,4,False,True,1.0490618383587664,2025
2.4482758620688485,2.4171303455438173,642.1470000000227,-1,11,13,True,True,0.9250993214965567,2025
-1.0,-1.0394991507682585,506.34000000000015,-1,8,10,False,True,0.8633633633633582,2025
-1.0,-1.051698288786644,386.85999999997875,-1,10,12,False,True,0.9050300300300261,2025
-1.0,-1.0530096212462572,377.2899999999936,-1,10,12,False,True,0.87965465465465,2025
-1.0,-1.0223189376185688,896.100000000024,1,15,16,False,True,0.2977817611472119,2025
-1.0,-1.0329505576881888,606.9700000000012,-1,5,6,False,True,0.5483870967741967,2025
2.448275862068808,2.423197492162853,797.5000000000364,1,22,0,True,True,0.13166570957002685,2025
