etiqueta,n,wr,bruto,z,p,Rneto,pf,dd,eq,h1,h2,riesgo
F · fade extension rr3.0 k0.8,356,29.49438202247191,0.052342171391003535,0.5911584157795816,0.5544142825011575,5.1020916247060235,1.0198613765847255,24.163703220423777,10020.197884059395,0.055811109875242154,0.0488732329067649,34.011075441412515
F · fade extension rr3.0 k1.2,148,30.405405405405407,0.016242207586435253,0.12357574380229812,0.90165119889218,-3.2999051107149473,0.9683143893868761,22.940539656029227,9497.303380617981,-0.15565651847106504,0.18814093364393553,33.68033301158299
E · deriva h0 largo,983,39.87792472024415,-0.0030518819938968322,-0.07812683231044573,0.9377271633261222,-59.98627396566428,0.9040586250136735,55.89538311278284,5098.934602861984,0.013238289205702292,-0.01930894308943174,22.963816124109854
E · deriva h0 corto,981,38.328236493374106,-0.04297924705888899,-1.1078075527821445,0.2679449375483234,-99.11315686254399,0.8451884984401373,69.98658233410082,3451.097735284293,0.005102040816325987,-0.09096260970421552,22.9430109582059
E · deriva h4 largo,987,39.51367781155015,-0.012158054711245765,-0.31236346070079124,0.7547643161902813,-70.14203958491862,0.8890734712375156,58.297602762829484,4605.669504783649,-0.0010141987829607796,-0.02327935222672046,22.60599670719348
E · deriva h4 corto,987,40.020263424518745,0.0010893737852300167,0.027939319973415845,0.977710547870128,-57.163376482985726,0.9086967100398492,53.58193171000429,5243.478359207251,-0.01622718052738328,0.01837087434417405,22.582978723404224
E · deriva h7 largo,992,37.903225806451616,-0.052419354838709104,-1.360554313835075,0.17365457762461434,-110.47308361346623,0.8306501109629785,71.42730728234483,3078.3005099115217,-0.05241935483870754,-0.052419354838710665,22.598588709677415
E · deriva h7 corto,979,42.288049029622066,0.057074357689830726,1.4453686492960391,0.14835436452645312,-1.8994726522691607,0.9968260781628724,41.67487521143833,9107.328582571545,0.02249488752556349,0.09158325750682395,22.58391215526047
E · deriva h12 largo,935,41.17647058823529,0.029716680823118433,0.7382632261253719,0.46035450845566017,-27.229726677486873,0.9532250173539331,52.871654139287216,7096.697047336839,-0.02034261241970083,0.07966900976413678,22.74511363636359
E · deriva h12 corto,931,38.34586466165413,-0.04057469707353959,-1.018246567193025,0.3085607943006834,-92.53645803148049,0.847559176278753,66.00304064882584,3699.2421213668604,-0.037634408602150865,-0.04350867591301547,22.750939849624004
E · deriva h16 largo,928,40.625,0.015624999999998775,0.38745510383766457,0.6984193162037002,-39.28125184930482,0.9326209603361707,57.77473487993273,6295.66930186377,0.05064655172413598,-0.019396551724138428,23.061530172413796
E · deriva h16 corto,930,39.67741935483871,-0.008064516129031673,-0.20097151111663475,0.8407208504038319,-61.381666174812956,0.8965915736371006,53.1468002834079,5048.606936732074,-0.05913978494623668,0.04301075268817336,23.04159946236559
