par,lado,R,neta,tam,prof,cierre,hora,rr
EURUSD,-1,1.0614525139665123,0.9815642458100858,0.6264265787471403,0.493927125506078,0.23076923076921693,4,1.0614525139665123
EURUSD,1,0.2942708333333479,0.2570312500000152,0.9090909090909091,0.4240687679083527,0.6762177650429577,12,0.2942708333333479
EURUSD,-1,-1.0,-1.0916666666666663,1.7728531855955747,0.21428571428572846,0.017857142857127518,8,4.230769230769319
EURUSD,-1,0.8465346534653321,0.8111386138613721,1.0591259640103132,0.8106796116504366,0.16990291262138932,12,0.8465346534653321
EURUSD,1,1.189542483660135,1.1428104575163451,1.0402730375426865,0.7585301837270315,0.044619422572178324,4,1.189542483660135
EURUSD,-1,0.7317073170732081,0.6735772357723929,0.9398601398601495,0.267857142857111,0.4642857142857119,12,0.7317073170732081
EURUSD,1,1.3061224489795642,1.1602040816326227,0.6434552666372614,0.03196347031964258,0.41552511415525206,20,1.3061224489795642
EURUSD,-1,-1.0,-1.223437500000009,0.7883512281217899,0.07089552238802663,0.16791044776121597,4,3.4843750000000706
EURUSD,-1,-1.0,-1.0455414012738866,1.185782126924712,0.17475728155341533,0.5873786407766807,8,0.5414012738853751
EURUSD,-1,-1.0,-1.0910828025477795,2.3338217663514333,0.0707762557077438,0.10844748858447437,16,4.974522292994168
EURUSD,-1,-1.0,-1.099999999999997,0.6869913091461161,0.30522088353407245,0.26907630522094084,4,1.272727272727188
EURUSD,1,1.773809523809615,1.60357142857151,0.6035944387927744,0.30898876404499076,0.16292134831456118,0,1.773809523809615
EURUSD,1,3.249999999999523,3.138281249999538,1.471526961196056,0.24200913242010244,0.05022831050230741,12,3.249999999999523
EURUSD,-1,-1.0,-1.234426229508197,0.7121557621470613,0.0886699507388322,0.2118226600985766,20,2.6229508196722087
EURUSD,-1,3.0000000000006084,2.8041095890416767,0.9895632006185159,0.1406249999999607,0.14453124999998612,20,3.0000000000006084
EURUSD,1,-1.0,-1.51071428571418,0.5616850551655193,0.16428571428567237,0.035714285714359355,0,4.821428571427439
EURUSD,1,-1.0,-1.0276595744680845,1.257753273604385,1.276712328767177,0.13972602739726578,12,0.6073500967117695
EURUSD,-1,2.269841269841467,2.213095238095432,2.0756899686002424,0.31210191082801625,0.0891719745222752,16,2.269841269841467
EURUSD,1,-1.0,-1.3763157894736378,1.1930977814297468,0.07162534435259651,0.03305785123970228,20,9.236842105261758
EURUSD,1,-1.0,-1.1682352941176437,1.065840433772233,0.2441860465116219,0.0029069767442051857,4,4.0352941176467665
EURUSD,1,-1.0,-1.049652777777778,1.2165010538993755,0.2797029702970607,0.43316831683168205,8,0.7951388888888571
EURUSD,1,-1.0,-1.0486394557823138,2.100403923831498,0.15796703296703182,0.24587912087911673,16,1.8673469387755448
EURUSD,-1,3.033333333332994,2.914166666666336,1.071685102715138,0.29758713136727644,0.024128686327116688,0,3.033333333332994
EURUSD,1,0.7237569060773138,0.684254143646374,1.4830970556161254,0.14705882352939856,0.5183823529411953,8,0.7237569060773138
EURUSD,-1,-1.0,-1.3864864864865059,0.4224185532854337,0.032679738562164544,0.20915032679733062,4,3.270270270270254
EURUSD,-1,0.36945812807883605,0.33423645320198836,0.8189142781667332,0.7935483870967178,0.5161290322580622,8,0.36945812807883605
EURUSD,1,-1.0,-1.0629955947136565,1.2227895726954898,0.03296703296705496,0.4659340659340611,12,1.0704845814977701
EURUSD,1,-1.0,-1.166279069767426,0.8000000000000232,0.05454545454548831,0.25818181818181113,20,2.372093023255634
EURUSD,-1,0.2801932367149857,0.21111111111112152,0.5541050188570069,0.3874345549737867,0.6963350785340308,8,0.2801932367149857
EURUSD,-1,-1.0,-1.0790055248618746,0.46877561055566386,0.8881118881119348,0.3776223776223559,4,0.4917127071823279
EURUSD,1,3.239130434781696,2.92826086956439,0.6482130343378116,0.05405405405404432,0.19459459459465558,0,3.239130434781696
