tf,N,k,M,aj_n,aj_ret,aj_pf,aj_t,fu_n,fu_ret,fu_pf,fu_t
240,60,1.0,10,239,-0.043874045735872835,0.9759392801737156,-0.14698883858715914,136,-0.17804393081811143,0.7703062007211132,-1.280643104956926
240,60,1.0,20,169,-0.155244532909238,0.8965242885889165,-0.5147951115289854,100,-0.09005792999008788,0.8496284069424853,-0.6525544041314791
240,60,1.0,40,107,-0.01651874336319148,0.9833314119858122,-0.05087616860001418,69,-0.3656161278445872,0.28507771692652517,-4.582740188777598
240,60,2.0,5,333,0.055026179239354045,1.0550855288503063,0.38147653857506214,190,-0.14738556046261986,0.7665761808034447,-1.4989756282350228
240,60,2.0,10,239,0.03921063956934967,1.0340668873260468,0.21403864897490096,136,-0.09033671462760717,0.8512422434717798,-0.7674689467465647
240,60,2.0,20,169,-0.1083320621929722,0.8961415813676453,-0.586837851295655,100,-0.11566125785782055,0.7503226959556898,-1.2560497910871296
240,60,2.0,40,107,0.020435153001941986,1.0259868771373,0.09912528239067134,69,-0.258531126455367,0.4285714066945454,-3.31639088412496
240,60,3.0,5,333,0.07091869062839895,1.1079416383692235,0.7068044178688303,190,-0.10370689690715162,0.7680579447719642,-1.4388264401462276
240,60,3.0,10,239,-0.026002194896966202,0.967199915008511,-0.20849122237920392,136,-0.06422429362428639,0.8414460137031713,-0.7911105958309634
240,60,3.0,20,169,-0.15660710918119058,0.801292373966679,-1.205015235517348,100,-0.10588004346612767,0.6944019475528733,-1.5799723076828476
240,60,3.0,40,107,-0.11411646510761564,0.8194327709545655,-0.8147885215372492,69,-0.1255994203134796,0.6094934488166401,-1.7702642073374986
240,100,1.0,5,266,0.11034646170453777,1.070281038897494,0.44089575422116717,140,0.018719556635705903,1.023287953012047,0.11202009233248193
240,100,1.0,10,195,-0.12977065333759907,0.9062789685214739,-0.541226692961224,97,0.034449499828748564,1.067562050034393,0.26002615020714415
240,100,1.0,20,133,-0.23495842999294803,0.7878328555901797,-1.0419623202573847,77,-0.10680048010543208,0.7315864368308859,-1.1254631474265424
240,100,1.0,40,89,-0.008976710115233155,0.989563946818769,-0.030545642040121074,55,-0.2098899565289173,0.5174107733022127,-1.6041104509678354
240,100,2.0,5,266,0.08588775951541039,1.109956770581978,0.6521678935027864,140,0.012034395074254078,1.0251683242067797,0.1188863584352712
240,100,2.0,10,195,-0.0137410507698561,0.9846327724278225,-0.09051924163567254,97,0.08499817620014971,1.2216431724450778,0.7740926236987528
240,100,2.0,20,133,-0.039483188222619314,0.9496803977557664,-0.24855058912814307,77,0.010474725819008102,1.0272826010351712,0.09242645780954171
240,100,2.0,40,89,-0.05792579768629735,0.9085907393188378,-0.34324242046029735,55,-0.1289792511929253,0.6184007794292838,-1.4515560798404479
240,100,3.0,5,266,0.05890428039376583,1.1137972238925113,0.6551274244649121,140,0.03002136296604463,1.0993082595108161,0.4394579592974482
240,100,3.0,10,195,-0.05186305245011491,0.9205683335296402,-0.4785692658611854,97,0.05143775055125399,1.1966396377472257,0.6859409031033136
240,100,3.0,20,133,-0.0528167144735221,0.908374458001515,-0.45897710491611343,77,-0.024376161397710816,0.9166264289552174,-0.30098093527971903
240,100,3.0,40,89,-0.07767878117280436,0.847905939471639,-0.6111268813387284,55,-0.07576273653139276,0.7214497349904325,-0.9965873436002476
