R,neta,mot,rgo,hniv,izq,velas,pos,i
2.0,1.4758064516130434,TP,2.72800000000073,17,0,35,0.15137614678895905,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,15,20,25,0.11776061776061851,EURUSD
-1.0,-1.1898314084694122,SL,7.532999999999568,22,0,55,0.7367205542725327,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,17,7,69,0.5687022900763341,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,15,0,69,0.5687022900763341,EURUSD
-1.0,-1.3603830645162527,SL,3.9679999999986393,8,1,8,0.6806615776081401,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,15,0,24,0.0798122065727729,EURUSD
2.0,1.8259281801582536,TP,8.215000000000305,15,2,4,0.6244131455398371,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,17,0,16,2.699530516431932,EURUSD
2.0,1.730239577438208,TP,5.300999999999778,17,6,65,0.8716417910447956,EURUSD
2.0,1.7646477946017707,TP,6.076000000001525,23,0,35,0.47164179104478887,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,19,0,76,1.1582089552238914,EURUSD
-1.0,-1.2681920480119973,SL,5.332000000000114,19,0,56,0.6594684385381959,EURUSD
-1.0,-1.501402524544205,SL,2.8519999999998547,19,0,55,0.7259136212624395,EURUSD
2.0,1.709880300263756,TP,4.929000000000183,17,0,53,0.634551495016586,EURUSD
-1.0,-1.1226835964310238,SL,11.655999999999889,20,12,44,1.02657807308969,EURUSD
-1.0,-1.1946372669116707,SL,7.34699999999977,20,0,25,0.9800664451827048,EURUSD
-1.0,-1.2762217500482556,SL,5.177000000000653,16,14,12,0.9574468085106398,EURUSD
-1.0,-1.0796701766115036,SL,17.949000000001547,16,1,30,1.217494089834504,EURUSD
-1.0,-1.1223581757508319,SL,11.687000000000225,10,13,90,0.9853085210577991,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,10,0,59,2.6666666666669134,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,0,59,2.6666666666669134,EURUSD
2.0,1.8387096774193676,TP,8.866000000000707,23,1,59,2.6666666666669134,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,10,0,40,1.4555555555556297,EURUSD
-1.0,-1.318131256952175,SL,4.494999999999916,23,0,14,0.4222222222220742,EURUSD
-1.0,-1.1260356072624607,SL,11.346000000000966,18,2,76,1.0020229265003355,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,18,27,20,1.0119565217391364,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,9,27,20,1.0119565217391364,EURUSD
2.0,1.7782258064516514,TP,6.4480000000011195,9,0,12,0.990217391304356,EURUSD
