id,opera,rama,rango,exceso,mecha,cuerpo,dist,hora,tend_asia,vel_gatillo,rgo_mec,fr
S38,0,mínimo,16.799999999999038,3.4000000000000696,6.399999999999739,0.700000000000145,19.799999999998708,8,-4.20000000000087,2,1.900000000001345,08-09
S39,0,alto,17.300000000000093,0.8000000000008001,1.2999999999996348,1.80000000000069,16.300000000000203,10,7.500000000000284,1,2.80000000000058,10-11
S40,1,alto,51.40000000000144,2.4999999999986144,3.4000000000000696,11.299999999998533,42.60000000000152,9,7.099999999999884,1,12.299999999998423,08-09
S41,0,alto,25.899999999998702,1.40000000000029,1.80000000000069,2.60000000000149,24.899999999998812,8,22.400000000000198,1,3.8000000000004697,08-09
S42,1,mínimo,21.700000000000053,0.4999999999988347,2.5999999999992696,6.500000000000394,15.699999999998493,9,-2.300000000001745,1,9.600000000000719,08-09
S43,0,mínimo,21.999999999999797,4.900000000001015,13.700000000000934,5.5000000000005045,26.100000000000012,9,-11.099999999999444,2,10.600000000000609,08-09
S44,1,mínimo,9.699999999999154,0.1999999999990898,2.4000000000001798,2.2999999999995246,8.399999999999519,8,-1.100000000000545,2,3.6999999999998145,08-09
S45,1,mínimo,10.099999999999554,1.2000000000012,2.300000000001745,2.60000000000149,8.699999999999264,8,-7.399999999999629,1,3.60000000000138,08-09
S46,0,alto,141.89999999999924,4.500000000000615,6.200000000000649,2.0999999999982144,144.4000000000001,9,123.99999999999966,2,4.699999999999704,08-09
S47,0,alto,53.000000000000824,10.999999999999899,15.100000000000113,4.00000000000067,63.60000000000032,13,-16.300000000000203,2,5.5000000000005045,12-13
S48,0,mínimo,17.199999999999438,1.7000000000000348,4.299999999999304,2.20000000000109,16.799999999999038,9,8.500000000000174,1,5.699999999999594,08-09
S49,1,mínimo,43.600000000001415,2.6999999999999247,4.899999999998794,6.099999999999994,40.40000000000043,8,-24.699999999999722,1,9.099999999999664,08-09
S50,1,mínimo,31.10000000000057,2.100000000000435,4.6000000000001595,5.1000000000001044,28.200000000000447,8,-12.900000000000134,1,8.500000000000174,08-09
S51,0,mínimo,24.899999999998812,4.100000000000215,5.60000000000116,5.1000000000001044,23.999999999999577,9,5.699999999999594,1,7.500000000000284,08-09
S52,1,alto,10.899999999998133,1.100000000000545,1.7000000000000348,1.3999999999980695,10.499999999999954,8,-0.8000000000008001,2,2.8999999999990145,08-09
S53,1,mínimo,14.799999999999258,0.10000000000065512,2.20000000000109,3.1000000000003247,13.000000000000789,8,-6.699999999999484,2,3.8999999999989043,08-09
S54,0,alto,21.400000000000308,2.4000000000001798,6.900000000000794,1.2000000000012,22.999999999999687,8,8.599999999998609,2,6.099999999999994,08-09
S55,0,alto,16.599999999999948,7.300000000001194,11.799999999999589,3.2999999999994145,23.500000000000743,9,6.999999999999229,2,5.899999999998684,08-09
S56,1,mínimo,46.500000000000426,0.40000000000040004,5.499999999998284,4.3999999999999595,42.800000000000615,12,-32.30000000000066,2,8.099999999999774,12-13
S57,0,alto,23.599999999999177,1.9999999999997797,4.100000000000215,1.3999999999980695,25.200000000000777,12,11.100000000001664,2,3.4999999999985043,12-13
S58,0,alto,18.599999999999728,1.7000000000000348,3.4000000000000696,2.6999999999999247,18.899999999999473,8,15.899999999999803,2,3.8000000000004697,08-09
S59,0,mínimo,19.499999999998963,0.8000000000008001,3.9999999999995595,1.7999999999984695,18.599999999999728,8,7.599999999998719,2,4.599999999999049,08-09
S60,1,alto,17.199999999999438,1.80000000000069,2.2999999999995246,6.599999999998829,12.499999999999734,8,-2.100000000000435,1,7.699999999999374,08-09
