tf,ema,fib,rr,n,R,z,fuente
15,20,0.786,1.0,29369,-0.03619044651030881,-6.345700696973418,real
15,20,0.786,2.0,29082,-0.10225159306550807,-11.911503924376833,real
15,20,0.786,3.0,28788,-0.19755729884298687,-18.865482508792915,real
15,50,0.382,1.0,62175,-0.36592395273442907,-91.85628159175599,real
15,50,0.382,2.0,59785,-0.4373136610875966,-82.51291684754464,real
15,50,0.382,3.0,57708,-0.5228386282156441,-84.9182885899667,real
15,50,0.5,1.0,58168,-0.3186593937315106,-76.5517054961882,real
15,50,0.5,2.0,56611,-0.3738697381472216,-66.15794207475071,real
15,50,0.5,3.0,55176,-0.44613848428471486,-66.91941902491564,real
15,50,0.618,1.0,51256,-0.24083091265860365,-54.00817994096686,real
15,50,0.618,2.0,50294,-0.32021963733660874,-51.93069149671717,real
15,50,0.618,3.0,49428,-0.3765323197274094,-51.034794583848225,real
15,50,0.705,1.0,43103,-0.1761525129438249,-36.3079650617662,real
15,50,0.705,2.0,42556,-0.26219477976162475,-38.231993505017094,real
15,50,0.705,3.0,42048,-0.3220722702750966,-38.985648196713676,real
15,50,0.786,1.0,31630,-0.11816825962047334,-21.096664277644656,real
15,50,0.786,2.0,31342,-0.18377748218315046,-22.500020587701375,real
15,50,0.786,3.0,31048,-0.2605258323611491,-26.308253691518118,real
15,100,0.382,1.0,64679,-0.4443815540204464,-115.55654956816312,real
15,100,0.382,2.0,62397,-0.5125394351532786,-102.14226317861875,real
15,100,0.382,3.0,60487,-0.5880934133422987,-101.66137857772655,real
15,100,0.5,1.0,60416,-0.39875081285867,-98.59922560108345,real
15,100,0.5,2.0,58926,-0.44914899765022703,-83.31629785977755,real
15,100,0.5,3.0,57549,-0.5197852939144879,-82.55767874973924,real
15,100,0.618,1.0,52929,-0.3269412222399035,-74.65484894003451,real
15,100,0.618,2.0,52027,-0.39386975255217166,-66.39789670902202,real
15,100,0.618,3.0,51213,-0.4474020678302521,-63.537675751793515,real
15,100,0.705,1.0,44107,-0.25973528708508326,-53.86011708437705,real
15,100,0.705,2.0,43584,-0.33303850105506455,-49.995218405200426,real
15,100,0.705,3.0,43111,-0.38514360885557547,-48.287508053870944,real
15,100,0.786,1.0,32057,-0.18526899038503178,-32.95950523614892,real
15,100,0.786,2.0,31778,-0.2535578253085485,-31.675496793096396,real
15,100,0.786,3.0,31489,-0.3196888979624989,-33.119736091097415,real
15,200,0.382,1.0,65618,-0.49874730277888213,-132.63939413766298,real
15,200,0.382,2.0,63500,-0.5639668740300285,-116.38899984608156,real
15,200,0.382,3.0,61763,-0.6319939818872056,-113.62319084862185,real
15,200,0.5,1.0,61158,-0.45793664906764603,-115.28270808070262,real
15,200,0.5,2.0,59782,-0.5044303536294786,-96.45126875869799,real
15,200,0.5,3.0,58524,-0.5696301519038021,-93.76288511116262,real
15,200,0.618,1.0,53332,-0.3838978759876746,-88.45400601120724,real
15,200,0.618,2.0,52503,-0.4474821497418199,-77.2131808278374,real
15,200,0.618,3.0,51765,-0.4950380957981924,-72.2251003533829,real
15,200,0.705,1.0,44173,-0.31192039041989394,-64.73991382880673,real
15,200,0.705,2.0,43675,-0.38622358435970017,-58.92786340597469,real
15,200,0.705,3.0,43238,-0.4350655487147343,-55.724091287300936,real
15,200,0.786,1.0,31922,-0.23955470815374041,-42.317598630510055,real
15,200,0.786,2.0,31657,-0.3042893741062312,-38.361030774845496,real
15,200,0.786,3.0,31374,-0.3697753345208562,-38.900929453863675,real
60,10,0.382,1.0,14051,-0.09225837349108619,-10.910034319005948,real
60,10,0.382,2.0,13429,-0.13383305258779293,-11.114782362243613,real
60,10,0.382,3.0,12830,-0.2224333198615683,-15.340447225851847,real
60,10,0.5,1.0,13614,-0.016245077396928577,-1.8950781716985765,real
60,10,0.5,2.0,13149,-0.08472223909274415,-6.842645538319575,real
60,10,0.5,3.0,12761,-0.15300458834200523,-10.164529925766043,real
60,10,0.618,1.0,12939,0.03403752325686261,3.892344185810135,real
60,10,0.618,2.0,12704,-0.05039997185174891,-3.9452740239596684,real
