fecha,d_open,d_high,d_low,d_close,asia_high,asia_low,londres_high,londres_low,ny_high,ny_low,asia_rango_p
2026-04-10,1.17011,1.17392,1.16773,1.17216,1.17024,1.16853,1.17187,1.16773,1.17392,1.17095,17.1
2026-04-13,1.16702,1.17653,1.16638,1.17555,1.16901,1.16638,1.17,1.16778,1.17653,1.16805,26.3
2026-04-14,1.17551,1.18111,1.17549,1.17896,1.17699,1.17549,1.1806,1.1758,1.18111,1.17876,15.0
2026-04-15,1.17899,1.18079,1.17718,1.1802,1.18018,1.17787,1.17992,1.17718,1.18079,1.1777,23.1
2026-04-16,1.1797,1.18238,1.17668,1.17777,1.18238,1.17967,1.18068,1.17725,1.17871,1.17668,27.1
2026-04-17,1.17778,1.18491,1.17601,1.17616,1.17871,1.17728,1.17993,1.1772,1.18491,1.17601,14.3
2026-04-20,1.17317,1.179,1.17288,1.17858,1.17624,1.17288,1.17754,1.17473,1.179,1.17556,33.6
2026-04-21,1.17858,1.17908,1.17191,1.17402,1.17908,1.1773,1.17801,1.1756,1.1776,1.17191,17.8
2026-04-22,1.17408,1.17626,1.17029,1.17076,1.17626,1.17374,1.1759,1.17318,1.17433,1.17029,25.2
2026-04-23,1.17075,1.17164,1.16691,1.16851,1.17136,1.16922,1.17118,1.1679,1.17164,1.16691,21.4
2026-04-24,1.16851,1.17229,1.16727,1.17192,1.16892,1.16727,1.17185,1.1676,1.17229,1.16985,16.5
2026-04-27,1.17058,1.17548,1.17045,1.17195,1.17324,1.17045,1.17508,1.17163,1.17548,1.17179,27.9
2026-04-28,1.17195,1.17269,1.16774,1.17104,1.17269,1.17051,1.1708,1.1682,1.17176,1.16774,21.8
2026-04-29,1.17131,1.17204,1.16611,1.1671,1.17204,1.16979,1.17097,1.16936,1.17081,1.16611,22.5
2026-04-30,1.16708,1.17416,1.16551,1.17314,1.16894,1.16551,1.17194,1.16577,1.17416,1.16817,34.3
2026-05-01,1.17336,1.17851,1.17153,1.17169,1.17363,1.17216,1.17583,1.17187,1.17851,1.17153,14.7
