i,alcista,d,vuelve,base,r3,velas
109647,False,0.14988689227174842,1.0,0.9685563045740397,0.3364485981309303,1.0
109661,True,0.39742715834160447,1.0,0.9315929964258245,0.9756097560974024,1.0
109665,False,1.1785063019209558,1.0,0.7809234040627969,1.5272727272724997,1.0
109668,True,0.7307011738693208,1.0,0.8753223544315252,0.47154471544715004,2.0
109669,True,0.036380398597162716,1.0,0.9899787359182012,1.172413793103422,1.0
109673,True,0.2947080473524037,0.0,0.9488078541374474,0.5142857142857022,
109685,True,1.2184591358717876,0.0,0.7924263674614306,1.065789473684049,
109686,True,1.2401046923448338,0.0,0.7886485997375922,0.9753086419754203,
109687,True,2.268628834543346,0.0,0.6254354612496041,1.9113924050632805,
109688,True,0.9019900829165657,1.0,0.84600506718545,0.5165562913906886,4.0
109689,True,0.1399433481453429,1.0,0.9737139754784419,0.6025641025643471,1.0
109696,False,0.13690824883935834,1.0,0.9707845088901959,0.3173076923078709,7.0
109703,True,0.054956244427113866,1.0,0.9870945120571868,0.8260869565207317,1.0
109706,True,0.3997588158772021,1.0,0.9311631905171244,0.42553191489359693,2.0
109710,True,0.4037540468642627,1.0,0.9305637243813057,0.8695652173913883,6.0
109720,False,0.33213649642182896,1.0,0.9362190652852553,0.41071428571427865,6.0
109722,False,0.09553312826847565,1.0,0.9781364520653305,0.8035714285716905,1.0
109726,True,0.5705030645019333,1.0,0.9029656607700313,0.7222222222223593,2.0
109727,True,0.0,1.0,0.9969121838664434,0.692307692307561,1.0
109729,False,0.43747076767405524,1.0,0.9170700809844817,1.3809523809516258,2.0
109730,False,0.5262529596799533,1.0,0.9006922137266434,0.6896551724139515,1.0
109732,True,0.2831703594995904,1.0,0.9506967379993666,0.4250000000000555,4.0
109746,False,0.3258764800681251,1.0,0.9373614441478533,0.44047619047607717,1.0
109764,False,1.4613309508504921,1.0,0.7318576663801294,0.6499999999999445,2.0
109772,False,0.48312779539955963,1.0,0.9087567298556757,0.6199999999999112,3.0
109776,True,0.2340154390267881,1.0,0.9583540695833145,0.6212121212120549,1.0
109778,False,1.0734354582929668,1.0,0.800242048590689,1.1774193548384209,17.0
109779,False,0.2849345989210986,1.0,0.9446794552775641,0.5616438356165467,7.0
109793,True,0.09260611741192645,1.0,0.9810998506990002,0.48888888888906434,1.0
109796,True,0.0,1.0,0.9969121838664434,0.5833333333329478,1.0
109798,False,0.12207256234717015,1.0,0.9737139754784419,0.2926829268290041,1.0
109802,True,0.0823389968400389,1.0,0.9826154820612587,0.28205128205134045,1.0
109806,True,0.2973534108398597,1.0,0.9481518345925892,1.0624999999990459,2.0
109811,False,0.7698712597017776,1.0,0.8554268651314301,0.5238095238099518,1.0
109816,False,1.3789875963699683,1.0,0.7463692711396643,2.178571428572703,15.0
109817,False,0.06003818597304035,1.0,0.9848323756956069,0.4098360655739077,1.0
109832,True,0.19029068249757733,1.0,0.9652083427589015,0.636363636363881,10.0
109834,True,0.8122320608073281,1.0,0.8611387594444193,0.87301587301608,4.0
109835,True,0.5008468821073344,1.0,0.9146948378048229,0.6909090909087092,2.0
109842,False,0.11722995027331767,1.0,0.974483101841379,0.6883116883114412,1.0
109851,False,0.25024032013500824,1.0,0.9510813011808352,0.304347826087009,4.0
