toca,mecha,fuera,R,mot,dentro_asia,d_asia_alto,d_asia_bajo,d_max_ses,d_min_ses,cerca_ses,en_extremo,imp15,a_favor_imp,lado,hora,cerca,clase
False,False,False,-1.0,SL,True,10.80000000000192,8.500000000000174,7.600000000000939,-0.7999999999985796,0.7999999999985796,bajo,0.20000000000131024,False,-1,15,9.100000000001884,extremo de la sesión (no de Asia)
True,False,True,-1.0,SL,False,-4.899999999998794,52.30000000000068,-1.100000000000545,-18.299999999999983,1.100000000000545,alto,8.799999999999919,True,1,40,2.5999999999992696,rotura del nivel de Asia
False,False,False,2.0,TP,True,13.700000000000934,14.999999999998348,-1.40000000000029,-11.900000000000244,1.40000000000029,alto,2.5999999999992696,True,1,15,8.299999999998864,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,True,38.000000000000256,2.5999999999992696,2.000000000002,-9.499999999997844,2.000000000002,alto,-0.2999999999997449,False,1,15,2.9999999999996696,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,True,3.5000000000007248,6.399999999999739,0.20000000000131024,-1.4999999999987246,0.20000000000131024,alto,0.0,False,1,5,4.20000000000087,extremo de la sesión (no de Asia)
True,True,False,2.0,TP,True,0.40000000000040004,9.500000000000064,4.100000000000215,-4.599999999999049,4.100000000000215,alto,-4.999999999999449,False,1,65,2.6999999999999247,rechazo del nivel de Asia
False,False,False,2.0,TP,False,-18.899999999999473,28.799999999999937,6.300000000001305,-23.899999999998922,6.300000000001305,alto,15.099999999999003,False,-1,90,5.299999999999194,"fuera del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,9.799999999999809,9.00000000000123,4.699999999999704,-4.699999999999704,4.699999999999704,alto,-5.499999999998284,False,1,25,6.6000000000010495,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,0.2999999999997449,18.500000000001293,7.500000000000284,-14.199999999999768,7.500000000000284,alto,2.5999999999992696,False,-1,70,2.8999999999990145,"dentro del rango de Asia, sin nivel cerca"
False,False,False,-1.0,SL,True,9.00000000000123,7.500000000000284,7.0000000000014495,-4.899999999998794,4.899999999998794,bajo,-3.20000000000098,False,1,60,3.1000000000003247,"dentro del rango de Asia, sin nivel cerca"
True,True,False,2.0,TP,True,9.900000000000464,6.6000000000010495,7.900000000000684,-10.799999999999699,7.900000000000684,alto,1.900000000001345,True,1,100,2.500000000000835,rechazo del nivel de Asia
False,False,False,-1.0,SL,True,2.900000000001235,13.600000000000279,8.40000000000174,-17.799999999998928,8.40000000000174,alto,-1.500000000000945,True,-1,150,2.80000000000058,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,13.000000000000789,3.5999999999991594,6.399999999999739,-0.10000000000065512,0.10000000000065512,bajo,-1.7000000000000348,True,-1,25,3.99999999999956,extremo de la sesión (no de Asia)
False,False,False,-1.0,SL,False,43.999999999999595,-8.700000000001484,16.80000000000126,-2.5999999999992696,2.5999999999992696,bajo,-2.4000000000001798,True,-1,50,8.300000000001084,extremo de la sesión (no de Asia)
True,False,True,2.0,TP,False,-7.800000000000029,34.600000000000186,-1.40000000000029,-12.799999999999478,1.40000000000029,alto,7.999999999999119,True,1,25,2.20000000000109,rotura del nivel de Asia
False,False,False,2.0,TP,True,20.299999999999763,12.099999999999334,0.0,-11.399999999999189,0.0,alto,3.900000000001125,True,1,20,7.299999999998974,extremo de la sesión (no de Asia)
False,False,False,-1.0,SL,True,8.399999999999519,23.999999999999577,8.099999999999774,-23.299999999999432,8.099999999999774,alto,6.599999999998829,False,-1,80,6.200000000000649,"dentro del rango de Asia, sin nivel cerca"
True,True,False,2.0,TP,True,5.00000000000167,40.19999999999912,13.800000000001589,-4.199999999998649,4.199999999998649,bajo,-0.5000000000010552,True,-1,40,2.500000000000835,rechazo del nivel de Asia
False,False,False,2.0,TP,True,6.500000000000394,15.300000000000313,-1.8999999999991246,-13.000000000000789,1.8999999999991246,alto,1.900000000001345,True,1,45,10.200000000000207,extremo de la sesión (no de Asia)
False,False,False,-1.0,SL,True,12.800000000000589,6.499999999999284,0.0,-5.899999999999794,0.0,alto,1.9999999999997797,True,1,5,4.699999999999704,extremo de la sesión (no de Asia)
True,True,False,2.0,TP,True,14.300000000000423,4.999999999999449,5.899999999999794,-16.199999999999548,5.899999999999794,alto,1.7000000000000348,True,1,85,0.4999999999999449,rechazo del nivel de Asia
True,True,False,2.0,TP,False,-2.4000000000001798,21.700000000000053,-0.10000000000065512,-32.90000000000015,0.10000000000065512,alto,5.199999999999649,True,1,160,2.4999999999997247,rechazo del nivel de Asia
False,False,False,2.0,TP,True,0.9999999999998899,15.099999999999003,-0.700000000000145,-6.099999999999994,0.700000000000145,alto,0.1999999999990898,True,1,10,2.9999999999996696,extremo de la sesión (no de Asia)
False,False,False,-1.0,SL,True,4.699999999999704,7.300000000001194,0.5999999999994898,-4.100000000000215,0.5999999999994898,alto,-3.4000000000000696,False,1,10,5.40000000000207,extremo de la sesión (no de Asia)
True,True,False,1.15,cierre,True,10.699999999999044,1.3000000000018552,11.399999999999189,-3.6999999999998145,3.6999999999998145,bajo,-1.2999999999996348,False,1,130,0.9000000000014552,rechazo del nivel de Asia
True,True,False,-1.0,SL,True,8.20000000000043,3.1999999999987594,5.20000000000076,-3.8999999999989043,3.8999999999989043,bajo,-2.8999999999990145,False,1,30,2.5999999999992696,rechazo del nivel de Asia
False,False,False,-1.0,SL,True,79.89999999999941,22.699999999999942,11.799999999999589,-5.299999999999194,5.299999999999194,bajo,6.800000000000139,False,-1,10,28.799999999999937,"dentro del rango de Asia, sin nivel cerca"
False,False,False,-1.0,SL,True,64.10000000000026,38.49999999999909,0.9999999999998899,-26.500000000000412,0.9999999999998899,alto,15.899999999999803,True,1,65,36.70000000000062,extremo de la sesión (no de Asia)
True,False,True,-1.0,SL,True,15.999999999998238,0.40000000000040004,9.299999999998754,-1.7000000000000348,1.7000000000000348,bajo,-5.5000000000005045,True,-1,60,0.1000000000006551,rotura del nivel de Asia
False,False,False,-1.0,SL,True,9.900000000000464,31.49999999999986,12.900000000000134,-16.40000000000086,12.900000000000134,alto,8.099999999999774,True,1,70,12.8000000000017,"dentro del rango de Asia, sin nivel cerca"
False,False,False,-1.0,SL,True,14.799999999999258,8.300000000001084,12.199999999999989,-0.20000000000131024,0.20000000000131024,bajo,-6.299999999999084,True,-1,40,10.200000000000207,extremo de la sesión (no de Asia)
True,False,True,0.08,cierre,False,15.100000000001224,-3.900000000001125,8.60000000000083,0.10000000000065512,0.10000000000065512,bajo,-5.60000000000116,True,-1,20,0.4000000000004,rotura del nivel de Asia
False,False,False,2.0,TP,False,61.80000000000074,-18.700000000000383,42.40000000000021,-10.200000000000209,10.200000000000209,bajo,-9.300000000000974,False,1,25,25.899999999998705,"fuera del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,9.099999999999664,12.600000000000389,6.699999999999484,-7.399999999999629,6.699999999999484,alto,3.4000000000000696,False,-1,80,5.499999999998284,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,45.600000000001195,0.0,22.200000000001108,-8.399999999999519,8.399999999999519,bajo,0.3999999999981796,False,-1,165,1.7000000000000348,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,17.300000000000093,7.899999999998464,3.8000000000004697,-6.599999999998829,3.8000000000004697,alto,-3.5999999999991594,False,1,10,5.100000000000104,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,0.9999999999998899,24.199999999998667,7.4000000000018495,-22.899999999999032,7.4000000000018495,alto,0.5000000000010552,True,1,115,3.1999999999987594,"dentro del rango de Asia, sin nivel cerca"
True,True,False,-1.0,SL,True,3.4000000000000696,13.900000000000023,11.600000000000499,-0.8000000000008001,0.8000000000008001,bajo,0.700000000000145,False,-1,85,1.8999999999991248,rechazo del nivel de Asia
False,False,False,2.0,TP,True,10.299999999998644,2.300000000001745,4.799999999998139,0.4999999999988347,0.4999999999988347,bajo,-0.09999999999843467,True,-1,15,4.00000000000178,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,True,11.900000000000244,0.700000000000145,6.399999999999739,-5.299999999999194,5.299999999999194,bajo,-3.0999999999981043,False,1,60,3.799999999998249,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,3.8000000000004697,8.799999999999919,4.8000000000003595,-13.399999999998968,4.8000000000003595,alto,0.2999999999997449,False,-1,105,2.5999999999992696,"dentro del rango de Asia, sin nivel cerca"
True,False,True,2.0,TP,False,-4.299999999999304,30.69999999999906,6.800000000000139,-9.999999999998899,6.800000000000139,alto,-4.299999999999304,False,1,65,3.8000000000004697,rotura del nivel de Asia
False,False,False,2.0,TP,True,17.899999999999583,9.500000000000064,3.4000000000000696,-0.5999999999994898,0.5999999999994898,bajo,2.500000000000835,False,-1,5,10.600000000000607,extremo de la sesión (no de Asia)
True,True,False,-1.0,SL,True,23.099999999998122,4.300000000001525,9.999999999998899,-5.00000000000167,5.00000000000167,bajo,-7.0000000000014495,False,1,70,0.99999999999989,rechazo del nivel de Asia
True,False,True,-1.0,SL,True,25.599999999998957,1.80000000000069,12.499999999999734,-8.500000000000174,8.500000000000174,bajo,-3.2999999999994145,False,1,80,1.8999999999991248,rotura del nivel de Asia
True,True,False,2.0,TP,True,24.899999999998812,2.500000000000835,11.799999999999589,-9.200000000000319,9.200000000000319,bajo,3.4000000000000696,True,1,105,1.6000000000016,rechazo del nivel de Asia
False,False,False,2.0,TP,True,18.20000000000155,5.1000000000001044,4.900000000001015,-1.7999999999984695,1.7999999999984695,bajo,1.2000000000012,False,-1,30,7.700000000001594,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,True,12.199999999999989,17.400000000000748,4.599999999999049,-8.60000000000083,4.599999999999049,alto,-2.80000000000058,False,1,25,10.900000000000354,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,5.60000000000116,23.999999999999577,6.900000000000794,-15.199999999999658,6.900000000000794,alto,2.6999999999999247,True,1,80,13.100000000001444,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,2.2999999999995246,25.299999999999212,4.500000000000615,-6.299999999999084,4.500000000000615,alto,-3.1000000000003247,True,-1,40,2.0999999999982144,"dentro del rango de Asia, sin nivel cerca"
False,False,False,2.0,TP,True,0.5999999999994898,21.700000000000053,-1.40000000000029,-5.1000000000001044,1.40000000000029,alto,-0.10000000000065512,False,1,10,4.999999999999449,extremo de la sesión (no de Asia)
False,False,False,2.0,TP,False,-10.499999999999954,32.79999999999949,0.10000000000065512,-16.199999999999548,0.10000000000065512,alto,7.999999999999119,True,1,40,9.799999999999809,extremo de la sesión (no de Asia)
