lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
venta,2024-07-17 15:00:00,1.09277,1.0948,1.08871,20.299999999999763,False,1,2,1.9295566502463046,2024
compra,2024-07-17 18:15:00,1.09384,1.09237,1.0967799999999996,14.699999999998603,True,0,-1,-1.097278911564635,2024
venta,2024-07-19 13:30:00,1.08838,1.08941,1.0863199999999997,10.300000000000864,False,0,-1,-1.138834951456299,2024
venta,2024-07-22 11:00:00,1.08851,1.08953,1.08647,10.200000000000209,False,0,-1,-1.1401960784313696,2024
venta,2024-07-24 07:30:00,1.08322,1.08532,1.07902,20.999999999999908,False,0,-1,-1.0680952380952384,2024
venta,2024-07-26 07:00:00,1.0849,1.08607,1.0825599999999997,11.700000000001154,False,0,-1,-1.1222222222222102,2024
compra,2024-07-28 22:00:00,1.08591,1.08547,1.08679,4.3999999999999595,True,0,-1,-1.3250000000000028,2024
compra,2024-07-29 02:00:00,1.08679,1.08508,1.0902099999999997,17.099999999998783,True,0,-1,-1.083625730994158,2024
compra,2024-07-30 08:15:00,1.08303,1.08181,1.08547,12.199999999999989,True,0,-1,-1.1172131147540985,2024
compra,2024-07-31 10:00:00,1.08288,1.08065,1.08734,22.299999999999542,True,0,-1,-1.064125560538118,2024
compra,2024-08-02 01:30:00,1.07926,1.07818,1.0814200000000005,10.80000000000192,True,1,2,1.867592592592616,2024
venta,2024-08-12 02:30:00,1.09183,1.0923,1.0908900000000001,4.699999999999704,False,0,-1,-1.3042553191489552,2024
venta,2024-08-12 11:30:00,1.09209,1.09299,1.0902900000000002,8.999999999999009,False,0,-1,-1.1588888888889064,2024
compra,2024-08-15 10:00:00,1.10132,1.10033,1.1033000000000002,9.900000000000464,True,0,-1,-1.1444444444444377,2024
compra,2024-08-15 23:15:00,1.09747,1.09708,1.0982499999999997,3.8999999999989043,True,1,2,1.6333333333332303,2024
venta,2024-08-19 08:30:00,1.10387,1.10501,1.1015899999999996,11.400000000001409,False,0,-1,-1.1254385964912126,2024
compra,2024-08-20 07:45:00,1.10866,1.10729,1.1113999999999997,13.699999999998713,True,1,2,1.8956204379561945,2024
compra,2024-08-22 12:45:00,1.114,1.11324,1.1155200000000003,7.600000000000939,True,0,-1,-1.1881578947368188,2024
