dia,ts,i,fin,lado,rama,entrada,stop,obj,riesgo,R,motivo,rr,coste_R,neto
2023-11-15,2023-11-15 09:49:00,279302,279340,1,mínimo,1.08491,1.08443,1.08836,4.8000000000003595,3.0208333333330057,cierre Londres,7.187499999999364,0.24999999999998126,2.7708333333330244
2023-11-16,2023-11-16 09:09:00,279582,279628,-1,máximo,1.08546,1.08585,1.0846800000000003,3.8999999999989043,-1.0,SL,2.0,0.30769230769239414,-1.307692307692394
2023-11-17,2023-11-17 07:49:00,279854,279916,1,mínimo,1.08395,1.08341,1.08569,5.399999999999849,-1.0,SL,3.2222222222224506,0.2222222222222284,-1.2222222222222283
2023-11-22,2023-11-22 09:04:00,280733,280780,1,mínimo,1.08893,1.08818,1.09229,7.500000000000284,2.3066666666665916,cierre Londres,4.47999999999987,0.15999999999999392,2.1466666666665977
2023-11-23,2023-11-23 08:44:00,281017,281068,-1,máximo,1.09219,1.0928,1.09097,6.099999999999994,2.0,TP,2.0,0.19672131147541,1.80327868852459
2023-11-24,2023-11-24 09:19:00,281310,281354,-1,máximo,1.09154,1.09202,1.0905799999999999,4.8000000000003595,2.0,TP,2.0,0.24999999999998126,1.7500000000000187
2023-11-28,2023-11-28 07:19:00,281861,281929,1,mínimo,1.09465,1.09439,1.09628,2.5999999999992696,-1.0,SL,6.269230769232609,0.4615384615385912,-1.4615384615385911
2023-11-29,2023-11-29 07:29:00,282151,282217,1,mínimo,1.09887,1.09851,1.10171,3.5999999999991594,-1.0,SL,7.888888888890603,0.33333333333341114,-1.3333333333334112
2023-11-30,2023-11-30 07:59:00,282445,282505,1,mínimo,1.09514,1.09438,1.09838,7.600000000000939,-1.0,SL,4.263157894736196,0.15789473684208574,-1.1578947368420858
2023-12-01,2023-12-01 11:14:00,282772,282793,1,mínimo,1.08891,1.08816,1.09127,7.500000000000284,-1.0,SL,3.146666666666438,0.15999999999999392,-1.159999999999994
2023-12-04,2023-12-04 07:59:00,283021,283081,1,mínimo,1.08538,1.08488,1.08948,4.999999999999449,3.0600000000003997,cierre Londres,8.200000000000887,0.24000000000002641,2.8200000000003733
2023-12-05,2023-12-05 07:59:00,283309,283369,1,mínimo,1.08071,1.08031,1.08474,3.9999999999995595,1.75,cierre Londres,10.075000000001054,0.300000000000033,1.4499999999999669
2023-12-06,2023-12-06 07:49:00,283595,283657,1,mínimo,1.07891,1.07809,1.08017,8.20000000000043,-1.0,SL,1.5365853658536255,0.14634146341462648,-1.1463414634146265
