tfb,reg,buf,rr,ent,n,R,z
1440,ema20,1.0,2.0,fvg,25346,-0.42020087860289873,-48.6465466512441
1440,ema20,1.0,3.0,mercado,27189,-0.34613995334839076,-33.787886970621244
1440,ema20,1.0,3.0,fvg,25307,-0.428934610023392,-41.133605815117555
1440,ema20,3.0,2.0,mercado,29613,-0.26062287764462494,-31.995027893151065
1440,ema20,3.0,2.0,fvg,28355,-0.3202693365769676,-38.76526015731252
1440,ema20,3.0,3.0,mercado,29519,-0.26438509035864827,-26.627029839564404
1440,ema20,3.0,3.0,fvg,28302,-0.32593944038194256,-32.52149841205847
1440,ema20,6.0,2.0,mercado,30843,-0.17547688494911692,-21.84514861086917
1440,ema20,6.0,2.0,fvg,30043,-0.21562810343425426,-26.61456982464824
1440,ema20,6.0,3.0,mercado,30642,-0.18761119603379783,-19.131803976124687
1440,ema20,6.0,3.0,fvg,29906,-0.21907839514918354,-22.149837555342014
1440,ema50,1.0,2.0,mercado,27208,-0.33866007776212437,-40.0469808114547
1440,ema50,1.0,2.0,fvg,25265,-0.4168359001259209,-48.14929780330357
1440,ema50,1.0,3.0,mercado,27149,-0.3470318319154965,-33.85308877351335
1440,ema50,1.0,3.0,fvg,25227,-0.42327979458169795,-40.45005597793653
1440,ema50,3.0,2.0,mercado,29548,-0.26091961239676115,-31.99705349706088
1440,ema50,3.0,2.0,fvg,28308,-0.3185838232996661,-38.50755120216311
1440,ema50,3.0,3.0,mercado,29454,-0.26574266322722884,-26.746886983350638
1440,ema50,3.0,3.0,fvg,28262,-0.3253782003193583,-32.425807292517995
1440,ema50,6.0,2.0,mercado,30755,-0.18015293270703084,-22.43149148131259
1440,ema50,6.0,2.0,fvg,29950,-0.2190065140664564,-27.025915619958926
1440,ema50,6.0,3.0,mercado,30549,-0.18857312690901973,-19.213224099305044
1440,ema50,6.0,3.0,fvg,29819,-0.22158026933813563,-22.39664169023877
1440,rango,1.0,2.0,mercado,27191,-0.3353178345530182,-39.606024242953616
1440,rango,1.0,2.0,fvg,25319,-0.41698635789952465,-48.1852745125994
1440,rango,1.0,3.0,mercado,27129,-0.3396237663986201,-33.03398618312851
1440,rango,1.0,3.0,fvg,25276,-0.42107282558430353,-40.219126467968984
1440,rango,3.0,2.0,mercado,29531,-0.25371060389378797,-31.03590500481466
1440,rango,3.0,2.0,fvg,28300,-0.31411984554814465,-37.896169784322375
1440,rango,3.0,3.0,mercado,29436,-0.26029168844675826,-26.133196290546515
1440,rango,3.0,3.0,fvg,28244,-0.31755582113903974,-31.53849668165394
1440,rango,6.0,2.0,mercado,30780,-0.17171398249869999,-21.334978576232537
1440,rango,6.0,2.0,fvg,29987,-0.20809446477119153,-25.605367090858813
1440,rango,6.0,3.0,mercado,30584,-0.1839384748419607,-18.7140161595853
1440,rango,6.0,3.0,fvg,29851,-0.21377004112939402,-21.547435396894702
