F,obj,mot,R,neta,rgo,lado,anio
0.5,1:2,SL,-1.0,-1.0198094332521148,1009.6199999999953,1,2023
0.618,1:2,SL,-1.0,-1.024659045542051,811.0614000000169,1,2023
0.705,1:2,SL,-1.0,-1.0300902783576427,664.6664999999985,1,2023
0.79,1:2,SL,-1.0,-1.0383408385524793,521.6370000000097,1,2023
0.5,nivel,SL,-1.0,-1.0251572327044023,795.0000000000045,-1,2023
0.5,1:2,SL,-1.0,-1.0251572327044023,795.0000000000045,-1,2023
0.618,nivel,SL,-1.0,-1.0313160573083846,638.6500000000069,-1,2023
0.618,1:2,SL,-1.0,-1.0313160573083846,638.6500000000069,-1,2023
0.705,nivel,SL,-1.0,-1.0382135180320031,523.37500000001,-1,2023
0.705,1:2,SL,-1.0,-1.0382135180320031,523.37500000001,-1,2023
0.79,nivel,SL,-1.0,-1.0486914181375524,410.7500000000073,-1,2023
0.79,1:2,SL,-1.0,-1.0486914181375524,410.7500000000073,-1,2023
0.5,nivel,SL,-1.0,-1.0622820129546595,321.11999999999625,-1,2023
0.5,1:2,SL,-1.0,-1.0622820129546595,321.11999999999625,-1,2023
0.618,nivel,SL,-1.0,-1.0775294767070411,257.96640000000934,-1,2023
0.618,1:2,SL,-1.0,-1.0775294767070411,257.96640000000934,-1,2023
0.705,nivel,SL,-1.0,-1.0946055892982087,211.4040000000159,-1,2023
0.705,1:2,SL,-1.0,-1.0946055892982087,211.4040000000159,-1,2023
0.79,nivel,SL,-1.0,-1.1205458315251438,165.912000000003,-1,2023
0.79,1:2,SL,-1.0,-1.1205458315251438,165.912000000003,-1,2023
0.5,1:2,SL,-1.0,-1.0273448181569589,731.4000000000078,1,2023
0.618,nivel,SL,-1.0,-1.0340391927265045,587.5580000000127,1,2023
0.618,1:2,SL,-1.0,-1.0340391927265045,587.5580000000127,1,2023
