mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.212765957446803,7.050000000000182,1,2023,10
SL,-1.0,-1.212765957446803,7.050000000000182,1,2023,10
SL,-1.0,-1.1849568434032134,8.109999999999673,-1,2023,10
SL,-1.0,-1.1359927470534936,11.029999999999745,-1,2023,13
SL,-1.0,-1.1359927470534936,11.029999999999745,-1,2023,13
SL,-1.0,-1.213980028530664,7.010000000000218,1,2023,18
SL,-1.0,-1.2109704641350307,7.109999999999673,1,2023,7
TP,2.0,1.8847040737893948,13.010000000000218,-1,2023,8
TP,2.0,1.8847040737893948,13.010000000000218,-1,2023,8
SL,-1.0,-1.068119891008176,22.019999999999527,-1,2023,9
SL,-1.0,-1.068119891008176,22.019999999999527,-1,2023,9
TP,2.0,1.893009985734668,14.020000000000437,1,2023,10
SL,-1.0,-1.213980028530664,7.010000000000218,1,2023,11
TP,2.0,1.9044585987261136,15.699999999999818,1,2023,16
TP,2.0,1.8329621380846244,8.979999999999563,1,2023,18
SL,-1.0,-1.4950495049505368,3.0299999999997453,-1,2023,18
TP,2.0,1.7851002865329377,6.979999999999563,1,2023,19
TP,2.0,1.6774193548386844,4.649999999999636,1,2023,20
TP,2.0,1.5253164556961807,3.1599999999998545,1,2023,7
TP,2.0,1.625,4.0,1,2023,8
SL,-1.0,-1.0965250965250968,15.539999999999964,-1,2023,9
SL,-1.0,-1.0965250965250968,15.539999999999964,-1,2023,9
TP,2.0,1.5049504950494632,3.0299999999997453,1,2023,11
SL,-1.0,-1.0998668442077202,15.020000000000437,1,2023,8
SL,-1.0,-1.0998668442077202,15.020000000000437,1,2023,8
SL,-1.0,-1.0998668442077202,15.020000000000437,1,2023,8
SL,-1.0,-1.0998668442077202,15.020000000000437,1,2023,8
SL,-1.0,-1.093867334167712,15.979999999999563,-1,2023,12
SL,-1.0,-1.093867334167712,15.979999999999563,-1,2023,12
SL,-1.0,-1.093867334167712,15.979999999999563,-1,2023,12
SL,-1.0,-1.1001335113484676,14.979999999999563,-1,2023,13
SL,-1.0,-1.2982107355864423,5.030000000000655,1,2023,7
TP,2.0,1.7857142857142858,7.0,-1,2023,8
SL,-1.0,-1.1,15.0,1,2023,9
TP,2.0,1.884969325153374,13.039999999999964,1,2023,11
TP,2.0,1.8127340823970088,8.010000000000218,-1,2023,15
TP,2.0,1.8127340823970088,8.010000000000218,-1,2023,15
SL,-1.0,-1.078864353312301,19.020000000000437,-1,2023,8
SL,-1.0,-1.115030674846626,13.039999999999964,-1,2023,10
TP,2.0,1.8924731182795684,13.949999999999818,1,2023,11
TP,2.0,1.8847926267281063,13.019999999999527,1,2023,13
TP,2.0,1.6993987975951772,4.989999999999782,-1,2023,13
TP,2.0,1.8940677966101684,14.159999999999854,1,2023,15
SL,-1.0,-1.5033557046979067,2.980000000000473,-1,2023,16
SL,-1.0,-1.4983388704318577,3.0100000000002183,-1,2023,17
TP,2.0,1.7560975609755953,6.149999999999636,1,2023,18
TP,2.0,1.7560975609755953,6.149999999999636,1,2023,18
TP,2.0,1.7560975609755953,6.149999999999636,1,2023,18
SL,-1.0,-1.4983388704318577,3.0100000000002183,1,2023,7
TP,2.0,0.6842105263151177,1.139999999999418,-1,2023,7
SL,-1.0,-1.3018108651911313,4.970000000000255,1,2023,8
SL,-1.0,-1.0874125874125882,17.159999999999854,-1,2023,8
SL,-1.0,-1.1501501501501534,9.989999999999782,-1,2023,10
SL,-1.0,-1.0535523027490195,28.00999999999931,-1,2023,15
SL,-1.0,-1.1943005181347086,7.720000000000255,1,2023,16
