mot,R,neta,rgo,lado,anio,hora
SL,-1.0,-1.0613026819923372,26.100000000000012,-1,2020,7
TP,2.0,1.902439024390249,16.40000000000086,1,2020,8
SL,-1.0,-1.101910828025473,15.700000000000713,-1,2020,11
SL,-1.0,-1.1045751633986907,15.300000000000313,1,2020,16
SL,-1.0,-1.3720930232558741,4.299999999999304,-1,2020,18
SL,-1.0,-2.142857142856906,1.40000000000029,-1,2020,4
SL,-1.0,-1.2539682539682908,6.299999999999084,1,2020,5
SL,-1.0,-2.6000000000001764,0.9999999999998899,-1,2020,5
SL,-1.0,-1.097560975609751,16.40000000000086,1,2020,8
SL,-1.0,-1.0551724137931011,29.000000000001247,-1,2020,9
TP,2.0,1.8431372549019298,10.199999999997988,1,2020,21
SL,-1.0,-1.186046511627889,8.60000000000083,1,2020,22
SL,-1.0,-1.186046511627889,8.60000000000083,1,2020,22
SL,-1.0,-1.195121951219502,8.20000000000043,-1,2020,23
SL,-1.0,-1.195121951219502,8.20000000000043,-1,2020,23
SL,-1.0,-1.195121951219502,8.20000000000043,-1,2020,23
SL,-1.0,-1.2622950819672134,6.099999999999994,-1,2020,0
SL,-1.0,-1.2622950819672134,6.099999999999994,-1,2020,0
SL,-1.0,-1.2622950819672134,6.099999999999994,-1,2020,0
SL,-1.0,-1.355555555555507,4.500000000000615,1,2020,1
SL,-1.0,-1.3902439024390039,4.100000000000215,1,2020,3
SL,-1.0,-1.3902439024390039,4.100000000000215,1,2020,3
TP,2.0,1.9362549800796816,25.100000000000122,1,2020,8
TP,2.0,1.9362549800796816,25.100000000000122,1,2020,8
SL,-1.0,-1.1111111111111027,14.400000000001079,-1,2020,8
SL,-1.0,-1.1290322580645258,12.399999999999078,1,2020,10
TP,2.0,1.8954248366013093,15.300000000000313,1,2020,6
SL,-1.0,-1.2025316455696027,7.900000000000684,-1,2020,7
SL,-1.0,-1.1038961038961124,15.399999999998748,1,2020,9
SL,-1.0,-1.1038961038961124,15.399999999998748,1,2020,9
fuera,0.7809523809523548,0.7555555555555292,62.99999999999972,-1,2020,9
TP,2.0,1.8367346938775477,9.799999999999809,1,2020,11
TP,2.0,1.8367346938775477,9.799999999999809,1,2020,11
SL,-1.0,-1.166666666666654,9.600000000000719,-1,2020,11
SL,-1.0,-1.166666666666654,9.600000000000719,-1,2020,11
fuera,1.523809523809549,1.4285714285714484,16.799999999999038,-1,2020,14
SL,-1.0,-1.1142857142857088,14.000000000000679,1,2020,15
TP,2.0,1.619047619047698,4.20000000000087,-1,2020,16
TP,2.0,1.7377049180327866,6.099999999999994,-1,2020,17
SL,-1.0,-1.3018867924527497,5.300000000001415,-1,2020,22
SL,-1.0,-1.2758620689655054,5.800000000000249,1,2020,23
TP,2.0,1.8181818181818166,8.799999999999919,-1,2020,0
TP,2.0,1.8181818181818166,8.799999999999919,-1,2020,0
SL,-1.0,-1.1702127659574575,9.399999999999409,1,2020,6
SL,-1.0,-1.0647773279352235,24.699999999999722,-1,2020,7
SL,-1.0,-1.0647773279352235,24.699999999999722,-1,2020,7
SL,-1.0,-1.1151079136690645,13.900000000000023,1,2020,11
SL,-1.0,-1.3333333333333084,4.8000000000003595,1,2020,20
SL,-1.0,-1.484848484848571,3.2999999999994145,1,2020,21
SL,-1.0,-2.454545454544734,1.100000000000545,-1,2020,2
SL,-1.0,-1.1702127659574575,9.399999999999409,1,2020,3
SL,-1.0,-1.1702127659574575,9.399999999999409,1,2020,3
TP,2.0,-0.28571428571381263,0.700000000000145,-1,2020,3
SL,-1.0,-1.2962962962963047,5.399999999999849,1,2020,4
SL,-1.0,-1.1523809523809532,10.499999999999954,-1,2020,6
TP,2.0,1.9501557632398778,32.10000000000157,1,2020,9
SL,-1.0,-1.340425531914915,4.699999999999704,-1,2020,11
SL,-1.0,-1.0645161290322571,24.800000000000377,1,2020,13
TP,2.0,1.8400000000000178,10.000000000001119,-1,2020,13
TP,2.0,1.9545454545454541,35.199999999999676,1,2020,11
