tf,ema,fib,rr,lado,n,R,z,fuente
15,50,0.5,2.0,ventas,28331,-0.3888149554362208,-48.84910524474078,real
15,50,0.5,3.0,todo,55158,-0.45820707712500564,-69.10951222647489,real
15,50,0.5,3.0,compras,27634,-0.45992503754083525,-49.17189464009416,real
15,50,0.5,3.0,ventas,27524,-0.4564822508595268,-48.5631900838767,real
15,50,0.618,1.0,todo,51196,-0.3929382092509659,-88.86050718272078,real
15,50,0.618,1.0,compras,25445,-0.4076792916076169,-65.27024427610398,real
15,50,0.618,1.0,ventas,25751,-0.3783722956722705,-60.44693317680545,real
15,50,0.618,2.0,todo,50283,-0.374969264309301,-61.80640627913884,real
15,50,0.618,2.0,compras,24955,-0.4050131966737272,-47.63330274560994,real
15,50,0.618,2.0,ventas,25328,-0.34536778246492905,-39.9285935272179,real
15,50,0.618,3.0,todo,49416,-0.4006022065342128,-54.837408235731736,real
15,50,0.618,3.0,compras,24569,-0.4204759791510068,-41.01839921262354,real
15,50,0.618,3.0,ventas,24847,-0.3809507910948434,-36.60343139875322,real
15,50,0.705,1.0,todo,43031,-0.4120963239695242,-85.27567341248655,real
15,50,0.705,1.0,compras,21352,-0.4284762521633088,-62.65922387852039,real
15,50,0.705,1.0,ventas,21679,-0.3959634660520147,-57.988228289075174,real
15,50,0.705,2.0,todo,42516,-0.3743864765766724,-56.22258718844036,real
15,50,0.705,2.0,compras,21089,-0.3993204071402928,-42.63043040993455,real
15,50,0.705,2.0,ventas,21427,-0.3498458660546119,-36.9726180456284,real
15,50,0.705,3.0,todo,42042,-0.3656018945733617,-44.959883317268165,real
15,50,0.705,3.0,compras,20852,-0.4069912913688589,-35.89184818217127,real
15,50,0.705,3.0,ventas,21190,-0.3248726967451547,-27.89512428261822,real
15,50,0.786,1.0,todo,31575,-0.450384957140143,-80.1748435003255,real
15,50,0.786,1.0,compras,15684,-0.4533653017062666,-56.84486606257965,real
15,50,0.786,1.0,ventas,15891,-0.4474434352614014,-56.539411483936654,real
15,50,0.786,2.0,todo,31323,-0.38245607623424294,-49.04334935625135,real
15,50,0.786,2.0,compras,15582,-0.39593801978622817,-35.95692563025476,real
15,50,0.786,2.0,ventas,15741,-0.36911031393025767,-33.421144583976044,real
15,50,0.786,3.0,todo,31028,-0.367042942368874,-38.40371294321242,real
15,50,0.786,3.0,compras,15437,-0.3924368708738736,-29.262405103438176,real
15,50,0.786,3.0,ventas,15591,-0.3418998422257351,-25.110263130884693,real
15,100,0.382,1.0,todo,64668,-0.4783742461531114,-125.43041792916937,real
15,100,0.382,1.0,compras,31835,-0.4970585048266328,-92.22101161326957,real
15,100,0.382,1.0,ventas,32833,-0.4602579188339035,-85.3262647796291,real
15,100,0.382,2.0,todo,62377,-0.5252633087180649,-105.30902018127513,real
15,100,0.382,2.0,compras,30785,-0.5352596040018351,-75.92585961492702,real
15,100,0.382,2.0,ventas,31592,-0.5155223632156951,-73.05884252369215,real
15,100,0.382,3.0,todo,60472,-0.5933034554293475,-102.90535644503224,real
15,100,0.382,3.0,compras,29929,-0.5940547428069961,-72.6033045936143,real
15,100,0.382,3.0,ventas,30543,-0.5925672710360118,-72.92674768836149,real
15,100,0.5,1.0,todo,60367,-0.4590864265919052,-114.77719382777562,real
15,100,0.5,1.0,compras,29836,-0.47341181391117576,-83.7288980569144,real
15,100,0.5,1.0,ventas,30531,-0.4450871387841768,-78.67687152602437,real
15,100,0.5,2.0,todo,58916,-0.47294837015242563,-88.57525407869635,real
15,100,0.5,2.0,compras,29189,-0.48352846449979064,-64.15687419685585,real
15,100,0.5,2.0,ventas,29727,-0.4625597546209142,-61.15094340002952,real
15,100,0.5,3.0,todo,57532,-0.5309049142443278,-84.81873362652249,real
15,100,0.5,3.0,compras,28583,-0.5376340863507855,-60.8546506532048,real
15,100,0.5,3.0,ventas,28949,-0.5242608185477968,-59.11576196620696,real
15,100,0.618,1.0,todo,52873,-0.46357074944891247,-107.79161094302655,real
15,100,0.618,1.0,compras,26121,-0.48027094948628446,-78.94781203497206,real
15,100,0.618,1.0,ventas,26752,-0.4472644573893957,-73.58418685813261,real
15,100,0.618,2.0,todo,52017,-0.4420396499835385,-75.78058615415725,real
15,100,0.618,2.0,compras,25660,-0.4743097443880973,-57.990419732120415,real
15,100,0.618,2.0,ventas,26357,-0.41062292492298624,-49.41618427442713,real
15,100,0.618,3.0,todo,51203,-0.4691191636500403,-67.29684724709675,real
15,100,0.618,3.0,compras,25300,-0.49388336494855356,-50.52851897455408,real
15,100,0.618,3.0,ventas,25903,-0.4449314520779295,-44.787169302524795,real
15,100,0.705,1.0,todo,44041,-0.4720073815546814,-99.72015360060252,real
15,100,0.705,1.0,compras,21735,-0.48872995981048484,-72.85074869167576,real
15,100,0.705,1.0,ventas,22306,-0.455712876112653,-68.24949897729084,real
15,100,0.705,2.0,todo,43545,-0.4346723445418968,-67.3221010480258,real
15,100,0.705,2.0,compras,21477,-0.4645188059682783,-51.17414956140301,real
15,100,0.705,2.0,ventas,22068,-0.4056251969954768,-44.20480295560249,real
15,100,0.705,3.0,todo,43105,-0.4252886243474939,-54.18890291315168,real
15,100,0.705,3.0,compras,21261,-0.4724681479722416,-43.25830326363341,real
15,100,0.705,3.0,ventas,21844,-0.37936828687332436,-33.709871958225406,real
15,100,0.786,1.0,todo,32006,-0.49456742345329807,-89.30553056493268,real
15,100,0.786,1.0,compras,15862,-0.49502594260441835,-62.88592611995937,real
15,100,0.786,1.0,ventas,16144,-0.49411691361837057,-63.408135923241005,real
15,100,0.786,2.0,todo,31761,-0.43467361558335066,-57.03513807730334,real
15,100,0.786,2.0,compras,15764,-0.44864673199445493,-41.69529528623052,real
15,100,0.786,2.0,ventas,15997,-0.4209040208402959,-38.99474126582011,real
15,100,0.786,3.0,todo,31469,-0.4172460897927036,-44.792211088106804,real
15,100,0.786,3.0,compras,15617,-0.44179697281259966,-33.795811010844616,real
15,100,0.786,3.0,ventas,15852,-0.39305916447591593,-29.624911385081397,real
15,200,0.382,1.0,todo,65607,-0.5298879663695419,-142.26400114669264,real
15,200,0.382,1.0,compras,32256,-0.5442566235068925,-103.29636798429989,real
15,200,0.382,1.0,ventas,33351,-0.5159910695861657,-98.02761763023044,real
15,200,0.382,2.0,todo,63480,-0.5760605351851673,-119.65490227303317,real
15,200,0.382,2.0,compras,31267,-0.5844821944054933,-85.84161402977291,real
15,200,0.382,2.0,ventas,32213,-0.5678861950478956,-83.43245674650551,real
15,200,0.382,3.0,todo,61748,-0.6365887893889252,-114.82032285259098,real
15,200,0.382,3.0,compras,30487,-0.6404829879857569,-81.57078107504698,real
15,200,0.382,3.0,ventas,31261,-0.6327910083639546,-80.8271825145723,real
15,200,0.5,1.0,todo,61112,-0.5133009055327598,-131.00070978292334,real
15,200,0.5,1.0,compras,30124,-0.5249536412971394,-94.71362070180008,real
15,200,0.5,1.0,ventas,30988,-0.5019730685582479,-90.63459228598234,real
15,200,0.5,2.0,todo,59771,-0.5266344405785446,-101.71362885443905,real
15,200,0.5,2.0,compras,29498,-0.5367163699969828,-73.37840106522732,real
15,200,0.5,2.0,ventas,30273,-0.5168106122831958,-70.52327913570441,real
15,200,0.5,3.0,todo,58506,-0.579885806788673,-96.02010988225085,real
15,200,0.5,3.0,compras,28951,-0.588353911378657,-69.0689029100507,real
15,200,0.5,3.0,ventas,29555,-0.571590760401103,-66.76582730556038,real
15,200,0.618,1.0,todo,53280,-0.5108427623275222,-120.553967193535,real
15,200,0.618,1.0,compras,26340,-0.5257551026492857,-87.80863047901141,real
15,200,0.618,1.0,ventas,26940,-0.49626254539822573,-82.77051039260051,real
15,200,0.618,2.0,todo,52495,-0.49125695810108505,-86.2392013706386,real
15,200,0.618,2.0,compras,25907,-0.5176394941702357,-64.77113235153979,real
15,200,0.618,2.0,ventas,26588,-0.46555015947224937,-57.3890516973929,real
15,200,0.618,3.0,todo,51751,-0.5160244436328124,-76.08668191765342,real
15,200,0.618,3.0,compras,25562,-0.5394801177637419,-56.76367665306019,real
15,200,0.618,3.0,ventas,26189,-0.49313032999216866,-50.99350737453764,real
15,200,0.705,1.0,todo,44111,-0.5153139092294279,-109.94377961373192,real
15,200,0.705,1.0,compras,21779,-0.5282868427022362,-79.5908003653954,real
15,200,0.705,1.0,ventas,22332,-0.5026622202582521,-75.95431766985708,real
15,200,0.705,2.0,todo,43636,-0.480476910376568,-75.73457762506916,real
15,200,0.705,2.0,compras,21526,-0.5042114754465402,-56.506752168733975,real
15,200,0.705,2.0,ventas,22110,-0.45736925557348246,-50.738412735717525,real
15,200,0.705,3.0,todo,43232,-0.47371170027881415,-61.71471367710401,real
15,200,0.705,3.0,compras,21325,-0.5115528783856528,-47.79647163975762,real
15,200,0.705,3.0,ventas,21907,-0.43687584310401467,-39.75036875988551,real
15,200,0.786,1.0,todo,31874,-0.5324864613985906,-96.64353512660679,real
15,200,0.786,1.0,compras,15884,-0.5255173732678368,-67.22417696296179,real
15,200,0.786,1.0,ventas,15990,-0.5394093504460512,-69.45152152084617,real
15,200,0.786,2.0,todo,31640,-0.4781560935378863,-63.5318274282877,real
15,200,0.786,2.0,compras,15785,-0.4883278394254714,-46.05456805599802,real
15,200,0.786,2.0,ventas,15855,-0.4680292560206658,-43.80918874324536,real
15,200,0.786,3.0,todo,31353,-0.46182774360494605,-50.38024477462979,real
15,200,0.786,3.0,compras,15640,-0.4775192756977795,-37.12397452343956,real
15,200,0.786,3.0,ventas,15713,-0.44620911177576533,-34.15992203926605,real
60,10,0.382,1.0,todo,14034,-0.16461572707402786,-19.481398579454588,real
60,10,0.382,1.0,compras,6905,-0.16545341589168747,-13.756824081592272,real
60,10,0.382,1.0,ventas,7129,-0.1638043592403991,-13.79397581977323,real
60,10,0.382,2.0,todo,13423,-0.16313062042070997,-13.653101284698131,real
60,10,0.382,2.0,compras,6599,-0.16878608465190156,-9.934773576781069,real
60,10,0.382,2.0,ventas,6824,-0.15766162738705908,-9.380613523923115,real
60,10,0.382,3.0,todo,12825,-0.23020419864164923,-15.922941343711607,real
60,10,0.382,3.0,compras,6334,-0.20464626336289288,-9.854426918269354,real
60,10,0.382,3.0,ventas,6491,-0.2551439555443827,-12.675408025588144,real
60,10,0.5,1.0,todo,13597,-0.15272685935150968,-17.699738097717212,real
60,10,0.5,1.0,compras,6707,-0.15186734288062015,-12.380571874614224,real
60,10,0.5,1.0,ventas,6890,-0.15356354686533494,-12.648364887758303,real
60,10,0.5,2.0,todo,13143,-0.13926783679506838,-11.388641351438215,real
60,10,0.5,2.0,compras,6491,-0.15591653011585038,-9.01354297129529,real
60,10,0.5,2.0,ventas,6652,-0.1230220959133492,-7.116669757848567,real
60,10,0.5,3.0,todo,12757,-0.17873280000079225,-11.980319841264633,real
60,10,0.5,3.0,compras,6281,-0.17550974717556517,-8.254222356248325,real
60,10,0.5,3.0,ventas,6476,-0.1818588029030855,-8.685084998340335,real
60,10,0.618,1.0,todo,12903,-0.22114092054489068,-24.93341498369679,real
60,10,0.618,1.0,compras,6389,-0.22127605866196112,-17.579275952753793,real
60,10,0.618,1.0,ventas,6514,-0.22100837565235715,-17.680582236824844,real
60,10,0.618,2.0,todo,12691,-0.17511975466018528,-14.073246365274422,real
60,10,0.618,2.0,compras,6277,-0.1847558017097209,-10.48430935260229,real
60,10,0.618,2.0,ventas,6414,-0.16568952900849604,-9.42873732541594,real
60,10,0.618,3.0,todo,12412,-0.18636301520378198,-12.219963542651314,real
60,10,0.618,3.0,compras,6140,-0.1984599663783296,-9.20771200777409,real
60,10,0.618,3.0,ventas,6272,-0.17452065547614765,-8.087335293218855,real
60,10,0.705,1.0,todo,12149,-0.3043336200934763,-33.36891856551263,real
60,10,0.705,1.0,compras,6017,-0.3277744011522404,-25.463142501475602,real
60,10,0.705,1.0,ventas,6132,-0.28133244924700157,-21.782222824298454,real
60,10,0.705,2.0,todo,12037,-0.22340000644341992,-17.549441419959898,real
60,10,0.705,2.0,compras,5959,-0.23502171741653752,-13.05831403805551,real
60,10,0.705,2.0,ventas,6078,-0.212005834727591,-11.774393806882745,real
60,10,0.705,3.0,todo,11905,-0.19163910298278855,-12.183146813005843,real
60,10,0.705,3.0,compras,5892,-0.2307733882367718,-10.487746754898788,real
60,10,0.705,3.0,ventas,6013,-0.15329231956079134,-6.8241591970995925,real
60,10,0.786,1.0,todo,10921,-0.4486503389259262,-47.49352957425156,real
60,10,0.786,1.0,compras,5428,-0.4620057927746627,-34.650020275404685,real
60,10,0.786,1.0,ventas,5493,-0.43545292339872027,-32.537516715848376,real
60,10,0.786,2.0,todo,10864,-0.34956058146013114,-26.79176693385782,real
60,10,0.786,2.0,compras,5412,-0.3750188800326618,-20.50207437462298,real
60,10,0.786,2.0,ventas,5452,-0.3242890642417644,-17.432042173965986,real
60,10,0.786,3.0,todo,10816,-0.29821159431058347,-18.522063382428257,real
60,10,0.786,3.0,compras,5395,-0.29767005743025265,-13.060033156876319,real
60,10,0.786,3.0,ventas,5421,-0.29875053389172795,-13.132832872669152,real
60,20,0.382,1.0,todo,15373,-0.21536081244298666,-26.773858538286856,real
60,20,0.382,1.0,compras,7508,-0.23052184119713365,-20.113348593911716,real
60,20,0.382,1.0,ventas,7865,-0.20088795753057279,-17.79454241144663,real
60,20,0.382,2.0,todo,14688,-0.20734235208376386,-18.39512979205601,real
60,20,0.382,2.0,compras,7164,-0.2304814205031848,-14.426255029899222,real
60,20,0.382,2.0,ventas,7524,-0.18531041612460236,-11.65813394035268,real
60,20,0.382,3.0,todo,13999,-0.28767670479026847,-21.323862275600092,real
60,20,0.382,3.0,compras,6858,-0.2874577004930756,-14.946165330711214,real
60,20,0.382,3.0,ventas,7141,-0.28788702988061265,-15.208306667452312,real
60,20,0.5,1.0,todo,14949,-0.19468410924977825,-23.680477991219266,real
60,20,0.5,1.0,compras,7318,-0.20679980477791673,-17.663715839977062,real
60,20,0.5,1.0,ventas,7631,-0.18306536205086368,-15.855326249765273,real
60,20,0.5,2.0,todo,14449,-0.17952465760145653,-15.554345808039285,real
60,20,0.5,2.0,compras,7078,-0.21731701449431537,-13.366051456172244,real
60,20,0.5,2.0,ventas,7371,-0.14323456099480145,-8.752757908694763,real
60,20,0.5,3.0,todo,13998,-0.21155500417367765,-15.03716314451355,real
60,20,0.5,3.0,compras,6837,-0.23144198007537023,-11.615567088250785,real
60,20,0.5,3.0,ventas,7161,-0.1925678160379602,-9.69698180761564,real
60,20,0.618,1.0,todo,14199,-0.24535386560094427,-29.03312732861565,real
60,20,0.618,1.0,compras,6986,-0.252450048080711,-21.00716889778228,real
60,20,0.618,1.0,ventas,7213,-0.23848100676222944,-20.06359241914207,real
