slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.75,1.5,0.65,4,161.76000000000022,107.84000000000015,1294.0800000000017,862.7200000000012,0.3347,0.33545,0.432,0.4276,2.6699473170732877,-0.8928168168169083,7.0
1.0,1.5,0.35,2,215.6800000000003,143.78666666666686,862.7200000000012,575.1466666666674,0.33465,0.31215,0.45655,0.42835,7.281264390243968,2.157613613613618,16.0
1.0,1.0,0.25,1,215.6800000000003,215.6800000000003,431.3600000000006,431.3600000000006,0.3329,0.3122,0.4363,0.4261,4.933041951219519,3.205249249249215,47.0
0.5,1.0,0.5,5,107.84000000000015,107.84000000000015,1078.4000000000015,1078.4000000000015,0.3317,0.32935,0.42845,0.42265,16.738429268292734,15.23603603603571,6.0
1.0,2.0,0.35,2,215.6800000000003,107.84000000000015,862.7200000000012,431.3600000000006,0.33135,0.2894,0.4642,0.40565,6.88661463414646,-3.689939939939944,20.0
1.0,1.5,0.5,2,215.6800000000003,143.78666666666686,862.7200000000012,575.1466666666674,0.33085,0.31485,0.4576,0.42475,7.281264390243968,2.157613613613618,16.0
0.75,3.0,0.8,5,161.76000000000022,53.92000000000007,1617.6000000000022,539.2000000000007,0.33015,0.2896,0.40745,0.3566,-17.00031219512182,-53.58882882882883,9.0
1.0,3.0,1.0,5,215.6800000000003,71.89333333333343,2156.800000000003,718.9333333333343,0.32935,0.2953,0.44095,0.39785,-0.0022796747964049444,-31.095930930930777,5.0
0.5,1.5,0.5,5,107.84000000000015,71.89333333333343,1078.4000000000015,718.9333333333343,0.327,0.27845,0.43575,0.37135,8.436754471544821,-24.37770770770781,7.0
0.5,1.0,0.25,2,107.84000000000015,107.84000000000015,431.3600000000006,431.3600000000006,0.32695,0.32225,0.4669,0.4525,6.695371707317091,6.0944144144142784,29.0
1.0,2.0,0.5,2,215.6800000000003,107.84000000000015,862.7200000000012,431.3600000000006,0.3269,0.29105,0.46525,0.3993,6.88661463414646,-3.689939939939944,20.0
0.75,1.5,0.5,3,161.76000000000022,107.84000000000015,970.5600000000013,647.0400000000009,0.32645,0.3247,0.42835,0.4256,2.0024604878049623,-0.6696126126126775,11.0
1.0,1.5,0.25,1,215.6800000000003,143.78666666666686,431.3600000000006,287.5733333333337,0.31935,0.28575,0.3993,0.3916,3.640632195121984,1.078806806806809,56.0
0.5,1.5,0.35,3,107.84000000000015,71.89333333333343,647.0400000000009,431.3600000000006,0.3179,0.24455,0.4464,0.33685,5.06205268292686,-14.626624624624716,20.0
1.0,3.0,0.65,3,215.6800000000003,71.89333333333343,1294.0800000000017,431.3600000000006,0.31775,0.283,0.42445,0.3714,-0.0013678048778332063,-18.65755855855845,14.0
