id,opera,lado,exceso,mecha,cuerpo,hora,rgo
S24,1,-1,6.599999999998829,10.099999999999554,3.9999999999995595,10,7.599999999998719
S25,1,-1,0.2999999999997449,4.699999999999704,5.399999999999849,8,6.6000000000010495
S26,0,-1,7.399999999999629,10.200000000000209,1.2999999999996348,10,3.4999999999985043
S27,1,1,16.300000000000203,21.299999999999653,10.399999999999299,8,12.600000000000389
S28,0,-1,13.200000000002099,15.100000000001224,1.40000000000029,12,2.9999999999996696
S29,0,1,8.699999999999264,14.399999999998858,6.200000000000649,9,8.399999999999519
S30,1,-1,34.70000000000084,39.1000000000008,7.599999999998719,10,11.699999999998933
S31,1,-1,2.9999999999996696,3.4000000000000696,6.6000000000010495,8,7.900000000000684
S32,1,-1,0.09999999999843467,2.6999999999999247,4.299999999999304,10,7.600000000000939
S33,0,1,0.30000000000196536,2.100000000000435,0.8999999999992347,9,2.4000000000001798
S34,1,-1,2.100000000000435,3.6999999999998145,3.900000000001125,9,6.399999999999739
S35,0,-1,1.2000000000012,2.4000000000001798,0.9000000000014552,8,2.20000000000109
S36,0,-1,14.199999999999768,20.099999999998452,1.6000000000016001,11,7.4000000000018495
S37,0,1,0.1999999999990898,1.80000000000069,1.900000000001345,11,3.1000000000003247
S38,0,1,2.2999999999995246,3.8999999999989043,0.8999999999992347,12,2.9999999999996696
S39,0,1,25.199999999998557,30.09999999999957,4.199999999998649,11,5.1000000000001044
S40,1,1,0.5999999999994898,3.0999999999981043,2.9999999999996696,8,5.999999999999339
S41,1,1,5.60000000000116,8.00000000000134,6.300000000001305,10,8.300000000001084
S42,1,-1,27.000000000001467,29.700000000001392,2.6999999999999247,11,3.9999999999995595
S43,1,-1,0.700000000000145,1.9999999999997797,5.1000000000001044,8,6.800000000000139
S44,1,1,2.100000000000435,5.700000000001815,3.6999999999998145,8,7.500000000000284
S45,0,-1,18.700000000000383,26.699999999999502,7.500000000000284,9,12.099999999999334
S46,0,1,38.40000000000065,44.10000000000025,5.5000000000005045,9,6.6000000000010495
S47,0,1,5.399999999999849,6.099999999999994,1.40000000000029,10,2.80000000000058
S48,0,1,1.0999999999983245,2.7999999999983594,2.8999999999990145,12,5.1000000000001044
