par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-04-17 00:00:00,1,1.9413875598086514,-1.0,-1.0342105263157908,0,1,1,1,1,1,1,-1,False
EURUSD,2020-04-17 12:00:00,1,3.4930939226519806,0.3535911602209843,0.3140883977900446,0,1,1,1,1,1,1,-1,False
EURUSD,2020-04-18 00:00:00,-1,4.646511627907119,-1.0,-1.0665116279069806,0,1,1,1,1,1,1,1,False
EURUSD,2020-04-20 12:00:00,-1,1.8066502463054077,-0.04433497536947564,-0.07955665024632336,0,1,1,1,-1,-1,-1,1,False
EURUSD,2020-04-22 00:00:00,-1,2.76150627615082,-1.0,-1.0598326359832664,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-04-22 12:00:00,-1,10.735955056181739,10.735955056181739,10.575280898878338,1,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-04-24 00:00:00,-1,1.6244813278008494,-1.0,-1.0197786998616878,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-04-24 12:00:00,1,1.9191842900302505,0.524169184290055,0.50256797583084,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-04-28 12:00:00,1,0.8204960835508974,-0.14882506527414083,-0.1674934725848458,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-04-30 12:00:00,-1,2.9177215189873644,-1.0,-1.0603375527426164,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-01 00:00:00,1,0.5353309481216787,0.5353309481216787,0.52254025044726,1,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-02 00:00:00,-1,2.030487804878032,2.030487804878032,1.9956097560975443,1,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-07 12:00:00,1,4.524590163934588,-1.0,-1.1172131147540985,0,0,-1,-1,0,1,1,-1,False
EURUSD,2020-05-08 00:00:00,1,0.8211206896552091,-0.215517241379323,-0.23606321839081768,0,1,1,1,0,1,1,1,False
EURUSD,2020-05-08 12:00:00,-1,7.9042553191492475,-1.0,-1.1014184397163185,0,1,1,1,0,1,1,1,False
EURUSD,2020-05-09 00:00:00,-1,1.3792207792206552,0.5376623376623236,0.5005194805194677,0,1,1,1,0,1,1,1,False
EURUSD,2020-05-12 00:00:00,1,7.125000000000315,-1.0,-1.1625000000000014,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-12 12:00:00,1,1.0101088646967313,-0.4712286158631254,-0.49346811819594055,0,-1,-1,-1,1,1,1,-1,False
EURUSD,2020-05-13 00:00:00,-1,2.4294710327455498,-1.0,-1.036020151133501,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-13 12:00:00,1,1.457423580786014,-1.0,-1.0312227074235807,0,-1,-1,-1,1,1,1,1,False
EURUSD,2020-05-14 00:00:00,-1,0.9496688741721788,0.30331125827816446,0.28437086092717095,0,-1,-1,-1,1,1,1,-1,False
