tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
240,10,0.618,3.0,3291,0.053783044667274384,1.7507952816251675,-0.0017254541086550623,-0.056219771738138045,0.055508498775929435
240,10,0.705,1.0,3251,0.2832974469394033,16.84035337027328,0.2115292526805998,12.529289700324643,0.07176819425880347
240,10,0.705,2.0,3244,0.20684340320591862,8.00719821467354,0.1349675056287641,5.225760535123676,0.07187589757715449
240,10,0.705,3.0,3225,0.12868217054263567,4.058723145262046,0.05658193690145131,1.7859913368582634,0.07210023364118434
240,10,0.786,1.0,3135,0.24720893141945774,14.282585033906486,0.14769849029451865,8.448565345554822,0.09951044112493909
240,10,0.786,2.0,3130,0.3600638977635783,13.486188958627228,0.2604571194416182,9.7335034199398,0.09960677832196006
240,10,0.786,3.0,3129,0.19015659955257272,5.815695534011611,0.09052430984565761,2.7678394420036336,0.0996322897069151
240,20,0.382,1.0,3979,-0.04749937170143252,-2.999236643166383,-0.08048808843886333,-5.0795332505867945,0.03298871673743082
240,20,0.382,2.0,3831,-0.06812842599843383,-3.0371130528406933,-0.101789076621157,-4.537666387178741,0.033660650622723144
240,20,0.382,3.0,3644,-0.15916575192096596,-5.894375624891561,-0.19359161971182387,-7.170957217045713,0.03442586779085789
240,20,0.5,1.0,3844,0.033818938605619145,2.0977013777765054,-0.0072754901518462395,-0.45075096547705595,0.041094428757465384
240,20,0.5,2.0,3783,-0.0007930214115781126,-0.03449187983725461,-0.042244913340029555,-1.8375833262319599,0.04145189192845144
240,20,0.5,3.0,3662,-0.026761332605133806,-0.9434281572081755,-0.06885412944249034,-2.427964950621566,0.042092796837356526
240,20,0.618,1.0,3663,0.1526071526071526,9.344391099723346,0.09821494402208827,6.0010016479332355,0.054392208585064335
240,20,0.618,2.0,3628,0.05429988974641676,2.283245935731247,-0.00036861047408101653,-0.015498335519460296,0.05466850022049776
240,20,0.618,3.0,3580,0.02011173184357542,0.6900911496942005,-0.03494047243896787,-1.1995815540915518,0.05505220428254328
240,20,0.705,1.0,3533,0.22388904613642796,13.652439576144616,0.15263341436878455,9.266516357280716,0.07125563176764343
240,20,0.705,2.0,3526,0.1537152580828134,6.253136093599719,0.08236155438457082,3.348995748615371,0.07135370369824257
240,20,0.705,3.0,3506,0.07701083856246435,2.569639645485904,0.005446719674587371,0.1817921510128047,0.07156411888787698
240,20,0.786,1.0,3403,0.2253893623273582,13.493412219995317,0.12642744411712417,7.4849063512000855,0.09896191821023405
240,20,0.786,2.0,3398,0.3119482048263684,12.217406816402793,0.2128983546525964,8.314420464312601,0.09904985017377205
240,20,0.786,3.0,3397,0.1315866941418899,4.256288295328668,0.03251350920350906,1.0510453263193476,0.09907318493838083
240,50,0.382,1.0,4197,-0.14700976888253514,-9.627385174336332,-0.1812034616872976,-11.840185367205917,0.03419369280476245
240,50,0.382,2.0,4055,-0.16769420468557336,-7.94912742422439,-0.20255351176972192,-9.592702425055133,0.034859307084148555
240,50,0.382,3.0,3865,-0.2703751617076326,-10.88019698223363,-0.30605503916867416,-12.313204238967753,0.0356798774610416
240,50,0.5,1.0,4066,-0.07033939990162322,-4.495789460148386,-0.11276955104533697,-7.186463774178873,0.04243015114371375
240,50,0.5,2.0,4017,-0.10306198655713218,-4.755411563852744,-0.1457791651151555,-6.71966206421884,0.04271717855802334
240,50,0.5,3.0,3893,-0.1297200102748523,-4.903556095893063,-0.17311315395515475,-6.540745475924448,0.043393143680302476
240,50,0.618,1.0,3908,0.02456499488229273,1.5359230508854116,-0.0315815160238794,-1.9654793114709315,0.056146510906172134
240,50,0.618,2.0,3876,-0.03560371517027864,-1.581819007054685,-0.09200551054836074,-4.08112794170901,0.05640179537808208
240,50,0.618,3.0,3841,-0.06378547253319448,-2.333837023718695,-0.1204745050620103,-4.405816700726212,0.05668903252881581
240,50,0.705,1.0,3784,0.10306553911205074,6.373098580827148,0.029518918346082265,1.8112738068511718,0.07354662076596849
240,50,0.705,2.0,3777,0.051628276409849086,2.2163410116082947,-0.022014144872476504,-0.9430134858094144,0.07364242128232559
