par,dia,asia,ses_alto,ses_bajo
EURUSD,2020-09-06,19.100000000000783,LONDRES,LONDRES
EURUSD,2020-09-07,32.30000000000066,ASIA,NY
EURUSD,2020-09-08,23.799999999998267,NY,LONDRES
EURUSD,2020-09-09,36.40000000000087,NY,ASIA
EURUSD,2020-09-10,19.400000000000528,LONDRES,ASIA
EURUSD,2020-09-13,22.599999999999287,NY,ASIA
EURUSD,2020-09-14,41.10000000000058,LONDRES,NY
EURUSD,2020-09-15,26.100000000000012,LONDRES,NY
EURUSD,2020-09-16,79.20000000000148,NY,ASIA
EURUSD,2020-09-17,23.300000000001653,NY,NY
EURUSD,2020-09-20,28.900000000000592,ASIA,NY
EURUSD,2020-09-21,37.69999999999829,ASIA,NY
EURUSD,2020-09-22,38.399999999998435,LONDRES,NY
EURUSD,2020-09-23,35.39999999999876,ASIA,NY
EURUSD,2020-09-24,17.199999999999438,LONDRES,NY
EURUSD,2020-09-27,25.399999999999867,NY,ASIA
EURUSD,2020-09-28,18.499999999999073,NY,ASIA
EURUSD,2020-09-29,32.10000000000157,ASIA,NY
EURUSD,2020-09-30,40.49999999999887,LONDRES,ASIA
EURUSD,2020-10-01,49.40000000000166,ASIA,ASIA
EURUSD,2020-10-04,22.800000000000598,NY,ASIA
EURUSD,2020-10-05,21.299999999999653,NY,LONDRES
EURUSD,2020-10-06,30.09999999999957,NY,ASIA
EURUSD,2020-10-07,22.200000000001108,ASIA,NY
EURUSD,2020-10-08,23.100000000000342,NY,ASIA
EURUSD,2020-10-11,18.20000000000155,ASIA,LONDRES
EURUSD,2020-10-12,27.900000000000702,ASIA,NY
EURUSD,2020-10-13,15.799999999999148,NY,LONDRES
EURUSD,2020-10-14,22.600000000001508,ASIA,NY
EURUSD,2020-10-15,21.700000000000053,NY,ASIA
EURUSD,2020-10-18,21.800000000000708,NY,ASIA
EURUSD,2020-10-19,16.500000000001513,NY,LONDRES
EURUSD,2020-10-20,36.6999999999984,NY,ASIA
EURUSD,2020-10-21,22.799999999998377,LONDRES,NY
EURUSD,2020-10-22,36.70000000000062,NY,ASIA
EURUSD,2020-10-25,22.500000000000853,ASIA,LONDRES
EURUSD,2020-10-26,28.099999999999792,NY,LONDRES
EURUSD,2020-10-27,23.200000000000998,ASIA,LONDRES
EURUSD,2020-10-28,23.599999999999177,ASIA,NY
EURUSD,2020-10-29,29.600000000000737,LONDRES,NY
EURUSD,2020-11-01,21.800000000000708,LONDRES,LONDRES
EURUSD,2020-11-02,35.39999999999876,NY,ASIA
EURUSD,2020-11-03,167.80000000000015,ASIA,ASIA
EURUSD,2020-11-04,38.000000000000256,NY,ASIA
EURUSD,2020-11-05,45.50000000000054,NY,ASIA
EURUSD,2020-11-08,19.700000000000273,NY,NY
EURUSD,2020-11-09,31.600000000000517,LONDRES,LONDRES
EURUSD,2020-11-10,25.699999999999612,ASIA,NY
EURUSD,2020-11-11,29.799999999999827,LONDRES,ASIA
EURUSD,2020-11-12,18.999999999997907,LONDRES,ASIA
EURUSD,2020-11-15,19.499999999998963,LONDRES,NY
EURUSD,2020-11-16,20.999999999999908,NY,LONDRES
EURUSD,2020-11-17,35.69999999999851,LONDRES,ASIA
EURUSD,2020-11-18,20.400000000000418,ASIA,LONDRES
EURUSD,2020-11-19,25.399999999999867,ASIA,NY
EURUSD,2020-11-22,15.299999999998093,LONDRES,NY
EURUSD,2020-11-23,18.599999999999728,LONDRES,ASIA
EURUSD,2020-11-24,23.499999999998522,LONDRES,LONDRES
EURUSD,2020-11-25,24.700000000001943,ASIA,LONDRES
EURUSD,2020-11-26,20.599999999999508,NY,ASIA
EURUSD,2020-11-30,37.4999999999992,NY,ASIA
EURUSD,2020-12-01,26.999999999999247,NY,LONDRES
EURUSD,2020-12-02,21.599999999999397,NY,LONDRES
EURUSD,2020-12-03,21.600000000001618,LONDRES,NY
EURUSD,2020-12-06,26.000000000001577,NY,LONDRES
EURUSD,2020-12-07,18.899999999999473,LONDRES,LONDRES
EURUSD,2020-12-08,40.49999999999887,ASIA,NY
EURUSD,2020-12-09,21.800000000000708,NY,ASIA
EURUSD,2020-12-10,37.20000000000167,ASIA,NY
EURUSD,2020-12-13,39.80000000000094,NY,ASIA
EURUSD,2020-12-14,28.500000000000192,LONDRES,LONDRES
EURUSD,2020-12-15,26.900000000000812,LONDRES,ASIA
EURUSD,2020-12-16,48.700000000001516,NY,ASIA
EURUSD,2020-12-17,25.699999999999612,LONDRES,NY
EURUSD,2020-12-20,57.99999999999805,NY,LONDRES
EURUSD,2020-12-21,29.799999999999827,LONDRES,NY
EURUSD,2020-12-22,47.000000000001485,NY,ASIA
EURUSD,2020-12-23,22.800000000000598,ASIA,NY
EURUSD,2020-12-27,51.79999999999962,LONDRES,ASIA
EURUSD,2020-12-28,32.09999999999935,NY,ASIA
EURUSD,2020-12-29,43.69999999999985,NY,ASIA
EURUSD,2020-12-30,24.200000000000887,ASIA,NY
EURUSD,2021-01-03,30.29999999999866,NY,ASIA
EURUSD,2021-01-04,29.700000000001392,NY,ASIA
EURUSD,2021-01-05,69.70000000000142,LONDRES,NY
EURUSD,2021-01-06,37.0999999999988,ASIA,LONDRES
EURUSD,2021-01-07,40.10000000000069,NY,LONDRES
EURUSD,2021-01-10,29.599999999998516,LONDRES,NY
EURUSD,2021-01-11,36.599999999999966,LONDRES,NY
EURUSD,2021-01-12,20.100000000000673,ASIA,NY
EURUSD,2021-01-13,36.30000000000022,NY,NY
EURUSD,2021-01-14,28.600000000000847,ASIA,NY
EURUSD,2021-01-17,21.799999999998487,ASIA,LONDRES
EURUSD,2021-01-18,30.400000000001537,NY,ASIA
EURUSD,2021-01-19,30.799999999999716,LONDRES,NY
EURUSD,2021-01-20,28.69999999999928,NY,ASIA
EURUSD,2021-01-21,24.500000000000632,LONDRES,LONDRES
EURUSD,2021-01-24,23.100000000000342,ASIA,NY
EURUSD,2021-01-25,38.49999999999909,NY,ASIA
EURUSD,2021-01-26,17.899999999999583,ASIA,NY
EURUSD,2021-01-27,25.200000000000777,NY,ASIA
