dia,i,fin,lado,entrada,stop,obj,riesgo,hora,dist_niv,dist_niv_R,sitio,dist_obj,atrae_contra,atrae_favor,cuerpo,cuerpo_pct,mecha_arriba,mecha_abajo,mecha_niv,mecha_niv_R,dentro,exceso,rango_asia,atr,dsem,R,motivo,rr,neto,ts,mecha_rechazo,ac,limpio,R240,M240,R360,M360,min_tp,min_sl,prim_sl,prim_tp
2025-05-14,390359,390404,-1,1.12264,1.12517,1.1175800000000002,25.29999999999921,10,25.800000000000267,1.019762845849845,2.387096774193583,50.59999999999842,inf,1.256916996047542,14.099999999999111,0.7921348314605733,0.1348314606741587,0.073033707865268,50.09999999999959,1.980237154150243,0,28.099999999999792,18.599999999999728,8.558333333333334,2,-1.0,SL,2.0,-1.0474308300395272,2025-05-14,0.1348314606741587,99.0,0,-1.0,SL,-1.0,SL,,12.0,12.0,
2025-05-15,390633,390692,-1,1.12165,1.12289,1.1191700000000002,12.399999999999078,9,15.300000000000312,1.2338709677420523,1.602362204724425,24.79999999999816,1.5080645161291752,2.959677419355109,10.499999999999954,0.8333333333334508,0.0634920634919599,0.1031746031745892,26.699999999999505,2.153225806451733,0,20.899999999999253,25.399999999999867,5.141666666666766,3,2.0,TP,2.0,1.9032258064516057,2025-05-15,0.0634920634919599,1.5080645161291752,0,2.0,TP,2.0,TP,43.0,,,43.0
2025-05-19,391217,391268,-1,1.1235,1.12423,1.1220399999999997,7.300000000001194,9,36.19999999999956,4.95890410958817,2.3068592057761865,14.600000000002389,inf,7.054794520546774,3.300000000001635,0.4024390243904222,0.3658536585365259,0.2317073170730518,42.50000000000087,5.821917808218345,0,39.1000000000008,27.69999999999939,6.604166666666818,0,-1.0,SL,2.0,-1.1643835616438087,2025-05-19,0.3658536585365259,99.0,0,-1.0,SL,-1.0,SL,,6.0,6.0,
2025-05-21,391781,391844,-1,1.13388,1.1354,1.13084,15.199999999999658,8,0.99999999999989,0.0657894736842047,0.9832495812395328,30.39999999999932,inf,3.4868421052632903,7.299999999998974,0.7156862745096887,0.1078431372549531,0.1764705882353581,13.199999999999878,0.8684210526315905,1,6.299999999999084,59.70000000000031,5.820833333333349,2,-1.0,SL,2.0,-1.0789473684210544,2025-05-21,0.1078431372549531,99.0,0,-1.0,SL,-1.0,SL,,219.0,219.0,
2025-05-22,392098,392131,1,1.12998,1.12911,1.13448,8.699999999999264,11,10.900000000000354,1.2528735632185375,-0.3196480938416607,44.99999999999948,2.264367816092177,1.4137931034484694,4.20000000000087,0.6176470588238463,0.2794117647058391,0.1029411764703145,18.599999999999728,2.137931034482908,0,13.900000000000023,34.09999999999913,7.691666666666356,3,-1.0,SL,5.172413793103827,-1.1379310344827702,2025-05-22,0.1029411764703145,2.264367816092177,0,-1.0,SL,-1.0,SL,,19.0,19.0,
2025-05-23,392375,392419,-1,1.13387,1.13456,1.1324899999999998,6.900000000000794,10,13.099999999999223,1.89855072463735,1.2793176972281235,13.800000000001589,0.4347826086955542,3.463768115941474,5.300000000001415,0.854838709677558,0.0,0.145161290322442,19.000000000000128,2.7536231884054985,0,16.099999999998893,46.90000000000083,5.495833333333625,4,-1.0,SL,2.0,-1.1739130434782408,2025-05-23,0.0,0.4347826086955542,0,-1.0,SL,-1.0,SL,209.0,44.0,44.0,
2025-05-27,392963,392995,1,1.1355,1.13521,1.14071,2.8999999999990145,11,11.700000000001154,4.034482758622459,-0.2896039603960809,52.09999999999937,inf,2.4482758620697576,1.7000000000000348,0.3269230769231754,0.0576923076922748,0.6153846153845497,16.599999999999948,5.72413793103641,0,12.199999999999989,40.399999999998215,5.929166666667207,1,-1.0,SL,17.965517241385196,-1.4137931034484166,2025-05-27,0.6153846153845497,99.0,0,-1.0,SL,-1.0,SL,,1.0,1.0,
2025-05-30,393795,393859,1,1.13466,1.13387,1.13897,7.900000000000684,8,3.699999999999815,0.4683544303796828,0.0790598290598248,43.10000000000036,7.025316455695523,4.772151898733829,5.999999999999339,0.7499999999997918,0.1375000000000451,0.112500000000163,3.20000000000098,0.4050632911393294,1,1.2000000000012,46.800000000000175,3.833333333333373,4,-1.0,SL,5.455696202531219,-1.151898734177202,2025-05-30,0.112500000000163,7.025316455695523,1,-1.0,SL,-1.0,SL,,22.0,22.0,
2025-06-02,394096,394144,-1,1.14236,1.14377,1.1395400000000002,14.099999999999111,9,41.70000000000007,2.9574468085108294,2.1179624664879344,28.199999999998223,inf,5.156028368794728,3.899999999998904,0.5820895522386873,0.4029850746268854,0.0149253731344272,54.799999999999294,3.88652482269523,0,44.599999999999085,37.30000000000011,5.424999999999828,0,0.6737588652482739,cierre,2.0,0.5886524822695451,2025-06-02,0.4029850746268854,99.0,0,0.6737588652482739,cierre,0.3191489361702764,cierre,,362.0,362.0,
2025-06-03,394408,394432,1,1.14117,1.14089,1.14544,2.80000000000058,11,0.1999999999990898,0.0714285714282315,-0.0047058823529196,42.69999999999996,2.6785714285709754,8.964285714283902,1.2999999999996348,0.3170731707316016,0.146341463414502,0.5365853658538963,3.699999999999815,1.3214285714282317,0,0.7999999999985796,42.50000000000087,5.179166666666457,1,-1.0,SL,15.249999999996827,-1.4285714285713398,2025-06-03,0.5365853658538963,2.6785714285709754,0,-1.0,SL,-1.0,SL,,4.0,4.0,
