entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,peor,capital
2024-05-28 13:15:00,2024-05-28 14:00:00,2358.528,2352.0584105263156,1.8943194863699124,6.329589473684236,stop,0,-1225.5469408813663,11.365916918219474,-1236.9128577995857,-1432.6738275415082,118665.73394941968
2024-05-31 12:55:00,2024-05-31 13:31:00,2356.775,2351.2546210526316,2.205527437941145,5.38037894736843,stop,0,-1217.534723625388,13.233164627646872,-1230.767888253035,-1477.703383420539,117434.96606116665
2024-06-05 15:37:00,2024-06-05 20:00:00,2354.705,2353.818,1.9447823558819088,6.038463157894751,tiempo,0,-172.50219496667012,11.668694135291453,-184.17088910196156,-865.4281483674247,117250.79517206468
2024-06-05 22:00:00,2024-06-06 03:00:00,2357.4179999999997,2374.275,2.003317430042159,5.852831578947385,tiempo,1,3376.9921918221526,82.13601463172851,3294.856177190424,-685.1345610743709,120545.6513492551
2024-06-06 15:29:00,2024-06-06 20:00:00,2374.9449999999997,2372.2850000000003,1.9857391102158481,6.070568421052648,tiempo,0,-528.2066033172964,11.91443466129509,-540.1210379785915,-1213.286596341829,120005.53031127651
2024-06-07 00:46:00,2024-06-07 01:26:00,2378.548,2372.4998210526314,2.031176296119606,5.908178947368436,stop,0,-1228.4917712584206,12.187057776717637,-1240.6788290351383,-1256.079421520323,118764.85148224137
2024-06-12 13:00:00,2024-06-12 13:36:00,2337.645,2330.876557894737,1.7917460784327937,6.628442105263193,stop,0,-1212.7329599204647,10.750476470596762,-1223.4834363910616,-1411.8959098050707,117541.36804585031
2024-06-19 08:00:00,2024-06-19 10:00:00,2333.1479999999997,2327.4105157894737,2.0998963753181954,5.597484210526311,stop,0,-1204.8122297128848,12.599378251909172,-1217.411607964794,-1194.8410375559806,116323.95643788551
2024-06-20 04:31:00,2024-06-20 08:14:00,2339.018,2334.101021052632,2.4350946009918526,4.7769789473684074,stop,0,-1197.3308887926612,14.610567605951115,-1211.9414563986122,-1301.0710453099227,115112.01498148691
2024-06-20 14:00:00,2024-06-20 19:00:00,2349.504,2357.768,2.2938472333317823,5.0182947368420985,tiempo,0,1895.6353536254132,13.763083399990695,1881.8722702254227,-174.10300500989814,116993.88725171232
2024-06-21 05:51:00,2024-06-21 06:23:00,2365.515,2360.4490105263158,2.375033237011996,4.925989473684211,stop,0,-1203.1893378352675,14.250199422071976,-1217.4395372573395,-1227.892183535124,115776.44771445499
2024-06-21 11:37:00,2024-06-21 12:30:00,2368.1549999999997,2363.152231578947,2.3808752070778922,4.862768421052624,stop,0,-1191.0967300436537,14.285251242467353,-1205.3819812861211,-1270.6730980173734,114571.06573316887
2024-06-28 08:26:00,2024-06-28 13:00:00,2330.9649999999997,2335.235,2.3181656254581435,4.942315789473669,tiempo,0,989.8567220707284,13.908993752748861,975.9477283179796,-901.7664283030956,115547.01346148684
2024-07-03 06:55:00,2024-07-03 11:00:00,2338.528,2346.685,2.3843480717590206,4.846063157894711,tiempo,0,1944.9127221338695,14.306088430554123,1930.6066337033153,-195.5165418841833,117477.62009519016
2024-07-03 12:21:00,2024-07-03 17:00:00,2349.558,2356.3050000000003,2.3429477554941074,5.0140947368421,tiempo,0,1580.7868506319442,14.057686532964645,1566.7291640989795,-578.7080956070105,119044.34925928914
2024-07-05 05:51:00,2024-07-05 10:00:00,2364.935,2362.135,2.449610153405311,4.859726315789488,tiempo,0,-685.8908429534202,14.697660920431865,-700.5885038738521,-803.472130316893,118343.7607554153
2024-07-05 13:10:00,2024-07-05 18:00:00,2376.165,2385.608,2.4461457879806825,4.837968421052665,tiempo,0,2309.89546759021,14.676874727884094,2295.2185928623257,-1161.9192492908376,120638.97934827761
2024-07-05 19:03:00,2024-07-07 22:00:00,2392.615,2387.537842105263,2.4434904031909026,4.9371578947368775,stop,2,-1240.598659127468,185.7052706425086,-1426.3039297699765,-1924.7373905934091,119212.67541850764
2024-07-10 13:53:00,2024-07-10 14:20:00,2384.238,2379.115589473684,2.3926706719339426,4.982410526315796,stop,0,-1225.6241435921738,14.356024031603656,-1239.9801676237776,-1294.4348335162413,117972.69525088386
2024-07-11 12:30:00,2024-07-11 12:30:00,2386.6879999999996,2381.3215263157895,2.257213991286064,5.226473684210511,stop,0,-1211.3279483867684,13.543283947716384,-1224.8712323344848,-2049.5503040876392,116747.82401854938
2024-07-15 14:45:00,2024-07-15 19:00:00,2424.535,2422.228,2.2163646409711473,5.26753684210527,tiempo,0,-511.3153226719969,13.298187845826885,-524.6135105178238,-1092.6677679987515,116223.21050803155
2024-07-16 09:27:00,2024-07-16 12:37:00,2439.768,2434.249747368421,2.160984588667615,5.37825263157895,stop,0,-1192.485889321649,12.96590753200569,-1205.4517968536547,-1586.1626880820727,115017.7587111779
2024-07-16 15:04:00,2024-07-16 20:00:00,2454.075,2468.3650000000002,1.9552547661593407,5.882494736842119,tiempo,0,2794.0590608417797,11.731528596956045,2782.3275322448235,-279.60143156076435,117800.08624342272
2024-07-16 22:43:00,2024-07-17 03:00:00,2469.7149999999997,2474.3050000000003,2.0271141843774343,5.811221052631596,tiempo,1,930.445410629364,83.1116815594748,847.3337290698892,-824.4273387862413,118647.4199724926
2024-07-17 13:59:00,2024-07-17 14:03:00,2482.4649999999997,2476.1378,1.9176270360177832,6.187200000000016,stop,0,-1213.3209782291183,11.5057622161067,-1224.826740445225,-1350.0094333564355,117422.59323204738
2024-07-24 01:14:00,2024-07-24 01:28:00,2412.1749999999997,2406.0778105263157,1.9711072436215162,5.957189473684182,stop,0,-1201.8214337311415,11.826643461729098,-1213.6480771928707,-1249.6819924559911,116208.9451548545
2024-07-24 12:19:00,2024-07-24 17:00:00,2419.245,2418.748,1.9514585388451997,5.954978947368392,tiempo,0,-96.9874893805759,11.708751233071197,-108.69624061364709,-1122.0886598360005,116100.24891424086
2024-07-30 17:01:00,2024-07-30 23:00:00,2403.1349999999998,2409.005,1.6697788237547093,6.9530315789473685,tiempo,0,980.1601695440721,10.018672942528255,970.1414966015438,-395.23664758270445,117070.3904108424
2024-07-31 03:12:00,2024-07-31 08:00:00,2412.845,2416.875,1.7298979777931616,6.767473684210534,tiempo,0,697.1488850506787,10.37938786675897,686.7694971839197,-114.17326653433294,117757.15990802633
2024-07-31 13:46:00,2024-07-31 18:00:00,2425.495,2425.725,1.7928835830429808,6.568031578947385,tiempo,0,41.23632240999182,10.757301498257885,30.479020911733937,-1163.581445394865,117787.63892893806
2024-07-31 19:03:00,2024-08-01 01:00:00,2435.395,2447.275,1.8993556175716184,6.201452631578966,tiempo,1,2256.4344736751036,77.87358032043635,2178.5608933546673,-915.4894076694924,119966.19982229272
2024-08-01 14:00:00,2024-08-01 14:07:00,2458.435,2452.0633684210525,1.9251170147410501,6.231631578947399,stop,0,-1226.613636429316,11.5507020884463,-1238.1643385177624,-1244.9731734330664,118728.03548377496
2024-08-02 05:48:00,2024-08-02 10:00:00,2462.265,2463.645,1.8301031084787402,6.48750526315792,tiempo,0,252.55422897008611,10.980618650872442,241.57361031921369,-409.94309629920787,118969.60909409418
2024-08-02 12:30:00,2024-08-02 12:30:00,2468.4249999999997,2461.6759894736842,1.8001122652230621,6.609010526315811,stop,0,-1214.8976626540064,10.800673591338374,-1225.6983362453448,-2277.142015507118,117743.91075784883
2024-08-08 14:10:00,2024-08-08 19:00:00,2418.355,2423.645,1.194344743116046,9.858452631578961,tiempo,0,631.808369108384,7.166068458696277,624.6423006496877,-790.2979165199168,118368.55305849852
2024-08-08 20:24:00,2024-08-09 02:00:00,2426.3179999999998,2426.965,1.303400839711122,9.081515789473714,tiempo,1,84.33003432936033,53.439434428156005,30.890599901204325,-881.4899878965812,118399.44365839973
2024-08-09 11:01:00,2024-08-09 12:24:00,2431.578,2423.609810526316,1.5124754460328147,7.828189473684253,stop,0,-1205.1690928284347,9.074852676196889,-1214.2439455046317,-1201.3592467838362,117185.1997128951
2024-08-09 17:02:00,2024-08-09 18:07:00,2435.9379999999996,2428.651694736842,1.6398012035258536,7.146305263157927,stop,0,-1194.8092139782968,9.838807221155122,-1204.648021199452,-1205.7458249525052,115980.55169169565
2024-08-12 06:53:00,2024-08-12 11:00:00,2437.024,2443.585,1.7010803224737794,6.818052631578977,tiempo,0,1116.078799575072,10.206481934842676,1105.8723176402293,-278.8070648534054,117086.42400933588
2024-08-12 12:30:00,2024-08-12 17:00:00,2445.1549999999997,2462.878,1.84551435184844,6.344378947368458,tiempo,0,3270.8050857810663,11.07308611109064,3259.7319996699757,-596.1011356469756,120346.15600900586
2024-08-12 18:08:00,2024-08-13 00:00:00,2468.645,2475.3050000000003,1.9322652198652803,6.228242105263196,tiempo,1,1286.8886364303364,79.2228740144765,1207.66576241586,-193.22652198655618,121553.82177142172
2024-08-14 08:44:00,2024-08-14 09:30:00,2476.9849999999997,2470.9472947368417,2.0610358834096,5.897705263157939,stop,0,-1244.39272008195,12.3662153004576,-1256.7589353824076,-1255.170852996394,120297.06283603932
2024-08-16 12:51:00,2024-08-16 17:00:00,2479.855,2495.688,1.9708722457685397,6.1037473684211125,tiempo,0,3120.4820267253453,11.825233474611238,3108.656793250734,-512.4267838998131,123405.71962929005
2024-08-16 18:25:00,2024-08-19 00:00:00,2500.185,2506.185,1.915232995565001,6.443378947368484,tiempo,3,1149.1397973390006,212.5908625077151,936.5489348312855,-568.8241996828297,124342.26856412133
2024-08-20 07:43:00,2024-08-20 12:00:00,2510.138,2526.065,1.9179897891783257,6.482947368421082,tiempo,0,3054.782337224345,11.507938735069954,3043.2743984892754,-141.9312443991647,127385.5429626106
2024-08-20 13:30:00,2024-08-20 13:36:00,2529.225,2522.547747368421,1.94860976226098,6.537252631578969,stop,0,-1301.1359662977648,11.69165857356588,-1312.8276248713307,-1859.1685741731558,126072.71533773927
2024-08-26 07:31:00,2024-08-26 12:00:00,2519.1349999999998,2526.2850000000003,2.087740502003778,6.038715789473683,tiempo,0,1492.734458932815,12.526443012022668,1480.2080159207924,-298.54689178651745,127552.92335366007
2024-08-27 23:04:00,2024-08-28 01:05:00,2526.848,2520.856947368421,2.1799995895651127,5.851052631578961,stop,1,-1306.0492277904982,89.37998317216963,-1395.4292109626679,-1624.099694226001,126157.4941426974
