slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.5,1.0,0.5,9,22.95575000000008,22.95575000000008,1033.0087500000036,1033.0087500000036,0.2579,0.2739,0.3346,0.35545,-36.63644736842111,-23.05494932432408,7.0
0.75,1.5,0.5,6,34.43362500000012,22.95575000000008,1033.0087500000036,688.6725000000024,0.25695,0.29125,0.347,0.39545,-25.431074561403367,-10.60077702702667,10.0
0.75,2.0,0.5,6,34.43362500000012,17.21681250000006,1033.0087500000036,516.5043750000018,0.25185,0.27295,0.3418,0.36825,-22.47865497076004,-15.9130799549547,13.0
1.0,2.0,0.5,4,45.91150000000016,22.95575000000008,918.2300000000032,459.1150000000016,0.2492,0.26205,0.33395,0.3521,-15.51533625730971,-13.541764264263923,19.0
1.0,5.0,0.65,6,45.91150000000016,9.182300000000032,1377.3450000000048,275.46900000000096,0.24855,0.16965,0.3412,0.2209,-18.867453216373907,-52.64036486486455,21.0
1.0,1.5,0.35,3,45.91150000000016,30.607666666666773,688.6725000000024,459.1150000000016,0.24705,0.2397,0.35155,0.3344,-7.327368421052462,-11.350037537537414,26.0
0.5,1.5,0.5,9,22.95575000000008,15.303833333333387,1033.0087500000036,688.6725000000024,0.24115,0.2451,0.31555,0.33115,-42.22157529239765,-41.34738738738734,9.0
0.35,1.0,0.35,9,16.069025000000057,16.069025000000057,723.1061250000026,723.1061250000026,0.23595,0.2156,0.3085,0.28155,-35.03598574561396,-51.349353040540564,10.0
1.0,1.0,1.0,9,45.91150000000016,45.91150000000016,2066.017500000007,2066.017500000007,0.2335,0.2292,0.31295,0.29895,-1.6178508771931552,-10.376790540540425,6.0
0.5,1.0,0.35,6,22.95575000000008,22.95575000000008,688.6725000000024,688.6725000000024,0.2296,0.2627,0.32425,0.36345,-24.424298245614057,-15.369966216216035,12.0
0.75,3.0,0.5,6,34.43362500000012,11.47787500000004,1033.0087500000036,344.3362500000012,0.22205,0.1995,0.3034,0.2687,-24.689700292397415,-37.59260135135119,18.0
0.75,1.5,0.35,4,34.43362500000012,22.95575000000008,688.6725000000024,459.1150000000016,0.22175,0.2735,0.30675,0.37355,-16.954049707602245,-7.067184684684448,21.0
0.5,2.0,0.5,9,22.95575000000008,11.47787500000004,1033.0087500000036,516.5043750000018,0.21945,0.21335,0.29335,0.29195,-43.62393092105244,-49.835684121621625,12.0
1.0,2.0,0.35,3,45.91150000000016,22.95575000000008,688.6725000000024,344.3362500000012,0.2185,0.23375,0.29955,0.33495,-11.636502192982272,-10.156323198197928,31.0
1.0,1.5,0.25,2,45.91150000000016,30.607666666666773,459.1150000000016,306.07666666666773,0.2164,0.20835,0.28695,0.2832,-4.884912280701651,-7.56669169169162,53.0
