ins,ventana,stop,k,ts,lado,rgo,R,mot,neta
XAUUSD,londres,A,2,2025-08-20 08:50:00,-1,14.940000000001419,-1.0,SL,-1.3346720214189776
XAUUSD,londres,A,2,2025-08-20 09:10:00,1,20.230000000001382,-1.0,SL,-1.2471576866040366
XAUUSD,londres,A,2,2025-08-20 11:00:00,1,8.399999999996908,-1.0,SL,-1.5952380952383143
XAUUSD,londres,A,2,2025-08-21 08:05:00,1,6.099999999996726,-1.0,SL,-1.819672131147981
XAUUSD,londres,A,2,2025-08-21 08:45:00,-1,5.830000000000837,2.0,TP,1.142367066895492
XAUUSD,londres,A,2,2025-08-21 09:10:00,1,10.0,2.0,TP,1.5
XAUUSD,londres,A,2,2025-08-21 09:40:00,1,14.600000000000364,-1.0,SL,-1.3424657534246491
XAUUSD,londres,A,2,2025-08-22 08:05:00,-1,14.729999999999563,-1.0,SL,-1.3394433129667447
XAUUSD,londres,A,2,2025-08-22 08:25:00,-1,28.56999999999971,-1.0,SL,-1.1750087504375237
XAUUSD,londres,A,2,2025-08-22 10:15:00,1,26.599999999998545,-1.0,SL,-1.1879699248120403
XAUUSD,londres,A,2,2025-08-22 10:50:00,1,24.800000000000182,-0.4879032258064627,cierre,-0.6895161290322677
XAUUSD,londres,A,2,2025-08-25 08:05:00,1,18.600000000001273,-1.0,SL,-1.2688172043010568
XAUUSD,londres,A,2,2025-08-26 08:05:00,1,4.0000000000009095,-1.0,SL,-2.249999999999716
XAUUSD,londres,A,2,2025-08-26 08:50:00,1,15.700000000001637,-1.0,SL,-1.3184713375795847
XAUUSD,londres,A,2,2025-08-26 09:45:00,1,33.89999999999873,-0.71091445427727,cierre,-0.858407079646007
XAUUSD,londres,A,2,2025-08-27 08:05:00,1,10.900000000001455,2.0,TP,1.5412844036697861
XAUUSD,londres,A,2,2025-08-27 08:55:00,-1,22.200000000002547,-1.0,SL,-1.2252252252251994
XAUUSD,londres,A,2,2025-08-27 10:25:00,1,15.0,-1.0,SL,-1.3333333333333333
XAUUSD,londres,A,2,2025-08-27 10:35:00,-1,20.099999999997635,-1.0,SL,-1.248756218905502
XAUUSD,londres,A,2,2025-08-27 11:10:00,1,7.200000000002547,-1.0,SL,-1.6944444444441988
XAUUSD,londres,A,2,2025-08-28 08:05:00,1,20.599999999999454,-1.0,SL,-1.2427184466019483
XAUUSD,londres,A,2,2025-08-28 08:30:00,-1,15.700000000001637,-1.0,SL,-1.3184713375795847
XAUUSD,londres,A,2,2025-08-28 08:40:00,1,32.899999999999636,2.0,TP,1.8480243161094208
XAUUSD,londres,A,2,2025-08-28 11:25:00,-1,6.700000000000728,-1.0,SL,-1.746268656716337
XAUUSD,londres,A,2,2025-08-29 08:05:00,1,22.300000000000182,-1.0,SL,-1.2242152466367695
XAUUSD,londres,A,2,2025-08-29 09:00:00,-1,2.399999999997817,-1.0,SL,-3.083333333335228
XAUUSD,londres,A,2,2025-08-29 09:05:00,1,22.100000000000364,-1.0,SL,-1.226244343891399
XAUUSD,londres,A,2,2025-08-29 10:05:00,1,14.499999999998181,-1.0,SL,-1.3448275862069399
XAUUSD,londres,A,2,2025-08-29 10:35:00,-1,7.100000000000364,-1.0,SL,-1.70422535211264
XAUUSD,londres,A,2,2025-09-01 08:05:00,1,20.49999999999727,2.0,TP,1.7560975609755773
XAUUSD,londres,A,2,2025-09-01 10:05:00,-1,8.49999999999909,2.0,TP,1.41176470588229
XAUUSD,londres,A,2,2025-09-01 10:20:00,1,28.900000000003274,-1.0,SL,-1.1730103806228178
XAUUSD,londres,A,2,2025-09-02 08:05:00,1,10.399999999999636,-1.0,SL,-1.4807692307692477
XAUUSD,londres,A,2,2025-09-02 08:45:00,-1,35.0,2.0,TP,1.8571428571428572
XAUUSD,londres,A,2,2025-09-02 10:30:00,1,14.800000000000182,2.0,TP,1.6621621621621663
XAUUSD,londres,A,2,2025-09-02 10:45:00,-1,4.899999999997817,-1.0,SL,-2.0204081632657607
XAUUSD,londres,A,2,2025-09-02 11:20:00,1,20.599999999999454,0.334951456310715,cierre,0.0922330097087668
XAUUSD,londres,A,2,2025-09-03 09:40:00,1,5.599999999999454,-1.0,SL,-1.8928571428572298
XAUUSD,londres,A,2,2025-09-03 10:05:00,1,37.69999999999982,0.17771883289126683,cierre,0.04509283819630597
XAUUSD,londres,A,2,2025-09-04 08:05:00,-1,2.800000000002001,-1.0,SL,-2.7857142857130097
XAUUSD,londres,A,2,2025-09-04 09:05:00,-1,18.49999999999909,-1.0,SL,-1.2702702702702835
XAUUSD,londres,A,2,2025-09-04 09:35:00,1,25.100000000002183,2.0,TP,1.8007968127490213
XAUUSD,londres,A,2,2025-09-04 10:25:00,-1,41.99999999999818,-1.0,SL,-1.1190476190476242
XAUUSD,londres,A,2,2025-09-04 10:50:00,-1,34.20000000000073,-1.0,SL,-1.1461988304093536
XAUUSD,londres,A,2,2025-09-05 08:05:00,1,9.099999999998545,-1.0,SL,-1.5494505494506372
XAUUSD,londres,A,2,2025-09-05 08:45:00,-1,12.300000000000182,2.0,TP,1.5934959349593556
XAUUSD,londres,A,2,2025-09-05 09:30:00,-1,18.270000000002256,-1.0,SL,-1.2736726874657571
XAUUSD,londres,A,2,2025-09-05 09:55:00,-1,8.400000000001455,2.0,TP,1.404761904762008
XAUUSD,londres,A,2,2025-09-05 10:25:00,1,20.799999999999272,-1.0,SL,-1.2403846153846239
XAUUSD,londres,A,2,2025-09-05 10:55:00,-1,15.80000000000382,-1.0,SL,-1.3164556962024552
XAUUSD,londres,A,2,2025-09-05 11:20:00,1,18.099999999999454,-1.0,SL,-1.2762430939226603
XAUUSD,londres,A,2,2025-09-08 10:10:00,-1,9.299999999998363,-1.0,SL,-1.537634408602245
XAUUSD,londres,A,2,2025-09-08 10:15:00,1,17.100000000000364,2.0,TP,1.707602339181293
XAUUSD,londres,A,2,2025-09-08 10:55:00,-1,25.399999999999636,-1.0,SL,-1.1968503937007902
XAUUSD,londres,A,2,2025-09-09 08:50:00,-1,36.900000000000546,-1.0,SL,-1.1355013550135482
XAUUSD,londres,A,2,2025-09-09 09:45:00,-1,28.600000000001273,-1.0,SL,-1.174825174825167
XAUUSD,londres,A,2,2025-09-09 11:15:00,1,52.100000000000364,-0.3435700575815645,cierre,-0.4395393474088191
XAUUSD,londres,A,2,2025-09-10 08:05:00,-1,17.199999999998,-1.0,SL,-1.2906976744186385
XAUUSD,londres,A,2,2025-09-10 08:40:00,1,9.829999999997199,-1.0,SL,-1.5086469989828508
XAUUSD,londres,A,2,2025-09-10 09:05:00,1,55.50000000000182,-0.05945945945952634,cierre,-0.14954954954961347
XAUUSD,londres,A,2,2025-09-11 08:05:00,-1,15.599999999999454,-1.0,SL,-1.3205128205128318
XAUUSD,londres,A,2,2025-09-11 09:45:00,1,2.5,-1.0,SL,-3.0
XAUUSD,londres,A,2,2025-09-11 10:00:00,1,23.600000000001273,-1.0,SL,-1.2118644067796496
XAUUSD,londres,A,2,2025-09-11 10:20:00,-1,5.299999999997453,-1.0,SL,-1.9433962264155475
XAUUSD,londres,A,2,2025-09-11 10:40:00,-1,8.600000000001273,-1.0,SL,-1.5813953488371233
XAUUSD,londres,A,2,2025-09-11 10:55:00,1,14.200000000000728,-1.0,SL,-1.35211267605632
XAUUSD,londres,A,2,2025-09-12 08:05:00,1,17.99999999999727,-1.0,SL,-1.2777777777778199
XAUUSD,londres,A,2,2025-09-12 09:55:00,-1,6.80000000000291,2.0,TP,1.264705882353256
XAUUSD,londres,A,2,2025-09-12 10:10:00,-1,18.730000000000473,2.0,TP,1.7330485851575081
XAUUSD,londres,A,2,2025-09-12 10:35:00,-1,16.600000000003092,-1.0,SL,-1.3012048192770522
XAUUSD,londres,A,2,2025-09-12 11:25:00,1,24.800000000000182,0.27822580645163286,cierre,0.0766129032258279
XAUUSD,londres,A,2,2025-09-15 08:45:00,-1,25.169999999998254,2.0,TP,1.801350814461647
XAUUSD,londres,A,2,2025-09-15 09:20:00,-1,19.92999999999938,-1.0,SL,-1.250878073256405
XAUUSD,londres,A,2,2025-09-15 10:30:00,-1,9.699999999997999,-1.0,SL,-1.5154639175258795
XAUUSD,londres,A,2,2025-09-15 10:50:00,-1,13.400000000001455,-1.0,SL,-1.3731343283581685
XAUUSD,londres,A,2,2025-09-15 11:00:00,1,35.0,-1.0,SL,-1.1428571428571428
XAUUSD,londres,A,2,2025-09-16 08:05:00,1,7.800000000002001,-1.0,SL,-1.6410256410254767
XAUUSD,londres,A,2,2025-09-16 09:35:00,-1,25.0,-1.0,SL,-1.2
XAUUSD,londres,A,2,2025-09-16 10:15:00,1,69.10000000000309,-0.09840810419685392,cierre,-0.1707670043415685
XAUUSD,londres,A,2,2025-09-17 08:05:00,-1,18.80000000000109,2.0,TP,1.7340425531915047
XAUUSD,londres,A,2,2025-09-17 09:15:00,-1,39.600000000000364,2.0,TP,1.8737373737373748
XAUUSD,londres,A,2,2025-09-17 10:40:00,-1,30.670000000000073,-1.0,SL,-1.1630257580697747
XAUUSD,londres,A,2,2025-09-17 11:15:00,1,31.100000000001273,0.07717041800635752,cierre,-0.08360128617370022
XAUUSD,londres,A,2,2025-09-18 08:05:00,-1,78.80000000000109,-1.0,SL,-1.0634517766497453
XAUUSD,londres,A,2,2025-09-18 10:00:00,1,16.499999999996362,-1.0,SL,-1.3030303030303698
XAUUSD,londres,A,2,2025-09-19 08:20:00,-1,35.399999999999636,-1.0,SL,-1.1412429378531088
XAUUSD,londres,A,2,2025-09-19 09:20:00,1,32.5,1.3292307692306797,cierre,1.1753846153845258
XAUUSD,londres,A,2,2025-09-22 09:45:00,-1,7.699999999999818,-1.0,SL,-1.6493506493506647
XAUUSD,londres,A,2,2025-09-22 10:05:00,1,45.79999999999927,2.0,TP,1.8908296943231424
XAUUSD,londres,A,2,2025-09-23 08:55:00,-1,9.600000000000364,2.0,TP,1.4791666666666865
XAUUSD,londres,A,2,2025-09-23 09:35:00,1,14.669999999996435,-1.0,SL,-1.3408316291752702
XAUUSD,londres,A,2,2025-09-23 09:40:00,-1,29.899999999997817,-1.0,SL,-1.1672240802675709
XAUUSD,londres,A,2,2025-09-24 08:25:00,-1,12.799999999997453,2.0,TP,1.6093749999999223
XAUUSD,londres,A,2,2025-09-24 09:00:00,-1,27.399999999997817,-1.0,SL,-1.182481751824832
XAUUSD,londres,A,2,2025-09-24 09:20:00,1,30.570000000002437,-1.0,SL,-1.1635590448151651
XAUUSD,londres,A,2,2025-09-24 11:10:00,1,7.330000000001746,-1.0,SL,-1.682128240108978
XAUUSD,londres,A,2,2025-09-25 08:30:00,1,6.499999999996362,-1.0,SL,-1.7692307692311997
XAUUSD,londres,A,2,2025-09-25 08:55:00,-1,20.099999999997635,-1.0,SL,-1.248756218905502
XAUUSD,londres,A,2,2025-09-25 10:35:00,-1,36.92999999999756,-1.0,SL,-1.1353912808015254
XAUUSD,londres,A,2,2025-09-25 11:15:00,1,21.99999999999818,-1.0,SL,-1.2272727272727462
XAUUSD,londres,A,2,2025-09-26 09:05:00,-1,35.99999999999909,-1.0,SL,-1.1388888888888924
XAUUSD,londres,A,2,2025-09-26 09:55:00,1,14.770000000003165,2.0,TP,1.6614759647935728
XAUUSD,londres,A,2,2025-09-26 10:25:00,1,20.50000000000182,-1.0,SL,-1.2439024390243687
XAUUSD,londres,A,2,2025-09-29 08:05:00,1,19.13000000000011,-1.0,SL,-1.2613695765812845
XAUUSD,londres,A,2,2025-09-29 09:35:00,-1,53.80000000000109,-1.0,SL,-1.0929368029739759
XAUUSD,londres,A,2,2025-09-29 10:20:00,-1,29.50000000000273,-1.0,SL,-1.169491525423713
XAUUSD,londres,A,2,2025-09-29 10:45:00,1,20.300000000002,-0.09211822660092596,cierre,-0.3384236453201135
XAUUSD,londres,A,2,2025-09-30 08:05:00,1,6.2299999999959255,2.0,TP,1.1974317817009197
XAUUSD,londres,A,2,2025-09-30 09:25:00,-1,37.3700000000008,2.0,TP,1.866202836499869
XAUUSD,londres,A,2,2025-09-30 11:05:00,1,26.700000000000728,-1.0,SL,-1.1872659176029912
XAUUSD,londres,A,2,2025-09-30 11:15:00,-1,127.10000000000036,-0.15971675845792244,cierre,-0.19905586152637236
XAUUSD,londres,A,2,2025-10-01 08:05:00,1,16.100000000001273,-1.0,SL,-1.3105590062111556
XAUUSD,londres,A,2,2025-10-01 08:35:00,-1,13.569999999999709,-1.0,SL,-1.3684598378776793
XAUUSD,londres,A,2,2025-10-01 08:45:00,1,32.52999999999702,-1.0,SL,-1.153704272978803
XAUUSD,londres,A,2,2025-10-01 09:15:00,1,40.399999999999636,2.0,TP,1.8762376237623752
XAUUSD,londres,A,2,2025-10-02 08:50:00,-1,30.729999999998654,-1.0,SL,-1.1627074520013088
XAUUSD,londres,A,2,2025-10-02 09:20:00,1,13.899999999998727,-1.0,SL,-1.3597122302158602
XAUUSD,londres,A,2,2025-10-02 10:00:00,1,28.229999999998654,-1.0,SL,-1.1771165426850951
XAUUSD,londres,A,2,2025-10-02 10:20:00,1,13.699999999998909,2.0,TP,1.6350364963503359
XAUUSD,londres,A,2,2025-10-02 11:20:00,1,30.900000000001455,-1.0,SL,-1.1618122977346201
XAUUSD,londres,A,2,2025-10-02 11:25:00,-1,27.399999999997817,0.02919708029211254,cierre,-0.15328467153271952
XAUUSD,londres,A,2,2025-10-03 08:45:00,-1,25.929999999998472,-1.0,SL,-1.1928268414963477
XAUUSD,londres,A,2,2025-10-03 09:15:00,1,18.799999999996544,2.0,TP,1.7340425531914405
XAUUSD,londres,A,2,2025-10-03 10:00:00,1,6.170000000001892,-1.0,SL,-1.81037277147463
XAUUSD,londres,A,2,2025-10-03 10:15:00,-1,20.0,-1.0,SL,-1.25
XAUUSD,londres,A,2,2025-10-03 11:15:00,-1,8.600000000001273,2.0,TP,1.4186046511628767
XAUUSD,londres,A,2,2025-10-06 08:05:00,1,2.0000000000027285,-1.0,SL,-3.4999999999965894
XAUUSD,londres,A,2,2025-10-06 08:50:00,1,58.20000000000164,2.0,TP,1.9140893470790403
XAUUSD,londres,A,2,2025-10-07 08:05:00,1,9.19999999999618,-1.0,SL,-1.543478260869791
XAUUSD,londres,A,2,2025-10-07 10:05:00,-1,38.69999999999891,-1.0,SL,-1.1291989664082724
XAUUSD,londres,A,2,2025-10-07 10:25:00,1,61.30000000000109,0.7911908646002973,cierre,0.7096247960848012
XAUUSD,londres,A,2,2025-10-08 10:00:00,-1,2.699999999999818,-1.0,SL,-2.8518518518519764
XAUUSD,londres,A,2,2025-10-08 10:10:00,1,26.900000000000546,-1.0,SL,-1.1858736059479515
XAUUSD,londres,A,2,2025-10-08 10:40:00,-1,11.100000000001273,-1.0,SL,-1.4504504504503988
XAUUSD,londres,A,2,2025-10-08 11:00:00,-1,29.00000000000091,-1.0,SL,-1.1724137931034428
XAUUSD,londres,A,2,2025-10-09 08:25:00,-1,22.269999999998618,2.0,TP,1.775482712168823
XAUUSD,londres,A,2,2025-10-09 09:45:00,1,16.69999999999618,2.0,TP,1.700598802395141
XAUUSD,londres,A,2,2025-10-09 10:15:00,1,33.69999999999891,2.0,TP,1.85163204747774
XAUUSD,londres,A,2,2025-10-09 11:05:00,1,37.270000000003165,-1.0,SL,-1.1341561577676302
XAUUSD,londres,A,2,2025-10-10 08:55:00,-1,39.49999999999818,2.0,TP,1.8734177215189816
XAUUSD,londres,A,2,2025-10-10 09:50:00,1,37.400000000002365,2.0,TP,1.8663101604278158
XAUUSD,londres,A,2,2025-10-10 10:30:00,1,9.600000000000364,-1.0,SL,-1.5208333333333135
XAUUSD,londres,A,2,2025-10-10 10:55:00,-1,20.599999999999454,-1.0,SL,-1.2427184466019483
XAUUSD,londres,A,2,2025-10-10 11:05:00,1,7.199999999997999,-1.0,SL,-1.6944444444446374
XAUUSD,londres,A,2,2025-10-13 09:15:00,1,36.169999999997344,-1.0,SL,-1.1382361072712295
XAUUSD,londres,A,2,2025-10-13 10:40:00,-1,19.200000000000728,-1.0,SL,-1.2604166666666567
XAUUSD,londres,A,2,2025-10-13 10:50:00,1,40.900000000001455,-1.0,SL,-1.1222493887530518
XAUUSD,londres,A,2,2025-10-14 08:45:00,-1,97.5,-1.0,SL,-1.0512820512820513
XAUUSD,londres,A,2,2025-10-14 08:55:00,1,106.899999999996,2.0,TP,1.9532273152478934
XAUUSD,londres,A,2,2025-10-15 08:05:00,1,29.570000000003347,2.0,TP,1.8309097057829071
XAUUSD,londres,A,2,2025-10-15 08:50:00,-1,10.69999999999709,-1.0,SL,-1.4672897196262953
XAUUSD,londres,A,2,2025-10-15 09:30:00,-1,10.299999999997453,-1.0,SL,-1.4854368932040036
XAUUSD,londres,A,2,2025-10-15 11:00:00,-1,69.60000000000036,2.0,TP,1.9281609195402303
XAUUSD,londres,A,2,2025-10-16 08:05:00,1,132.4000000000069,0.4780966767371297,cierre,0.44033232628395946
XAUUSD,londres,A,2,2025-10-17 08:05:00,1,31.599999999998545,-1.0,SL,-1.158227848101273
XAUUSD,londres,A,2,2025-10-17 09:55:00,-1,126.80000000000291,-1.0,SL,-1.0394321766561505
XAUUSD,londres,A,2,2025-10-17 10:05:00,-1,142.5,-1.0,SL,-1.0350877192982457
XAUUSD,londres,A,2,2025-10-17 10:20:00,1,103.00000000000182,-1.0,SL,-1.0485436893203874
XAUUSD,londres,A,2,2025-10-17 10:45:00,1,74.30000000000291,-1.0,SL,-1.0672947510094186
XAUUSD,londres,A,2,2025-10-20 08:30:00,-1,102.8900000000067,-1.0,SL,-1.04859558752065
XAUUSD,londres,A,2,2025-10-20 09:00:00,1,32.29000000000269,2.0,TP,1.8451532982347605
XAUUSD,londres,A,2,2025-10-20 09:35:00,1,26.899999999995998,-1.0,SL,-1.185873605947983
XAUUSD,londres,A,2,2025-10-20 09:50:00,-1,47.20000000000255,-1.0,SL,-1.105932203389825
XAUUSD,londres,A,2,2025-10-20 10:25:00,1,16.80000000000291,2.0,TP,1.702380952381004
XAUUSD,londres,A,2,2025-10-20 10:45:00,-1,13.400000000001455,2.0,TP,1.6268656716418315
XAUUSD,londres,A,2,2025-10-20 11:00:00,1,41.899999999996,-1.0,SL,-1.1193317422434481
XAUUSD,londres,A,2,2025-10-20 11:25:00,-1,12.100000000000364,-1.0,SL,-1.4132231404958553
XAUUSD,londres,A,2,2025-10-21 08:05:00,1,47.5,2.0,TP,1.8947368421052633
XAUUSD,londres,A,2,2025-10-21 10:00:00,-1,61.99999999999818,2.0,TP,1.919354838709675
XAUUSD,londres,A,2,2025-10-21 10:50:00,1,29.669999999996435,-1.0,SL,-1.1685203909673274
XAUUSD,londres,A,2,2025-10-22 08:05:00,-1,59.62999999999738,-1.0,SL,-1.0838504108670168
XAUUSD,londres,A,2,2025-10-22 09:15:00,1,27.69999999999527,2.0,TP,1.8194945848375144
XAUUSD,londres,A,2,2025-10-22 09:55:00,-1,65.10000000000218,2.0,TP,1.9231950844854095
XAUUSD,londres,A,2,2025-10-22 10:35:00,1,66.43000000000029,-1.0,SL,-1.0752671985548694
XAUUSD,londres,A,2,2025-10-22 11:25:00,-1,87.79999999999745,-0.7783599088838304,cierre,-0.8353075170842876
XAUUSD,londres,A,2,2025-10-23 08:05:00,1,125.20000000000437,-1.0,SL,-1.0399361022364204
XAUUSD,londres,A,2,2025-10-23 10:00:00,-1,64.02999999999793,-1.0,SL,-1.0780883960643473
XAUUSD,londres,A,2,2025-10-23 11:05:00,-1,41.19999999999891,-1.0,SL,-1.1213592233009742
XAUUSD,londres,A,2,2025-10-23 11:15:00,1,74.09999999999854,0.4858299595142287,cierre,0.41835357624837044
XAUUSD,londres,A,2,2025-10-24 08:05:00,-1,95.49999999999727,2.0,TP,1.9476439790575901
XAUUSD,londres,A,2,2025-10-24 09:55:00,-1,121.39999999999873,2.0,TP,1.9588138385502467
XAUUSD,londres,A,2,2025-10-24 11:05:00,1,62.800000000002,0.19267515923559603,cierre,0.11305732484069411
XAUUSD,londres,A,2,2025-10-27 08:50:00,-1,40.399999999999636,2.0,TP,1.8762376237623752
XAUUSD,londres,A,2,2025-10-27 09:55:00,-1,80.0,2.0,TP,1.9375
XAUUSD,londres,A,2,2025-10-27 11:15:00,-1,45.99999999999909,0.0515217391304532,cierre,-0.05717391304346199
XAUUSD,londres,A,2,2025-10-28 08:05:00,-1,70.29999999999745,2.0,TP,1.9288762446657157
XAUUSD,londres,A,2,2025-10-28 09:00:00,-1,68.36999999999989,-1.0,SL,-1.0731314904197748
XAUUSD,londres,A,2,2025-10-28 09:55:00,1,4.900000000002365,-1.0,SL,-2.020408163264814
XAUUSD,londres,A,2,2025-10-28 10:25:00,-1,35.470000000000255,-1.0,SL,-1.140964195094445
XAUUSD,londres,A,2,2025-10-28 10:35:00,1,87.30000000000018,2.0,TP,1.9427262313860254
XAUUSD,londres,A,2,2025-10-28 11:20:00,1,68.09999999999945,0.06461086637298945,cierre,-0.008810572687216717
XAUUSD,londres,A,2,2025-10-29 08:55:00,1,53.099999999999454,2.0,TP,1.9058380414312608
XAUUSD,londres,A,2,2025-10-29 09:50:00,1,83.69999999999891,-1.0,SL,-1.059737156511351
XAUUSD,londres,A,2,2025-10-29 11:00:00,-1,26.799999999998363,-1.0,SL,-1.1865671641791158
XAUUSD,londres,A,2,2025-10-29 11:15:00,-1,63.100000000004,0.5879556259904598,cierre,0.5087163232963285
XAUUSD,londres,A,2,2025-10-30 09:45:00,-1,2.4299999999993815,-1.0,SL,-3.0576131687248034
XAUUSD,londres,A,2,2025-10-30 10:15:00,-1,10.799999999999272,2.0,TP,1.537037037037006
XAUUSD,londres,A,2,2025-10-30 11:20:00,-1,60.99999999999909,0.8852459016393723,cierre,0.803278688524617
XAUUSD,londres,A,2,2025-10-31 08:05:00,1,35.74999999999818,-1.0,SL,-1.139860139860147
XAUUSD,londres,A,2,2025-10-31 09:05:00,-1,20.329999999999018,2.0,TP,1.754058042302005
XAUUSD,londres,A,2,2025-10-31 09:40:00,-1,39.92999999999938,-1.0,SL,-1.1252191334835981
XAUUSD,londres,A,2,2025-10-31 11:20:00,-1,32.20000000000255,-1.0,SL,-1.1552795031055778
XAUUSD,londres,A,2,2025-11-03 08:05:00,1,60.599999999999454,-1.0,SL,-1.0825082508250832
XAUUSD,londres,A,2,2025-11-03 08:35:00,-1,25.900000000001455,-1.0,SL,-1.1930501930501822
XAUUSD,londres,A,2,2025-11-03 08:55:00,1,8.799999999996544,-1.0,SL,-1.5681818181820413
XAUUSD,londres,A,2,2025-11-03 10:25:00,-1,49.72999999999956,2.0,TP,1.8994570681681069
XAUUSD,londres,A,2,2025-11-03 11:15:00,1,17.5,-1.0,SL,-1.2857142857142856
XAUUSD,londres,A,2,2025-11-04 08:05:00,-1,3.369999999999891,-1.0,SL,-2.4836795252226
XAUUSD,londres,A,2,2025-11-04 08:50:00,1,43.50000000000364,-1.0,SL,-1.1149425287356225
XAUUSD,londres,A,2,2025-11-04 09:30:00,1,45.400000000004184,-1.0,SL,-1.1101321585902981
XAUUSD,londres,A,2,2025-11-04 10:35:00,1,69.60000000000036,-1.0,SL,-1.0718390804597697
XAUUSD,londres,A,2,2025-11-04 11:00:00,-1,22.599999999997635,2.0,TP,1.7787610619468794
XAUUSD,londres,A,2,2025-11-05 08:05:00,-1,11.299999999996544,-1.0,SL,-1.44247787610633
XAUUSD,londres,A,2,2025-11-05 09:40:00,1,34.099999999998545,-1.0,SL,-1.146627565982411
XAUUSD,londres,A,2,2025-11-05 09:50:00,-1,30.99999999999909,-1.0,SL,-1.16129032258065
