ins,regla,k,dia,lado,rgo_u,R,mot,neta,dias
EURUSD,A,1,2022-03-08,-1,58.400000000000674,-1.0,SL,-1.0244863013698626,1
EURUSD,A,1,2022-03-10,-1,134.39999999999895,-1.0,SL,-1.010639880952381,5
EURUSD,A,1,2022-03-18,1,46.19999999999846,-1.0,SL,-1.030952380952382,2
EURUSD,A,1,2022-03-28,1,40.599999999999525,1.0,TP,0.9647783251231523,1
EURUSD,A,1,2022-04-14,1,70.60000000000066,1.0,TP,0.979745042492918,5
EURUSD,A,1,2022-04-29,-1,51.900000000000276,-1.0,SL,-1.027552986512524,3
EURUSD,A,1,2022-05-05,1,48.299999999998896,-1.0,SL,-1.0296066252587999,1
EURUSD,A,1,2022-05-13,1,61.99999999999983,1.0,TP,0.9769354838709676,2
EURUSD,A,1,2022-05-18,-1,101.99999999999986,-1.0,SL,-1.0140196078431374,1
EURUSD,A,1,2022-06-03,-1,47.399999999999665,1.0,TP,0.9698312236286918,2
EURUSD,A,1,2022-06-14,1,18.499999999999073,1.0,TP,0.9227027027026988,1
EURUSD,A,1,2022-06-30,1,96.7999999999991,-1.0,SL,-1.0147727272727274,1
EURUSD,A,1,2022-07-08,1,110.19999999999807,-1.0,SL,-1.0129764065335756,1
EURUSD,A,1,2022-07-20,-1,93.79999999999943,-1.0,SL,-1.0152452025586356,1
EURUSD,A,1,2022-07-22,1,82.20000000000115,-1.0,SL,-1.0173965936739657,2
EURUSD,A,1,2022-07-27,1,103.59999999999924,1.0,TP,0.9861969111969111,10
EURUSD,A,1,2022-08-16,1,44.79999999999817,-1.0,SL,-1.0319196428571442,2
EURUSD,A,1,2022-08-23,1,67.59999999999988,1.0,TP,0.9788461538461538,3
EURUSD,A,1,2022-09-08,-1,32.79999999999949,-1.0,SL,-1.0435975609756105,1
EURUSD,A,1,2022-09-14,1,23.600000000000286,1.0,TP,0.9394067796610177,1
EURUSD,A,1,2022-09-30,-1,52.40000000000022,-1.0,SL,-1.0272900763358777,2
EURUSD,A,1,2022-10-11,1,33.0000000000008,-1.0,SL,-1.0433333333333323,1
EURUSD,A,1,2022-10-14,-1,90.39999999999937,-1.0,SL,-1.0158185840707965,1
EURUSD,A,1,2022-10-20,1,29.50000000000008,-1.0,SL,-1.0484745762711862,1
EURUSD,A,1,2022-11-17,1,59.099999999998595,-1.0,SL,-1.0241962774957705,2
EURUSD,A,1,2022-12-09,-1,56.499999999999325,-1.0,SL,-1.0253097345132747,2
EURUSD,A,1,2022-12-19,1,31.70000000000117,1.0,TP,0.9548895899053644,1
EURUSD,A,1,2023-01-13,-1,37.69999999999829,-1.0,SL,-1.0379310344827604,1
EURUSD,A,1,2023-01-18,1,25.100000000000122,1.0,TP,0.9430278884462154,1
EURUSD,A,1,2023-01-26,1,39.00000000000014,-1.0,SL,-1.0366666666666666,1
EURUSD,A,1,2023-01-31,1,59.40000000000056,1.0,TP,0.9759259259259262,1
EURUSD,A,1,2023-02-02,-1,125.19999999999864,1.0,TP,0.9885782747603833,1
EURUSD,A,1,2023-02-07,1,59.899999999999395,1.0,TP,0.9761268781302168,2
EURUSD,A,1,2023-02-13,1,68.29999999999892,1.0,TP,0.9790629575402632,1
EURUSD,A,1,2023-02-20,-1,19.599999999999618,1.0,TP,0.9270408163265292,1
EURUSD,A,1,2023-02-28,-1,61.80000000000074,-1.0,SL,-1.0231391585760514,1
EURUSD,A,1,2023-03-23,-1,95.09999999999907,1.0,TP,0.9849631966351208,1
EURUSD,A,1,2023-04-03,1,111.80000000000189,1.0,TP,0.9872093023255816,7
EURUSD,A,1,2023-04-14,1,17.000000000000348,-1.0,SL,-1.0841176470588219,1
EURUSD,A,1,2023-04-19,-1,30.000000000001137,-1.0,SL,-1.047666666666665,1
EURUSD,A,1,2023-04-26,-1,47.399999999999665,1.0,TP,0.9698312236286918,2
EURUSD,A,1,2023-05-02,1,58.100000000000925,1.0,TP,0.975387263339071,1
EURUSD,A,1,2023-05-04,1,17.599999999999838,1.0,TP,0.9187499999999993,1
EURUSD,A,1,2023-05-10,1,40.200000000001346,-1.0,SL,-1.0355721393034814,1
EURUSD,A,1,2023-05-16,-1,43.50000000000076,1.0,TP,0.9671264367816098,1
EURUSD,A,1,2023-05-19,1,41.89999999999916,-1.0,SL,-1.0341288782816236,3
EURUSD,A,1,2023-05-26,1,27.400000000001867,-1.0,SL,-1.0521897810218943,2
EURUSD,A,1,2023-06-02,-1,72.60000000000043,-1.0,SL,-1.0196969696969695,4
EURUSD,A,1,2023-06-12,1,23.600000000001398,1.0,TP,0.9394067796610206,1
EURUSD,A,1,2023-06-16,-1,30.700000000001282,1.0,TP,0.9534201954397413,2
EURUSD,A,1,2023-06-22,-1,53.40000000000122,1.0,TP,0.9732209737827722,1
EURUSD,A,1,2023-06-28,1,15.700000000000713,-1.0,SL,-1.0910828025477666,1
EURUSD,A,1,2023-06-30,1,74.30000000000047,-1.0,SL,-1.0192462987886943,4
EURUSD,A,1,2023-07-18,-1,45.499999999998316,1.0,TP,0.9685714285714274,2
EURUSD,A,1,2023-07-28,1,69.00000000000128,-1.0,SL,-1.020724637681159,3
EURUSD,A,1,2023-08-03,1,36.09999999999891,1.0,TP,0.9603878116343478,1
EURUSD,A,1,2023-08-18,1,22.800000000000598,1.0,TP,0.9372807017543876,1
EURUSD,A,1,2023-08-23,1,59.40000000000056,-1.0,SL,-1.024074074074074,2
EURUSD,A,1,2023-09-06,1,21.600000000001618,-1.0,SL,-1.0662037037036987,1
EURUSD,A,1,2023-09-08,-1,46.39999999999977,-1.0,SL,-1.0308189655172415,1
EURUSD,A,1,2023-09-19,-1,38.50000000000131,-1.0,SL,-1.0371428571428558,1
EURUSD,A,1,2023-09-28,-1,14.300000000000423,-1.0,SL,-1.099999999999997,1
EURUSD,A,1,2023-10-27,-1,36.50000000000153,-1.0,SL,-1.039178082191779,1
EURUSD,A,1,2023-10-31,-1,96.7999999999991,-1.0,SL,-1.0147727272727274,3
EURUSD,A,1,2023-11-06,-1,35.70000000000073,1.0,TP,0.9599439775910372,1
EURUSD,A,1,2023-11-08,1,48.599999999998644,-1.0,SL,-1.0294238683127581,2
EURUSD,A,1,2023-11-16,1,22.599999999999287,-1.0,SL,-1.0632743362831878,1
EURUSD,A,1,2023-11-21,-1,54.400000000001114,1.0,TP,0.9737132352941182,1
EURUSD,A,1,2023-11-23,-1,23.899999999998922,-1.0,SL,-1.0598326359832664,1
EURUSD,A,1,2023-11-29,-1,45.699999999999626,1.0,TP,0.9687089715536102,1
EURUSD,A,1,2023-12-07,1,36.70000000000062,-1.0,SL,-1.0389645776566752,1
EURUSD,A,1,2023-12-25,1,18.20000000000155,1.0,TP,0.9214285714285781,1
EURUSD,A,1,2023-12-28,-1,77.69999999999833,1.0,TP,0.9815958815958812,2
EURUSD,A,1,2024-01-05,1,62.50000000000089,-1.0,SL,-1.0228799999999996,7
EURUSD,A,1,2024-01-17,1,35.80000000000138,1.0,TP,0.9600558659217893,4
EURUSD,A,1,2024-01-26,1,37.59999999999985,-1.0,SL,-1.0380319148936172,1
EURUSD,A,1,2024-01-30,-1,14.199999999999768,1.0,TP,0.8992957746478857,1
EURUSD,A,1,2024-02-06,1,30.700000000001282,1.0,TP,0.9534201954397413,2
EURUSD,A,1,2024-02-14,1,32.29999999999844,1.0,TP,0.9557275541795645,1
EURUSD,A,1,2024-02-27,-1,22.499999999998632,1.0,TP,0.9364444444444406,1
EURUSD,A,1,2024-03-08,-1,46.39999999999977,1.0,TP,0.9691810344827585,4
EURUSD,A,1,2024-03-15,1,13.900000000000023,1.0,TP,0.8971223021582736,1
EURUSD,A,1,2024-03-21,-1,80.80000000000086,1.0,TP,0.98230198019802,5
EURUSD,A,1,2024-04-02,1,48.799999999999955,1.0,TP,0.9706967213114753,1
EURUSD,A,1,2024-04-05,1,43.90000000000116,1.0,TP,0.9674259681093402,2
EURUSD,A,1,2024-04-18,-1,46.69999999999952,-1.0,SL,-1.0306209850107069,3
EURUSD,A,1,2024-04-24,-1,16.899999999999693,-1.0,SL,-1.084615384615386,1
EURUSD,A,1,2024-05-01,1,60.89999999999929,1.0,TP,0.9765188834154349,2
EURUSD,A,1,2024-05-10,-1,20.599999999999508,-1.0,SL,-1.069417475728157,1
EURUSD,A,1,2024-05-16,-1,29.000000000001247,1.0,TP,0.9506896551724159,1
EURUSD,A,1,2024-05-30,1,45.100000000000136,1.0,TP,0.9682926829268294,1
EURUSD,A,1,2024-06-04,-1,36.79999999999905,1.0,TP,0.9611413043478251,3
EURUSD,A,1,2024-06-27,-1,21.500000000000963,-1.0,SL,-1.0665116279069737,1
EURUSD,A,1,2024-07-08,-1,20.899999999999253,-1.0,SL,-1.0684210526315814,3
EURUSD,A,1,2024-07-15,-1,26.999999999999247,-1.0,SL,-1.0529629629629644,2
EURUSD,A,1,2024-07-22,1,16.300000000000203,-1.0,SL,-1.087730061349692,1
EURUSD,A,1,2024-07-25,-1,24.899999999998812,-1.0,SL,-1.0574297188755049,2
EURUSD,A,1,2024-08-26,-1,41.10000000000058,1.0,TP,0.9652068126520686,2
EURUSD,A,1,2024-09-02,1,28.29999999999888,-1.0,SL,-1.050530035335691,1
EURUSD,A,1,2024-09-13,-1,28.500000000000192,-1.0,SL,-1.050175438596491,1
EURUSD,A,1,2024-09-17,-1,33.10000000000146,-1.0,SL,-1.043202416918427,1
EURUSD,A,1,2024-09-25,-1,80.99999999999996,1.0,TP,0.9823456790123457,4
EURUSD,A,1,2024-10-25,-1,44.69999999999974,-1.0,SL,-1.0319910514541388,3
EURUSD,A,1,2024-11-04,-1,36.09999999999891,-1.0,SL,-1.0396121883656522,1
EURUSD,A,1,2024-11-15,-1,53.59999999999809,-1.0,SL,-1.026679104477613,1
EURUSD,A,1,2024-11-19,1,71.0999999999995,-1.0,SL,-1.020112517580872,1
EURUSD,A,1,2024-11-26,1,61.70000000000009,1.0,TP,0.9768233387358185,1
EURUSD,A,1,2024-12-06,-1,62.50000000000089,1.0,TP,0.9771200000000003,2
EURUSD,A,1,2024-12-25,-1,10.700000000001264,-1.0,SL,-1.1336448598130684,1
EURUSD,A,1,2024-12-27,-1,21.500000000000963,-1.0,SL,-1.0665116279069737,1
EURUSD,A,1,2025-01-13,1,80.90000000000153,1.0,TP,0.982323856613103,2
EURUSD,A,1,2025-01-23,1,44.39999999999999,1.0,TP,0.9677927927927927,1
EURUSD,A,1,2025-01-27,-1,44.69999999999974,1.0,TP,0.9680089485458612,1
EURUSD,A,1,2025-02-06,1,30.399999999999316,-1.0,SL,-1.0470394736842117,1
EURUSD,A,1,2025-02-21,-1,48.39999999999955,-1.0,SL,-1.0295454545454548,1
EURUSD,A,1,2025-02-26,-1,42.1999999999989,1.0,TP,0.9661137440758285,1
EURUSD,A,1,2025-03-06,-1,65.69999999999965,-1.0,SL,-1.0217656012176561,1
EURUSD,A,1,2025-03-14,-1,36.000000000000476,-1.0,SL,-1.0397222222222218,1
EURUSD,A,1,2025-03-31,-1,30.800000000001937,1.0,TP,0.9535714285714315,1
EURUSD,A,1,2025-04-09,-1,144.50000000000074,-1.0,SL,-1.0098961937716262,1
EURUSD,A,1,2025-04-25,1,47.29999999999901,1.0,TP,0.9697674418604645,1
EURUSD,A,1,2025-05-02,-1,86.20000000000071,-1.0,SL,-1.0165893271461715,2
EURUSD,A,1,2025-05-09,1,49.600000000000755,-1.0,SL,-1.0288306451612899,1
EURUSD,A,1,2025-05-14,-1,89.29999999999882,-1.0,SL,-1.0160134378499441,3
EURUSD,A,1,2025-05-30,-1,44.39999999999999,-1.0,SL,-1.0322072072072073,1
EURUSD,A,1,2025-06-03,-1,80.29999999999981,-1.0,SL,-1.0178082191780822,2
EURUSD,A,1,2025-06-16,-1,52.39999999999911,1.0,TP,0.9727099236641217,1
EURUSD,A,1,2025-06-18,1,20.999999999999908,-1.0,SL,-1.0680952380952384,1
EURUSD,A,1,2025-07-02,1,47.099999999999916,-1.0,SL,-1.0303609341825903,1
EURUSD,A,1,2025-07-08,1,37.70000000000051,-1.0,SL,-1.0379310344827581,2
EURUSD,A,1,2025-07-16,1,72.59999999999822,-1.0,SL,-1.0196969696969702,1
EURUSD,A,1,2025-07-18,-1,50.90000000000039,-1.0,SL,-1.0280943025540272,1
EURUSD,A,1,2025-08-05,1,45.59999999999897,1.0,TP,0.9686403508771922,1
EURUSD,A,1,2025-08-15,-1,12.499999999999734,-1.0,SL,-1.1144000000000025,1
EURUSD,A,1,2025-08-20,1,27.600000000000957,-1.0,SL,-1.0518115942028967,1
EURUSD,A,1,2025-08-26,1,42.50000000000087,-1.0,SL,-1.0336470588235287,1
EURUSD,A,1,2025-09-03,1,52.100000000001586,1.0,TP,0.9725527831094058,2
EURUSD,A,1,2025-09-12,-1,17.399999999998528,-1.0,SL,-1.0821839080459839,1
EURUSD,A,1,2025-09-17,-1,103.6999999999999,1.0,TP,0.9862102217936355,6
EURUSD,A,1,2025-10-01,-1,48.200000000000465,1.0,TP,0.9703319502074692,3
EURUSD,A,1,2025-10-14,1,64.9999999999995,1.0,TP,0.9779999999999999,2
EURUSD,A,1,2025-10-17,-1,77.4000000000008,1.0,TP,0.9815245478036178,9
EURUSD,A,1,2025-11-05,1,23.199999999998777,1.0,TP,0.938362068965514,1
EURUSD,A,1,2025-12-04,-1,38.000000000000256,-1.0,SL,-1.0376315789473682,4
EURUSD,A,1,2025-12-16,-1,56.199999999999584,-1.0,SL,-1.0254448398576514,6
EURUSD,A,1,2025-12-31,1,25.599999999998957,-1.0,SL,-1.0558593750000023,1
EURUSD,A,1,2026-02-04,-1,33.199999999999896,1.0,TP,0.9569277108433734,2
EURUSD,A,1,2026-02-10,-1,37.799999999998946,1.0,TP,0.9621693121693111,1
EURUSD,A,1,2026-02-17,1,46.800000000000175,-1.0,SL,-1.0305555555555554,1
EURUSD,A,1,2026-02-26,-1,32.09999999999935,1.0,TP,0.9554517133956377,1
EURUSD,A,1,2026-03-06,1,71.29999999999859,-1.0,SL,-1.0200561009817677,1
EURUSD,A,1,2026-03-10,-1,56.09999999999893,1.0,TP,0.9745098039215682,1
EURUSD,A,1,2026-04-21,1,21.100000000000563,1.0,TP,0.9322274881516606,1
EURUSD,A,1,2026-04-28,1,33.0000000000008,-1.0,SL,-1.0433333333333323,1
EURUSD,A,1,2026-05-01,-1,68.20000000000049,-1.0,SL,-1.0209677419354837,3
EURUSD,A,1,2026-05-18,1,50.499999999999986,-1.0,SL,-1.0283168316831683,1
EURUSD,A,1,2026-05-20,1,40.49999999999887,-1.0,SL,-1.0353086419753097,1
EURUSD,A,1,2026-06-04,1,17.799999999998928,1.0,TP,0.9196629213483097,1
EURUSD,A,1,2026-06-08,1,36.19999999999956,1.0,TP,0.9604972375690602,1
EURUSD,A,1,2026-06-19,1,50.499999999999986,-1.0,SL,-1.0283168316831683,2
EURUSD,A,1,2026-06-25,-1,15.399999999998748,1.0,TP,0.9071428571428496,1
EURUSD,A,1,2026-06-30,-1,15.999999999998238,1.0,TP,0.9106249999999901,1
EURUSD,A,1,2026-07-08,1,26.600000000001067,1.0,TP,0.9462406015037615,1
EURUSD,A,1,2026-07-27,-1,47.999999999999154,-1.0,SL,-1.029791666666667,2
EURUSD,A,1,2026-08-13,1,15.499999999999403,1.0,TP,0.9077419354838674,1
EURUSD,A,2,2020-01-14,1,21.700000000000053,2.0,TP,1.9341013824884794,2
EURUSD,A,2,2020-01-20,1,20.199999999999108,-1.0,SL,-1.070792079207924,2
EURUSD,A,2,2020-01-28,1,24.100000000000232,-1.0,SL,-1.0593360995850616,1
EURUSD,A,2,2020-02-11,1,27.200000000000557,-1.0,SL,-1.0525735294117635,1
EURUSD,A,2,2020-02-19,1,25.600000000001177,-1.0,SL,-1.0558593749999974,1
EURUSD,A,2,2020-03-16,-1,73.30000000000058,2.0,TP,1.9804911323328787,1
EURUSD,A,2,2020-03-20,1,55.400000000001,-1.0,SL,-1.0258122743682305,1
EURUSD,A,2,2020-04-15,1,51.70000000000119,-1.0,SL,-1.0276595744680845,1
EURUSD,A,2,2020-04-17,1,59.19999999999925,-1.0,SL,-1.0241554054054056,3
EURUSD,A,2,2020-04-24,1,92.4999999999998,2.0,TP,1.9845405405405405,5
EURUSD,A,2,2020-05-07,1,64.9999999999995,2.0,TP,1.9779999999999998,8
EURUSD,A,2,2020-05-21,-1,61.1000000000006,-1.0,SL,-1.0234042553191487,4
EURUSD,A,2,2020-06-05,-1,92.4999999999998,-1.0,SL,-1.0154594594594595,3
EURUSD,A,2,2020-06-16,-1,91.70000000000122,-1.0,SL,-1.015594329334787,17
EURUSD,A,2,2020-07-10,1,44.299999999999336,2.0,TP,1.9677200902934533,2
EURUSD,A,2,2020-08-11,1,19.299999999999873,-1.0,SL,-1.074093264248705,1
EURUSD,A,2,2020-08-20,1,59.099999999998595,-1.0,SL,-1.0241962774957705,1
EURUSD,A,2,2020-08-26,1,58.499999999999105,-1.0,SL,-1.0244444444444447,1
EURUSD,A,2,2020-09-01,-1,95.60000000000012,2.0,TP,1.9850418410041841,15
EURUSD,A,2,2020-09-24,1,42.50000000000087,-1.0,SL,-1.0336470588235287,1
EURUSD,A,2,2020-09-30,-1,31.600000000000517,-1.0,SL,-1.0452531645569614,1
EURUSD,A,2,2020-10-06,-1,74.70000000000087,-1.0,SL,-1.0191432396251672,3
EURUSD,A,2,2020-10-14,1,27.29999999999899,-1.0,SL,-1.0523809523809544,1
EURUSD,A,2,2020-10-23,1,70.60000000000066,-1.0,SL,-1.020254957507082,2
EURUSD,A,2,2020-11-04,1,118.3999999999985,2.0,TP,1.9879222972972972,17
EURUSD,A,2,2020-12-04,-1,57.099999999998815,-1.0,SL,-1.0250437828371284,8
EURUSD,A,2,2021-01-04,-1,59.200000000001474,-1.0,SL,-1.0241554054054047,2
EURUSD,A,2,2021-01-13,-1,66.39999999999979,2.0,TP,1.9784638554216867,14
EURUSD,A,2,2021-02-15,-1,16.700000000000603,-1.0,SL,-1.0856287425149669,1
EURUSD,A,2,2021-02-23,-1,31.000000000001027,-1.0,SL,-1.046129032258063,2
EURUSD,A,2,2021-03-03,-1,50.39999999999933,2.0,TP,1.9716269841269838,1
EURUSD,A,2,2021-03-09,1,66.39999999999979,-1.0,SL,-1.0215361445783133,11
EURUSD,A,2,2021-03-31,1,23.499999999998522,2.0,TP,1.939148936170209,1
EURUSD,A,2,2021-04-02,-1,26.300000000001322,-1.0,SL,-1.0543726235741417,1
EURUSD,A,2,2021-04-07,-1,45.50000000000054,-1.0,SL,-1.0314285714285711,1
EURUSD,A,2,2021-04-15,-1,26.89999999999859,-1.0,SL,-1.053159851301118,1
EURUSD,A,2,2021-04-20,-1,45.29999999999923,-1.0,SL,-1.031567328918323,3
EURUSD,A,2,2021-04-26,-1,31.30000000000077,-1.0,SL,-1.0456869009584653,2
EURUSD,A,2,2021-04-29,-1,28.799999999999937,2.0,TP,1.950347222222222,1
EURUSD,A,2,2021-05-03,1,49.600000000000755,-1.0,SL,-1.0288306451612899,1
