slf,rr,riesgo,sl,tp,ajuste,fuera,f1,f2,R,dias
0.75,1.5,0.015,161.76000000000022,107.84000000000015,0.0900334575,0.11436260000000001,0.2519,0.454,-0.01799951843534934,50.0
0.5,1.0,0.01,107.84000000000015,107.84000000000015,0.07277795,0.09110941,0.2182,0.41755,-0.011836019996257737,57.0
1.0,1.5,0.015,215.6800000000003,143.78666666666686,0.0711072425,0.09841333499999999,0.2259,0.43565,-0.01048125276611923,54.0
0.5,2.0,0.015,107.84000000000015,53.92000000000007,0.06457175500000001,0.0252654,0.102,0.2477,-0.06963601676602425,51.0
0.35,1.0,0.01,75.4880000000001,75.4880000000001,0.06423417000000001,0.036227725,0.1259,0.28775,-0.07443441878716345,53.0
1.0,5.0,0.03,215.6800000000003,43.13600000000006,0.06326307,0.0796680225,0.20295,0.39255,-0.02612841652854616,48.0
0.25,3.0,0.03,53.92000000000007,17.973333333333358,0.06122376000000001,0.0533073375,0.16425,0.32455,-0.08357142379768481,31.0
1.0,3.0,0.02,215.6800000000003,71.89333333333343,0.0607521375,0.0573108675,0.16405,0.34935,-0.027399819608183756,55.0
0.75,3.0,0.02,161.76000000000022,53.92000000000007,0.0552043,0.03653618000000001,0.1259,0.2902,-0.050438197841758604,51.0
0.75,5.0,0.03,161.76000000000022,32.35200000000005,0.053912115,0.076665175,0.20255,0.3785,-0.033510819796057044,47.0
0.5,5.0,0.03,107.84000000000015,21.56800000000003,0.052736222500000006,0.031735935,0.11715,0.2709,-0.057613228027730896,45.0
1.0,2.0,0.015,215.6800000000003,107.84000000000015,0.0519618825,0.0570542175,0.15855,0.35985,-0.01725929610990814,61.0
0.5,3.0,0.02,107.84000000000015,35.946666666666715,0.051700424999999994,0.03889567,0.12905,0.3014,-0.05410424333829368,50.0
0.25,1.5,0.015,53.92000000000007,35.946666666666715,0.0482374,0.02312276,0.0974,0.2374,-0.11286427376931812,41.0
0.25,2.0,0.02,53.92000000000007,26.960000000000036,0.04652624,0.02974725,0.113,0.26325,-0.10721962689692653,35.0
0.25,1.0,0.01,53.92000000000007,53.92000000000007,0.044818625,0.01367033,0.0698,0.19585,-0.1265534080074139,51.0
0.35,2.0,0.015,75.4880000000001,37.74400000000005,0.044679819999999995,0.0202882,0.09025,0.2248,-0.08327632687795875,51.0
0.75,2.0,0.015,161.76000000000022,80.88000000000011,0.04421233,0.061266974999999994,0.16995,0.3605,-0.027463461235716434,56.0
0.35,5.0,0.03,75.4880000000001,15.09760000000002,0.03516739,0.01588224,0.0768,0.2068,-0.0701380853087084,47.0
0.35,3.0,0.02,75.4880000000001,25.1626666666667,0.0338285,0.014038845,0.0687,0.20435,-0.08505486463572504,46.0
0.5,1.5,0.01,107.84000000000015,71.89333333333343,0.0320452125,0.018045159999999998,0.07805,0.2312,-0.0485698328150109,66.0
0.75,1.0,0.01,161.76000000000022,161.76000000000022,0.029209424999999997,0.07091240750000001,0.18185,0.38995,-0.004031906535615832,61.0
0.35,1.5,0.01,75.4880000000001,50.3253333333334,0.02273451,0.00456975,0.03385,0.135,-0.10064529477548759,61.0
0.5,1.0,0.0075,107.84000000000015,107.84000000000015,0.022562175,0.03024624,0.1033,0.2928,-0.011836019996257737,71.0
0.35,1.0,0.0075,75.4880000000001,75.4880000000001,0.019621285,0.009322775,0.05075,0.1837,-0.07443441878716345,67.0
1.0,1.0,0.01,215.6800000000003,215.6800000000003,0.018831960000000002,0.039032175,0.12255,0.3185,-0.005551629151406714,69.0
0.25,2.0,0.015,53.92000000000007,26.960000000000036,0.0165180925,0.009477545,0.05665,0.1673,-0.10721962689692653,48.0
0.75,1.5,0.01,161.76000000000022,107.84000000000015,0.016498679999999998,0.027127685000000002,0.09685,0.2801,-0.01799951843534934,70.0
1.0,3.0,0.015,215.6800000000003,71.89333333333343,0.0164793375,0.01752536,0.0752,0.23305,-0.027399819608183756,70.0
0.75,3.0,0.015,161.76000000000022,53.92000000000007,0.0162473325,0.009868075,0.05425,0.1819,-0.050438197841758604,65.0
0.5,3.0,0.015,107.84000000000015,35.946666666666715,0.0159003475,0.010515937500000001,0.05625,0.18695,-0.05410424333829368,64.0
0.25,3.0,0.02,53.92000000000007,17.973333333333358,0.015421599999999999,0.0132709725,0.07005,0.18945,-0.08357142379768481,49.0
0.25,1.0,0.0075,53.92000000000007,53.92000000000007,0.012945325,0.002785965,0.02535,0.1099,-0.1265534080074139,64.0
0.5,2.0,0.01,107.84000000000015,53.92000000000007,0.01074045,0.0032453850000000004,0.0267,0.12155,-0.06963601676602425,74.0
