i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
347,348,1,False,2311.685,2297.595,2341.495,1.0,0.0,0.47266018114727176,2024-06-13 04:59:00,2980.9999999999945,0.47266018114727176,0.011741026501174125,0.4609191546460976,XAUUSD,35.0,u
198,199,1,False,18125.453,17968.755,18211.755,0.0,0.0,1.8156937266807363,2024-06-19 04:59:00,86.30199999999968,-1.0,0.023174433964450503,-1.0231744339644504,GRXEUR,2.0,p
199,200,1,True,18121.977,18211.755,18051.677,1.0,1.0,1.2770697012802703,2024-06-20 04:59:00,70.29999999999927,1.2770697012802703,0.028449502133712955,1.2486201991465573,GRXEUR,2.0,p
201,202,1,True,18181.399,18260.799,18086.777,1.0,1.0,0.8391283211092059,2024-06-21 20:00:00,94.62200000000303,0.8391283211092059,0.02113673352919972,0.8179915875800061,GRXEUR,2.0,p
202,203,1,False,18238.577,18086.777,18355.788,1.0,0.0,1.2951002892220336,2024-06-25 04:59:00,117.21099999999933,1.2951002892220336,0.017063244917286016,1.2780370443047475,GRXEUR,2.0,p
203,204,1,True,18229.199,18355.788,18074.399,1.0,1.0,0.81775839793282,2024-06-26 04:59:00,154.79999999999927,0.81775839793282,0.012919896640826933,0.8048385012919931,GRXEUR,2.0,p
206,207,1,False,18246.299,18135.199,18355.277,0.0,0.0,1.0194718200003616,2024-06-28 20:00:00,108.97799999999916,-1.0,0.01835232799280603,-1.018352327992806,GRXEUR,2.0,p
207,208,1,False,18273.099,18188.655,18462.788,1.0,1.0,0.4451707795391328,2024-07-02 04:59:00,189.68900000000212,0.4451707795391328,0.010543573955263497,0.4346272055838693,GRXEUR,2.0,p
366,367,1,True,2367.638,2386.645,2349.455,1.0,1.0,1.0453170543914683,2024-07-10 04:59:00,1818.2999999999993,1.0453170543914683,0.019248748831325973,1.0260683055601423,XAUUSD,35.0,u
218,219,1,True,18554.555,18747.555,18449.155,0.0,0.0,1.831119544592005,2024-07-17 04:59:00,105.40000000000146,-1.0,0.018975332068310934,-1.018975332068311,GRXEUR,2.0,p
372,373,1,False,2465.138,2427.995,2483.548,1.0,1.0,2.0175448126018645,2024-07-18 04:59:00,1840.9999999999854,2.0175448126018645,0.019011406844106613,1.998533405757758,XAUUSD,35.0,u
219,220,1,True,18472.588,18583.166,18343.899,0.0,0.0,0.8592653606757581,2024-07-18 04:59:00,128.6889999999985,-1.0,0.015541343860003757,-1.0155413438600038,GRXEUR,2.0,p
221,222,1,True,18465.599,18535.788,18194.299,1.0,0.0,0.2587136011795146,2024-07-23 04:59:00,271.2999999999993,0.2587136011795146,0.007371913011426485,0.2513416881680881,GRXEUR,2.0,p
222,223,1,False,18461.088,18194.299,18649.788,1.0,1.0,1.4138261791202948,2024-07-24 04:59:00,188.70000000000073,1.4138261791202948,0.010598834128245853,1.403227344992049,GRXEUR,2.0,p
226,227,1,False,18332.099,18215.255,18546.255,0.0,0.0,0.5456022712415055,2024-07-30 04:59:00,214.15600000000268,-1.0,0.009338986533181302,-1.0093389865331812,GRXEUR,2.0,p
380,381,1,False,2386.265,2365.098,2396.585,0.0,0.0,2.0510658914728275,2024-07-30 04:59:00,1032.0000000000164,-1.0,0.033914728682170006,-1.03391472868217,XAUUSD,35.0,u
383,384,1,False,2457.705,2415.315,2462.125,0.0,1.0,9.590497737556374,2024-08-02 04:59:00,442.0000000000073,-1.0,0.07918552036198964,-1.0791855203619896,XAUUSD,35.0,u
233,234,1,False,17448.055,17228.966,17670.977,0.0,0.0,0.9828056450238256,2024-08-08 04:59:00,222.92199999999866,-1.0,0.008971747965656203,-1.0089717479656561,GRXEUR,2.0,p
