i,alcista,d,vuelve,base,r3,velas
13240,False,1.4156604821008454,1.0,0.7488130629631273,1.5023474178404432,12.0
13241,False,1.145517599945922,1.0,0.7953143719217287,0.724999999999941,6.0
13247,True,0.5820224876373873,1.0,0.912366330922483,0.9454545454545858,17.0
13248,True,0.08733267084159661,1.0,0.9849580689532769,0.451923076923079,1.0
13253,True,0.6805680575955384,1.0,0.8963038558814393,0.5801886792452361,3.0
13265,False,1.6410654760312058,1.0,0.7144251675023294,0.7564102564102557,2.0
13272,False,0.18905199006010137,1.0,0.9657895904512579,0.26851851851853753,18.0
13275,False,0.3538517128523725,1.0,0.936105071659937,1.3421052631577564,1.0
13277,False,0.2636547172024905,1.0,0.9515019745307716,0.46268656716418655,1.0
13280,False,0.16289411847120785,1.0,0.9700492523405955,0.25123152709360413,2.0
13287,False,0.4546694226115925,1.0,0.9172915649820296,0.7582417582417516,1.0
13289,True,0.23779906960538152,0.0,0.9641922172427564,0.7815126050420826,
13291,True,1.1757466094322826,1.0,0.8213604295159072,0.5443645083932831,33.0
13295,True,0.05924852819658186,1.0,0.9884634157163775,0.42105263157900885,1.0
13297,False,0.18377923668469465,1.0,0.9665439055774948,1.7450980392153277,7.0
13298,False,0.44645505136138647,1.0,0.9192439100146426,1.4157303370789573,2.0
13299,False,0.3468638822413819,1.0,0.9371699871322714,0.6111111111112189,1.0
13316,False,0.3633302446005448,1.0,0.9343745840173936,1.3000000000003331,7.0
13317,False,1.0194396379869712,1.0,0.8159914806762213,1.1346153846151794,6.0
13318,False,0.017391346095051188,1.0,0.9937879930780494,0.39830508474575155,1.0
13330,False,0.1958268442354694,1.0,0.9648134179349515,0.43199999999999716,1.0
13332,True,0.5556861275496794,1.0,0.9155610773394862,1.5806451612906922,8.0
13333,True,0.23261039222208216,1.0,0.9647246749789236,1.0408163265306538,1.0
13341,False,1.0197262345632672,1.0,0.8159471091982073,1.0,4.0
13342,False,1.3340324520989637,1.0,0.7620357634112792,1.1533333333332958,2.0
13347,False,0.30366101966023584,1.0,0.9441363091804588,0.585714285714288,2.0
13348,False,0.12199091349360555,1.0,0.9770599458667968,0.6829268292683983,1.0
13350,True,0.615041577309913,1.0,0.9068642676487554,1.6029411764706074,6.0
13351,True,0.5972463126498098,1.0,0.909748413719661,0.9266055045870849,5.0
13357,False,0.9848997729027501,1.0,0.822159116120158,1.072992700730088,3.0
13358,False,1.2551534926132353,1.0,0.776057150463682,1.2925170068025063,2.0
13359,False,0.2745061062710394,1.0,0.9496827439322004,0.7473684210527017,1.0
13362,False,1.1331619774774386,1.0,0.797089231042286,0.8883720930232409,2.0
13363,False,0.3263404308884147,1.0,0.9398766472911213,0.6439790575915889,1.0
13374,False,0.5792140900398488,1.0,0.8935084527665617,1.5940594059405548,2.0
13377,False,1.0795192044638056,1.0,0.8051204685628078,1.1417910447760415,18.0
13378,False,0.9969112483870258,1.0,0.8196743133513777,1.607843137254808,13.0
13379,False,1.142578950741818,1.0,0.7957580867018681,0.804878048780556,6.0
13384,True,0.5359745132701312,1.0,0.9187558237564893,0.688679245283092,2.0
13387,False,0.03174039860803894,1.0,0.9917469050894085,0.40689655172421396,1.0
13395,True,1.0498926950807654,1.0,0.8409726227980654,1.6886792452828825,21.0
13396,True,1.063735074979786,1.0,0.8391533921994941,1.3743016759777575,19.0
13397,True,0.5167575585227246,1.0,0.921551226871367,0.3617886178861833,4.0
13398,True,0.25184715759415394,1.0,0.961840528908018,0.5955056179776487,1.0
13402,False,0.24460455868121578,1.0,0.9550960642499001,0.5371900826445493,6.0
13405,False,0.46891982754829153,1.0,0.9144517903891378,1.553571428571372,1.0
13408,True,1.7219566825565853,1.0,0.7410480543106891,1.7567567567565379,6.0
13409,True,0.153176721468024,1.0,0.9760394018724764,0.8615384615384905,4.0
13414,False,0.9360278236646725,1.0,0.8311221546789723,1.0946745562131142,9.0
13415,False,0.45455788427622484,1.0,0.9172915649820296,0.41081081081083287,3.0
13416,False,0.012200747549645072,1.0,0.9942760793362027,0.8421052631577564,2.0
13419,True,0.12733891666727923,1.0,0.9789679194213959,0.2849162011173309,28.0
13421,True,0.07402743180475618,1.0,0.9864666992057506,0.445255474452524,24.0
13424,True,2.575962769494816,1.0,0.6227536939255447,1.6039215686273895,21.0
13425,True,1.3899716960677875,1.0,0.7887030216976527,0.5672371638141611,18.0
13427,True,0.8605367782514362,1.0,0.8685273106447176,0.9744897959184263,2.0
13428,True,0.11585262063636577,1.0,0.9810090074100368,1.167539267015635,1.0
13433,True,0.13294889711628471,1.0,0.9783467187292009,0.955223880596733,1.0
13435,False,0.594331706763574,1.0,0.8910236499977814,1.0763888888887667,45.0
13436,False,0.06852395808563748,1.0,0.9857123840795137,0.5354838709676892,39.0
13440,False,0.286292258661783,1.0,0.9476860274215734,0.7280701754384068,1.0
13445,False,1.5432418176032656,1.0,0.7291564982029551,1.4866310160427527,1.0
13449,True,0.0,1.0,0.9972045968851222,0.2613636363637109,1.0
13450,True,0.17494061573750475,1.0,0.9731996272795846,0.8913043478258876,14.0
13452,True,0.18657320733218663,1.0,0.9715578825930692,0.6107382550335381,1.0
13456,True,0.06957178054735656,1.0,0.9870435284199317,1.1086956521741649,4.0
13466,True,0.3119232473476619,1.0,0.9531437192172871,1.093333333333053,1.0
13471,True,0.1380244621146081,1.0,0.9778586324710477,0.25345622119817934,1.0
13480,True,1.1805121611424825,1.0,0.8206948573456982,2.6111111111112253,14.0
13481,True,0.2994834136034934,1.0,0.9546523494697609,0.5070921985815673,1.0
13484,True,0.3740330615542502,1.0,0.9434707370102499,0.9374999999998785,1.0
13491,False,0.817745996868861,1.0,0.8519767493455207,1.1739130434781875,1.0
13494,False,1.2390019209768317,0.0,0.7793850113147269,1.1030303030303095,
13495,False,0.4081420873188457,1.0,0.9265652038869414,0.6703296703296945,1.0
13498,False,1.4279803307637928,1.0,0.7469050894085282,1.0717703349281635,35.0
13499,False,0.9118882360848642,1.0,0.8355593024803656,0.964285714285778,30.0
13500,False,0.1626965985655639,1.0,0.9701379952966234,0.24074074074065507,1.0
13505,False,0.4881660126844306,1.0,0.9105027288458979,0.6490066225165865,3.0
13529,True,0.4269644425096251,1.0,0.9352176420996583,0.7927461139896588,1.0
13536,True,0.9484205259885788,1.0,0.8557926964547189,1.8918918918920784,2.0
13537,True,0.37085507451829586,1.0,0.9441363091804588,0.714285714285601,1.0
13542,False,0.5702211747805606,1.0,0.8947508541509518,1.053191489361569,1.0
13548,True,3.4773418279156507,1.0,0.5057017349247903,3.5056179775283143,50.0
13549,True,0.16807916279105548,1.0,0.9740426853618493,0.5160256410256392,1.0
13551,False,0.5060444335174933,1.0,0.9070417535608111,0.34848484848483524,1.0
13552,True,0.9438642615791446,1.0,0.8565913830589698,1.9826086956522528,2.0
13553,True,0.24205327626326023,1.0,0.9634822735945334,0.9736842105263388,1.0
13556,True,0.022528926030527797,1.0,0.9938323645560634,0.327014218009484,1.0
13562,False,1.5933394514099979,1.0,0.7228113768469628,1.8000000000000178,3.0
13563,False,0.2731601667019074,1.0,0.9497714868882282,0.45555555555558463,1.0
