RA,nA,RB,nB,RC,nC,rgo,lado,anio
-1.0,-1.2439024390244091,-1.0,-1.2439024390244091,-1.0,-1.2439024390244091,81.99999999999363,-1,2023
-1.0,-1.1065530101225387,-1.0,-1.1065530101225387,-1.0,-1.1065530101225387,187.69999999999527,1,2023
2.0,1.5717344753748224,2.0,1.5717344753748224,1.6,1.1717344753748224,46.70000000000982,1,2023
-1.0,-1.322580645161347,0.0,-0.3225806451613471,0.0,-0.3225806451613471,61.999999999989086,-1,2023
-1.0,-1.322580645161347,0.0,-0.3225806451613471,0.0,-0.3225806451613471,61.999999999989086,-1,2023
2.0,1.8342999171499732,2.0,1.8342999171499732,2.0,1.8342999171499732,120.70000000001073,1,2023
2.0,1.8342999171499732,2.0,1.8342999171499732,2.0,1.8342999171499732,120.70000000001073,1,2023
2.0,1.7435897435897347,2.0,1.7435897435897347,1.6,1.3435897435897348,77.99999999999727,1,2023
2.0,1.705882352941204,2.0,1.705882352941204,1.6,1.305882352941204,68.00000000000637,-1,2023
2.0,1.705882352941204,2.0,1.705882352941204,1.6,1.305882352941204,68.00000000000637,-1,2023
-1.0,-1.1874414245548253,0.0,-0.18744142455482535,0.0,-0.18744142455482535,106.70000000000073,-1,2023
-1.0,-1.3636363636363937,-1.0,-1.3636363636363937,-1.0,-1.3636363636363937,54.99999999999545,1,2023
-1.0,-1.3636363636363937,-1.0,-1.3636363636363937,-1.0,-1.3636363636363937,54.99999999999545,1,2023
2.0,1.7222222222222328,2.0,1.7222222222222328,2.4880555555554915,2.2102777777777245,72.00000000000273,-1,2023
-1.0,-1.3448275862069399,-1.0,-1.3448275862069399,-1.0,-1.3448275862069399,57.999999999992724,1,2023
2.0,1.9148936170212734,2.0,1.9148936170212734,2.0,1.9148936170212734,234.9999999999909,1,2023
-1.0,-1.244798041615665,-1.0,-1.244798041615665,-1.0,-1.244798041615665,81.70000000000073,1,2023
2.0,1.6610169491524953,0.0,-0.3389830508475047,0.0,-0.3389830508475047,58.999999999991815,1,2023
-1.0,-1.4166666666668482,-1.0,-1.4166666666668482,-1.0,-1.4166666666668482,47.99999999997908,-1,2023
2.0,1.8863636363636358,0.0,-0.11363636363636423,0.0,-0.11363636363636423,175.9999999999991,-1,2023
2.0,1.6240601503758871,0.0,-0.37593984962411287,0.0,-0.37593984962411287,53.19999999999254,-1,2023
2.0,1.8319327731092514,0.0,-0.1680672268907486,0.0,-0.1680672268907486,119.00000000000546,-1,2023
2.0,1.927193301783766,2.0,1.927193301783766,2.0,1.927193301783766,274.7000000000071,-1,2023
-1.0,-1.298507462686636,-1.0,-1.298507462686636,-1.0,-1.298507462686636,66.99999999998454,1,2023
