ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,b
2021-11-01 12:30:00,corto,1.15734,3.0,7.800000000000029,SL,-9.000000000000028,-1.153846153846153,-0.9999999999999999
2021-11-09 13:45:00,largo,1.15959,3.0,27.099999999999902,SL,-28.2999999999999,-1.044280442804428,-1.0
2021-11-11 06:45:00,corto,1.14798,3.0,6.099999999999994,TP,17.099999999999984,2.80327868852459,3.0
2021-11-19 06:45:00,largo,1.13587,3.0,8.599999999998609,SL,-9.799999999998608,-1.1395348837209527,-1.0
2021-11-24 08:30:00,corto,1.12359,3.0,20.299999999999763,SL,-21.499999999999762,-1.0591133004926114,-1.0
2021-12-08 10:30:00,largo,1.12934,3.0,21.999999999999797,SL,-23.199999999999797,-1.0545454545454551,-1.0
2021-12-20 09:00:00,corto,1.12634,3.0,11.700000000001154,SL,-12.900000000001153,-1.1025641025640924,-1.0
2021-12-23 09:45:00,largo,1.13204,3.0,10.799999999999699,SL,-11.999999999999698,-1.111111111111114,-1.0
2021-12-28 08:15:00,largo,1.13253,3.0,10.700000000001264,SL,-11.900000000001263,-1.112149532710267,-1.0
2022-01-07 06:45:00,corto,1.12989,3.0,5.399999999999849,SL,-6.5999999999998495,-1.2222222222222285,-1.0
2022-01-11 11:30:00,largo,1.13378,3.0,12.900000000000134,SL,-14.100000000000133,-1.0930232558139525,-1.0
2022-01-12 08:45:00,largo,1.13669,3.0,12.999999999998568,TP,37.7999999999957,2.907692307692297,2.9999999999999996
2022-01-19 07:00:00,corto,1.13308,3.0,6.599999999998829,SL,-7.799999999998829,-1.181818181818214,-1.0
2022-02-01 13:30:00,largo,1.12633,3.0,10.900000000000354,SL,-12.100000000000353,-1.1100917431192625,-1.0
2022-02-23 13:15:00,largo,1.13471,3.0,11.700000000001154,SL,-12.900000000001153,-1.1025641025640924,-1.0
2022-03-07 06:30:00,corto,1.08719,3.0,18.399999999998418,SL,-19.599999999998417,-1.0652173913043534,-1.0
2022-03-29 09:00:00,largo,1.10092,3.0,35.29999999999811,TP,104.69999999999432,2.9660056657223777,3.0
2022-04-13 06:45:00,corto,1.08218,3.0,23.900000000001143,SL,-25.100000000001142,-1.050209205020918,-1.0
2022-04-13 11:45:00,corto,1.0831,3.0,17.700000000000493,SL,-18.900000000000492,-1.0677966101694896,-1.0
2022-04-14 09:00:00,largo,1.09125,3.0,11.900000000000244,SL,-13.100000000000243,-1.1008403361344516,-1.0
2022-04-22 13:30:00,corto,1.08114,3.0,34.40000000000109,TP,102.00000000000328,2.9651162790697687,3.0
2022-04-27 13:45:00,largo,1.05481,3.0,15.799999999999148,SL,-16.999999999999147,-1.0759493670886116,-1.0
2022-04-28 12:30:00,largo,1.05106,3.0,40.60000000000174,TP,120.60000000000522,2.9704433497536957,3.0
2022-05-10 07:30:00,largo,1.05756,3.0,25.600000000001177,SL,-26.800000000001177,-1.0468749999999978,-1.0
2022-05-12 14:45:00,largo,1.04121,3.0,29.599999999998516,SL,-30.799999999998516,-1.0405405405405426,-1.0
2022-05-20 14:30:00,largo,1.05642,3.0,25.399999999999867,SL,-26.599999999999866,-1.0472440944881891,-1.0
2022-05-27 14:45:00,corto,1.0711,3.0,40.29999999999978,SL,-41.49999999999978,-1.0297766749379655,-1.0
2022-06-01 13:45:00,corto,1.07085,3.0,22.999999999999687,TP,67.79999999999906,2.9478260869565207,3.0
2022-06-03 07:30:00,largo,1.07571,3.0,13.299999999998313,SL,-14.499999999998312,-1.0902255639097858,-1.0
2022-06-07 08:45:00,corto,1.06794,3.0,26.500000000000412,SL,-27.70000000000041,-1.0452830188679239,-1.0
2022-06-08 07:00:00,largo,1.06935,3.0,16.899999999999693,SL,-18.099999999999692,-1.0710059171597646,-1.0
2022-06-08 09:15:00,largo,1.06944,3.0,24.100000000000232,TP,71.10000000000069,2.9502074688796682,3.0
2022-06-10 07:45:00,corto,1.06255,3.0,17.699999999998273,TP,51.89999999999481,2.9322033898305015,3.0
2022-06-29 09:45:00,corto,1.05095,3.0,20.000000000000018,SL,-21.200000000000017,-1.0599999999999998,-1.0
2022-07-01 06:45:00,largo,1.04614,3.0,21.700000000000053,SL,-22.900000000000052,-1.0552995391705067,-1.0
2022-07-06 08:30:00,corto,1.02438,3.0,33.69999999999873,TP,99.89999999999618,2.964391691394657,3.0
2022-07-12 09:45:00,largo,1.00125,3.0000000000000817,13.599999999999168,TP,39.59999999999861,2.9117647058824287,3.0000000000000813
2022-07-13 12:30:00,corto,1.00063,3.0,96.00000000000053,SL,-97.20000000000053,-1.0125,-1.0
2022-07-15 07:15:00,largo,1.00266,3.0,20.800000000000818,TP,61.20000000000245,2.9423076923076943,3.0
2022-07-18 06:30:00,largo,1.01032,3.0,23.000000000001908,TP,67.80000000000572,2.947826086956526,3.0
2022-07-22 07:15:00,corto,1.01818,3.0,32.59999999999818,SL,-33.799999999998185,-1.0368098159509225,-1.0
2022-07-26 07:15:00,largo,1.02342,3.0,26.999999999999247,SL,-28.199999999999246,-1.0444444444444456,-1.0
2022-07-27 11:45:00,corto,1.01506,3.0,22.400000000000198,SL,-23.600000000000197,-1.0535714285714282,-1.0
2022-08-01 06:30:00,largo,1.02265,3.0,14.300000000000423,TP,41.70000000000127,2.9160839160839185,3.0
2022-08-03 10:15:00,corto,1.01811,3.0,20.099999999998452,SL,-21.29999999999845,-1.059701492537318,-1.0
2022-08-05 06:45:00,largo,1.02354,3.0,13.999999999998458,SL,-15.199999999998457,-1.0857142857142952,-1.0
2022-08-15 13:45:00,corto,1.01982,3.0,25.800000000000267,TP,76.2000000000008,2.9534883720930236,3.0
2022-08-23 07:30:00,largo,0.9943,3.0000000000000253,43.79999999999939,TP,130.1999999999993,2.9726027397260526,3.0000000000000253
2022-09-05 06:45:00,largo,0.99069,3.0,30.69999999999906,SL,-31.89999999999906,-1.0390879478827373,-1.0
2022-09-06 14:15:00,largo,0.98996,3.0,36.79999999999905,TP,109.19999999999716,2.9673913043478253,3.0
2022-09-14 08:45:00,corto,0.99913,3.0,19.600000000000726,SL,-20.800000000000725,-1.061224489795916,-1.0
2022-09-14 10:45:00,corto,1.0008,3.0,16.40000000000086,TP,48.00000000000257,2.9268292682926864,3.0
2022-09-23 09:45:00,largo,0.97619,3.0,26.800000000000157,SL,-28.000000000000156,-1.0447761194029848,-1.0
2022-09-26 11:30:00,largo,0.96493,3.0,31.49999999999986,SL,-32.69999999999986,-1.0380952380952382,-1.0
2022-10-07 08:45:00,corto,0.98017,3.0,16.00000000000046,TP,46.80000000000137,2.9250000000000016,3.0
2022-11-08 09:30:00,largo,0.9999,3.0,28.500000000000192,TP,84.30000000000057,2.957894736842105,2.9999999999999996
2022-11-14 12:45:00,largo,1.03339,3.0,63.59999999999921,SL,-64.79999999999922,-1.018867924528302,-1.0
2022-11-21 15:45:00,corto,1.02397,3.0,23.800000000000487,SL,-25.000000000000487,-1.0504201680672258,-1.0
2022-12-01 08:30:00,largo,1.04302,3.0,38.3,TP,113.69999999999999,2.968668407310705,3.0
2022-12-14 08:30:00,largo,1.06364,3.0,18.699999999998163,TP,54.899999999994485,2.935828877005341,3.0
2023-01-11 09:15:00,largo,1.07462,3.0,21.799999999998487,TP,64.19999999999546,2.944954128440363,3.0
2023-01-17 06:45:00,corto,1.08146,3.0,21.799999999998487,SL,-22.999999999998487,-1.055045871559637,-1.0
2023-02-02 07:00:00,largo,1.10088,3.0,6.099999999999994,SL,-7.2999999999999945,-1.19672131147541,-1.0
2023-02-02 09:30:00,largo,1.10031,3.0,15.399999999998748,SL,-16.599999999998747,-1.0779220779220842,-1.0
2023-02-10 08:30:00,corto,1.07295,3.0,23.999999999999577,TP,70.79999999999873,2.9499999999999993,3.0
2023-02-14 13:30:00,largo,1.07615,3.0,44.599999999999085,SL,-45.79999999999909,-1.026905829596413,-1.0
2023-02-17 07:30:00,largo,1.06441,3.0,15.899999999999803,SL,-17.099999999999802,-1.0754716981132084,-1.0
2023-02-20 10:00:00,largo,1.06885,3.0,11.499999999999844,SL,-12.699999999999843,-1.104347826086958,-1.0
2023-02-22 15:30:00,corto,1.06369,3.0,21.400000000000308,TP,63.000000000000924,2.9439252336448605,3.0
2023-03-07 07:15:00,largo,1.069,3.0,16.599999999999948,SL,-17.799999999999947,-1.0722891566265063,-1.0
2023-03-08 09:45:00,corto,1.05393,3.0,10.099999999999554,SL,-11.299999999999553,-1.118811881188124,-1.0
2023-03-13 11:45:00,largo,1.07224,3.0,73.40000000000124,SL,-74.60000000000124,-1.0163487738419617,-1.0
2023-03-22 06:45:00,largo,1.07658,3.0,7.800000000000029,TP,22.200000000000088,2.8461538461538467,3.0
2023-03-31 06:45:00,largo,1.09039,3.0,17.199999999999438,SL,-18.399999999999437,-1.0697674418604675,-1.0
2023-04-06 12:15:00,corto,1.0909,3.0,9.200000000000319,SL,-10.400000000000318,-1.1304347826086911,-1.0
2023-04-20 12:30:00,largo,1.09684,3.0,36.000000000000476,TP,106.80000000000142,2.966666666666667,3.0
2023-05-02 07:45:00,corto,1.09855,3.0,22.100000000000453,SL,-23.300000000000452,-1.0542986425339356,-1.0
2023-05-05 07:45:00,corto,1.10268,3.0,21.899999999999142,SL,-23.09999999999914,-1.0547945205479474,-1.0
2023-05-10 14:30:00,corto,1.09748,3.0,33.0000000000008,TP,97.80000000000241,2.9636363636363647,3.0
2023-05-15 06:30:00,corto,1.08623,3.0,10.600000000000609,SL,-11.800000000000608,-1.1132075471698049,-1.0
2023-05-24 06:45:00,corto,1.07776,3.0,12.699999999998823,SL,-13.899999999998823,-1.0944881889763867,-1.0
2023-05-26 12:30:00,corto,1.07305,3.0,27.69999999999939,TP,81.89999999999817,2.9566787003610098,3.0
2023-06-09 07:45:00,largo,1.07753,3.0,8.900000000000574,SL,-10.100000000000573,-1.1348314606741485,-1.0
2023-06-13 14:30:00,largo,1.07996,3.0,22.500000000000853,SL,-23.700000000000852,-1.0533333333333312,-1.0
2023-06-20 06:45:00,corto,1.09215,3.0,11.700000000001154,SL,-12.900000000001153,-1.1025641025640924,-1.0
2023-06-22 07:00:00,largo,1.09873,3.0,8.60000000000083,SL,-9.800000000000828,-1.1395348837209167,-1.0
2023-07-14 13:15:00,largo,1.1228,3.0,11.499999999999844,SL,-12.699999999999843,-1.104347826086958,-1.0
2023-07-24 07:15:00,corto,1.11246,3.0,23.299999999999432,TP,68.6999999999983,2.948497854077252,3.0
2023-07-28 06:45:00,corto,1.09713,3.0,20.800000000000818,SL,-22.000000000000817,-1.0576923076923055,-1.0
2023-07-31 13:30:00,largo,1.10365,3.0,22.800000000000598,SL,-24.000000000000597,-1.052631578947367,-1.0
2023-08-01 14:00:00,corto,1.09671,3.0,23.099999999998122,SL,-24.29999999999812,-1.0519480519480562,-1.0
2023-08-04 07:00:00,largo,1.09504,3.0,7.299999999998974,SL,-8.499999999998973,-1.1643835616438587,-0.9999999999999999
2023-08-04 12:15:00,largo,1.0949,3.0,14.899999999999913,TP,43.49999999999974,2.9194630872483214,3.0
2023-08-11 06:45:00,corto,1.09909,3.0,12.100000000001554,SL,-13.300000000001553,-1.0991735537189955,-1.0
2023-08-25 14:15:00,corto,1.07903,3.0,52.400000000001334,SL,-53.60000000000134,-1.022900763358778,-1.0
2023-08-30 08:30:00,largo,1.08665,3.0,12.399999999999078,TP,35.99999999999723,2.903225806451605,2.9999999999999996
2023-09-04 11:45:00,corto,1.08002,3.0,9.500000000000064,TP,27.300000000000193,2.8736842105263167,3.0
2023-09-11 12:45:00,largo,1.07274,3.0,13.000000000000789,TP,37.80000000000236,2.907692307692313,3.0
