ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,bruto
2025-04-07 11:45:00,largo,1.09693,3.0,35.39999999999876,SL,-36.599999999998765,-1.033898305084747,-1.0
2025-04-09 08:30:00,largo,1.10262,3.0,29.599999999998516,SL,-30.799999999998516,-1.0405405405405426,-1.0
2025-04-11 06:45:00,largo,1.12864,3.0,40.800000000000836,TP,121.2000000000025,2.970588235294118,3.0
2025-04-14 07:15:00,corto,1.13992,3.0,26.199999999998447,TP,77.39999999999533,2.95419847328244,2.9999999999999996
2025-04-15 08:15:00,corto,1.1355,3.0,24.900000000001032,TP,73.50000000000308,2.9518072289156643,2.9999999999999996
2025-04-16 15:15:00,corto,1.13606,3.0,26.89999999999859,SL,-28.09999999999859,-1.0446096654275117,-1.0
2025-04-17 06:30:00,largo,1.13628,3.0,20.499999999998852,SL,-21.69999999999885,-1.0585365853658568,-1.0
2025-04-17 14:45:00,corto,1.13493,3.0,37.199999999999456,SL,-38.39999999999946,-1.0322580645161297,-1.0
2025-04-21 09:45:00,corto,1.15468,3.0,27.099999999999902,TP,80.0999999999997,2.9557195571955712,2.9999999999999996
2025-04-22 13:45:00,largo,1.14741,3.0,19.299999999999873,SL,-20.499999999999872,-1.0621761658031093,-1.0
2025-04-25 13:45:00,largo,1.13532,3.0,21.500000000000963,SL,-22.700000000000962,-1.0558139534883695,-1.0
2025-04-28 13:30:00,largo,1.13718,3.0,33.49999999999964,tiempo,-0.900000000000255,-0.026865671641798948,0.008955223880589497
2025-04-30 14:45:00,largo,1.13668,3.0,18.099999999998673,SL,-19.299999999998672,-1.0662983425414412,-1.0
2025-05-01 07:30:00,largo,1.13038,3.0,17.399999999998528,SL,-18.599999999998527,-1.068965517241385,-1.0
2025-05-05 08:00:00,largo,1.13252,3.0,15.099999999999003,SL,-16.299999999999002,-1.079470198675502,-1.0
2025-05-06 12:15:00,largo,1.13327,3.0,28.600000000000847,SL,-29.800000000000846,-1.0419580419580408,-1.0
2025-05-09 09:15:00,corto,1.12507,3.0,9.900000000000464,SL,-11.100000000000463,-1.1212121212121156,-1.0
2025-05-13 10:15:00,largo,1.1109,3.0,13.199999999999878,TP,38.39999999999963,2.909090909090908,2.9999999999999996
2025-05-15 13:15:00,corto,1.12037,3.0,20.899999999999253,TP,61.499999999997755,2.942583732057414,3.0
2025-05-20 15:45:00,corto,1.12528,3.0,17.899999999999583,SL,-19.099999999999582,-1.0670391061452529,-1.0
2025-05-21 06:45:00,corto,1.13324,3.0,21.599999999999397,SL,-22.799999999999397,-1.0555555555555571,-1.0
2025-05-22 07:45:00,largo,1.13209,3.0,26.600000000001067,SL,-27.800000000001067,-1.0451127819548853,-1.0
2025-05-22 15:15:00,largo,1.12874,3.0,22.699999999999942,SL,-23.89999999999994,-1.0528634361233482,-1.0
2025-05-23 11:30:00,corto,1.13339,3.0,42.50000000000087,SL,-43.70000000000087,-1.0282352941176465,-1.0
2025-05-27 13:45:00,corto,1.13582,3.0,18.099999999998673,TP,53.099999999996015,2.9337016574585584,3.0
2025-05-28 07:00:00,largo,1.13202,3.0,25.900000000000922,SL,-27.10000000000092,-1.0463320463320447,-1.0
2025-05-29 14:30:00,corto,1.13481,3.0,22.099999999998232,SL,-23.29999999999823,-1.054298642533941,-1.0
2025-06-02 12:45:00,corto,1.14182,3.0,19.599999999999618,SL,-20.799999999999617,-1.0612244897959195,-1.0
2025-06-03 10:30:00,largo,1.14081,3.0,12.800000000001699,SL,-14.000000000001698,-1.0937499999999876,-1.0
2025-06-03 13:30:00,largo,1.13911,3.0,15.199999999999658,SL,-16.399999999999658,-1.0789473684210544,-1.0
2025-06-04 13:30:00,corto,1.14005,3.0,13.900000000000023,SL,-15.100000000000023,-1.0863309352517985,-1.0
2025-06-06 06:45:00,largo,1.14353,3.0,11.799999999999589,SL,-12.999999999999588,-1.1016949152542408,-1.0
2025-06-06 09:30:00,largo,1.14201,3.0,10.299999999998644,SL,-11.499999999998643,-1.1165048543689473,-1.0
2025-06-09 09:45:00,corto,1.14259,3.0,14.199999999999768,TP,41.3999999999993,2.915492957746477,3.0
2025-06-10 07:30:00,largo,1.13981,3.0,26.200000000000667,TP,77.400000000002,2.954198473282444,3.0
2025-06-12 07:45:00,largo,1.15262,3.0,21.599999999999397,TP,63.59999999999819,2.944444444444443,3.0
2025-06-17 06:45:00,corto,1.1562,3.0,11.300000000000754,SL,-12.500000000000753,-1.1061946902654796,-1.0
2025-06-17 11:30:00,corto,1.15655,3.0,9.00000000000123,SL,-10.200000000001229,-1.133333333333315,-1.0
2025-06-18 14:00:00,largo,1.15158,3.0,32.79999999999949,SL,-33.999999999999496,-1.0365853658536592,-1.0
2025-06-19 06:45:00,largo,1.14667,3.0,21.600000000001618,TP,63.600000000004854,2.9444444444444486,3.0
2025-06-20 07:15:00,largo,1.15165,3.0,6.800000000000139,SL,-8.000000000000139,-1.1764705882352904,-0.9999999999999999
2025-06-20 14:45:00,largo,1.15136,3.0,19.599999999999618,SL,-20.799999999999617,-1.0612244897959195,-1.0
2025-06-27 06:30:00,largo,1.17055,3.0,22.800000000000598,TP,67.2000000000018,2.947368421052633,3.0
2025-07-01 09:45:00,corto,1.18137,3.0,17.099999999998783,TP,50.09999999999634,2.9298245614035032,3.0
2025-07-04 14:30:00,corto,1.17768,3.0,11.499999999999844,SL,-12.699999999999843,-1.104347826086958,-1.0
2025-07-09 13:30:00,corto,1.17095,3.0,13.900000000000023,SL,-15.100000000000023,-1.0863309352517985,-1.0
2025-07-11 11:15:00,corto,1.16881,3.0,14.000000000000679,SL,-15.200000000000678,-1.0857142857142814,-1.0
2025-07-11 13:45:00,corto,1.16886,3.0,26.200000000000667,tiempo,53.699999999999946,2.049618320610633,2.095419847328189
2025-07-16 07:30:00,corto,1.16157,3.0,13.399999999998968,TP,38.9999999999969,2.910447761194023,3.0
2025-07-17 12:45:00,largo,1.15872,3.0,31.600000000000517,tiempo,69.7000000000004,2.2056962025316222,2.2436708860759254
2025-07-22 10:45:00,corto,1.17019,3.0,8.299999999998864,SL,-9.499999999998863,-1.1445783132530318,-1.0
2025-07-23 13:45:00,largo,1.1726,3.0,16.100000000001113,TP,47.100000000003334,2.9254658385093215,3.0
2025-07-24 07:15:00,largo,1.17677,3.0,13.700000000000934,SL,-14.900000000000933,-1.0875912408759063,-1.0
2025-07-24 13:00:00,largo,1.17574,3.0,28.099999999999792,SL,-29.29999999999979,-1.0427046263345199,-1.0
2025-07-29 13:45:00,largo,1.15457,3.0,27.900000000000702,SL,-29.1000000000007,-1.043010752688171,-1.0
2025-07-31 10:45:00,largo,1.14398,3.0,20.100000000000673,SL,-21.300000000000672,-1.0597014925373114,-1.0
2025-08-01 14:45:00,corto,1.15557,3.0,33.199999999999896,SL,-34.3999999999999,-1.0361445783132532,-1.0
2025-08-04 11:30:00,corto,1.15676,3.0,19.700000000000273,SL,-20.900000000000272,-1.0609137055837554,-1.0
2025-08-05 13:45:00,corto,1.15417,3.0,13.600000000000279,SL,-14.800000000000278,-1.0882352941176452,-1.0
2025-08-06 06:45:00,corto,1.15784,3.0,10.799999999999699,SL,-11.999999999999698,-1.111111111111114,-1.0
2025-08-06 13:30:00,corto,1.16223,3.0,13.099999999999223,SL,-14.299999999999223,-1.09160305343512,-1.0
2025-08-07 15:30:00,largo,1.16364,3.0,26.600000000001067,SL,-27.800000000001067,-1.0451127819548853,-1.0
2025-08-12 06:30:00,largo,1.16162,3.0,7.7000000000015945,SL,-8.900000000001594,-1.1558441558441235,-0.9999999999999999
2025-08-13 12:30:00,corto,1.1705,3.0,26.100000000000012,tiempo,11.900000000001445,0.4559386973180628,0.5019157088123156
2025-08-18 12:45:00,largo,1.16763,3.0,11.099999999999444,SL,-12.299999999999443,-1.1081081081081134,-1.0
2025-08-19 11:15:00,corto,1.16823,3.0,11.499999999999844,TP,33.29999999999953,2.895652173913042,3.0
2025-08-21 07:15:00,largo,1.16431,3.0,19.199999999999218,SL,-20.399999999999217,-1.0625000000000024,-1.0
2025-08-22 13:30:00,corto,1.1605,3.0,14.899999999999913,SL,-16.099999999999913,-1.0805369127516782,-1.0
2025-08-26 10:30:00,corto,1.16389,3.0,9.500000000000064,SL,-10.700000000000063,-1.1263157894736833,-1.0
2025-08-27 11:00:00,largo,1.15864,3.0,13.399999999998968,TP,38.9999999999969,2.910447761194023,3.0
