instr,F,obj,n,ac,R,neta,z,stop
GRXEUR,0.618,nivel,2709,65.22230595327807,-0.0034360833877032154,-0.07787316469464714,-4.203222008950247,28.84480800000165
GRXEUR,0.705,1:2,2590,31.98707592891761,-0.02277893390650222,-0.1125645438897554,-4.156497214314832,23.897499999999127
GRXEUR,0.705,nivel,2492,64.42190669371197,0.007106403513822858,-0.08334418385057595,-4.285726954440871,23.441077499997846
GRXEUR,0.79,1:2,2341,32.837778749453435,-0.0035371403239171264,-0.1181758082317614,-4.06639612919013,18.2521799999995
GRXEUR,0.79,nivel,2284,62.643678160919535,0.027232126095511937,-0.08766930462827714,-3.988510643047337,18.153909999999087
NSXUSD,0.5,1:2,7166,32.409282043295434,0.011192258438625749,-0.027479924618956954,-1.7223434663920327,52.919999999998254
NSXUSD,0.5,nivel,6554,64.10336239103363,0.013761463884555847,-0.02576317360215297,-2.047504682351642,51.60689999999977
NSXUSD,0.618,1:2,6262,32.37580263602568,-0.007355562757709164,-0.05578270889442074,-3.205603937367799,41.82072999999855
NSXUSD,0.618,nivel,5936,63.716814159292035,0.03133215885232461,-0.01758625786121027,-1.237525114996195,41.49200599999949
NSXUSD,0.705,1:2,5629,32.22958057395143,-0.017450843823696334,-0.07717394178935728,-4.1728504115641645,33.535499999999956
NSXUSD,0.705,nivel,5449,64.80147737765466,0.05822140645591406,-0.0018847522839979362,-0.12496276349603172,33.360515000000305
NSXUSD,0.79,1:2,5091,32.72690923630548,-0.01357759212297492,-0.0908764124767418,-4.633240597717284,25.773400000000038
NSXUSD,0.79,nivel,4993,64.0524193548387,0.08963527156729774,0.011944595871253735,0.7171595754706634,25.69527999999991
SPXUSD,0.5,1:2,7459,31.419220470098185,-0.014948823969606938,-0.07569110969491179,-4.86489215583267,11.311200000000099
SPXUSD,0.5,nivel,6835,63.889716840536515,-0.0035713742015428323,-0.06525699488219142,-5.369593328833735,11.01300000000083
SPXUSD,0.618,1:2,6571,32.07729468599034,-0.013305901358940712,-0.08898308430804878,-5.245673039374708,9.069794000000002
SPXUSD,0.618,nivel,6222,63.88302193338748,-0.002463319672047878,-0.07884849002434101,-6.266639092403581,8.932906000000003
SPXUSD,0.705,1:2,5946,31.747691235406865,-0.03354974397335794,-0.12705038362179003,-7.088488409479555,7.309277499999553
SPXUSD,0.705,nivel,5752,63.83725008768854,0.020008570445877824,-0.07394384673363333,-5.446079158750257,7.221389999999701
SPXUSD,0.79,1:2,5342,32.157834540602366,-0.027285245824980642,-0.1480656606241872,-7.7433615520677845,5.600459999999657
SPXUSD,0.79,nivel,5240,62.22136817832437,0.030038391976874326,-0.09095396656286053,-6.204204564235167,5.585580000000391
