i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
145,146,1,True,1881.525,1883.845,1880.235,1.0,1.0,1.7984496124027851,2023-01-11 07:59:00,129.0000000000191,1.7984496124027851,0.2713178294573242,1.527131782945461,XAUUSD,35.0,u
147,148,1,False,1884.485,1880.825,1886.548,1.0,1.0,1.7741153659717275,2023-01-11 09:59:00,206.3000000000102,1.7741153659717275,0.16965584100823206,1.6044595249634954,XAUUSD,35.0,u
148,149,1,True,1884.695,1886.548,1882.327,0.0,0.0,0.78251689189194,2023-01-11 10:59:00,236.79999999999382,-1.0,0.14780405405405792,-1.147804054054058,XAUUSD,35.0,u
149,150,1,False,1882.905,1882.327,1885.847,1.0,1.0,0.19646498980284605,2023-01-11 11:59:00,294.2000000000007,0.19646498980284605,0.11896668932698815,0.0774983004758579,XAUUSD,35.0,u
100,101,1,True,4099.379,4102.379,4091.339,1.0,1.0,0.37313432835821064,2023-01-11 12:59:00,8.039999999999964,0.37313432835821064,0.24875621890547375,0.12437810945273689,GRXEUR,2.0,p
102,103,1,True,4102.379,4106.349,4096.349,1.0,0.0,0.658374792703221,2023-01-11 14:59:00,6.029999999999745,0.658374792703221,0.3316749585406442,0.32669983416257675,GRXEUR,2.0,p
104,105,1,True,4102.069,4107.379,4090.349,1.0,1.0,0.4530716723548955,2023-01-11 16:59:00,11.720000000000255,0.4530716723548955,0.17064846416381882,0.2824232081910767,GRXEUR,2.0,p
155,156,1,False,1873.698,1867.015,1876.305,0.0,0.0,2.563482930571564,2023-01-11 17:59:00,260.6999999999971,-1.0,0.13425393172228764,-1.1342539317222877,XAUUSD,35.0,u
106,107,1,False,4106.079,4101.059,4111.069,0.0,0.0,1.006012024047862,2023-01-11 18:59:00,4.990000000000691,-1.0,0.4008016032063573,-1.4008016032063573,GRXEUR,2.0,p
107,108,1,True,4110.069,4111.069,4103.049,1.0,1.0,0.1424501424501336,2023-01-11 19:59:00,7.020000000000437,0.1424501424501336,0.2849002849002672,-0.1424501424501336,GRXEUR,2.0,p
161,162,1,False,1877.545,1874.348,1878.275,0.0,0.0,4.379452054794571,2023-01-12 00:59:00,73.00000000000182,-1.0,0.4794520547945086,-1.4794520547945087,XAUUSD,35.0,u
166,167,1,False,1883.505,1882.875,1884.915,1.0,0.0,0.44680851063842136,2023-01-12 05:59:00,140.99999999998545,0.44680851063842136,0.24822695035463554,0.19858156028378582,XAUUSD,35.0,u
112,113,1,True,4122.369,4127.499,4115.349,1.0,1.0,0.7307692307692956,2023-01-12 10:59:00,7.019999999999527,0.7307692307692956,0.2849002849003041,0.44586894586899145,GRXEUR,2.0,p
118,119,1,False,4127.039,4112.389,4133.499,0.0,0.0,2.26780185758507,2023-01-12 16:59:00,6.460000000000036,-1.0,0.3095975232198125,-1.3095975232198125,GRXEUR,2.0,p
180,181,1,False,1897.705,1893.985,1899.485,0.0,,2.0898876404494855,2023-01-12 19:59:00,177.99999999999727,-1.0,0.19662921348314907,-1.196629213483149,XAUUSD,35.0,u
181,182,1,True,1898.285,1899.485,1894.125,1.0,,0.2884615384614891,2023-01-12 20:59:00,416.0000000000082,0.2884615384614891,0.08413461538461373,0.20432692307687536,XAUUSD,35.0,u
182,183,1,False,1896.298,1894.125,1899.425,0.0,0.0,0.6949152542372993,2023-01-12 21:59:00,312.69999999999527,-1.0,0.11192836584586034,-1.1119283658458603,XAUUSD,35.0,u
183,184,1,True,1897.955,1899.425,1894.797,1.0,1.0,0.46548448385056146,2023-01-12 23:59:00,315.7999999999902,0.46548448385056146,0.11082963901203638,0.35465484483852505,XAUUSD,35.0,u
184,185,1,False,1898.035,1894.797,1900.855,1.0,0.0,1.1482269503546558,2023-01-13 00:59:00,281.99999999999363,1.1482269503546558,0.12411347517730777,1.024113475177348,XAUUSD,35.0,u
190,191,1,False,1895.985,1892.205,1897.125,0.0,0.0,3.3157894736838958,2023-01-13 06:59:00,114.00000000001,-1.0,0.30701754385962216,-1.307017543859622,XAUUSD,35.0,u
197,198,1,True,1899.945,1901.325,1893.615,1.0,1.0,0.21800947867300552,2023-01-13 13:59:00,632.9999999999927,0.21800947867300552,0.055292259083728916,0.1627172195892766,XAUUSD,35.0,u
131,132,1,False,4152.339,4128.349,4159.389,0.0,0.0,3.4028368794325052,2023-01-13 15:59:00,7.050000000000182,-1.0,0.28368794326240404,-1.283687943262404,GRXEUR,2.0,p
132,133,1,True,4151.049,4159.389,4146.349,1.0,1.0,1.7744680851064827,2023-01-13 16:59:00,4.699999999999818,1.7744680851064827,0.4255319148936335,1.3489361702128493,GRXEUR,2.0,p
135,136,1,False,4159.049,4152.049,4163.089,0.0,1.0,1.7326732673267482,2023-01-13 19:59:00,4.039999999999964,-1.0,0.4950495049504995,-1.4950495049504995,GRXEUR,2.0,p
205,206,1,True,1919.398,1921.348,1918.315,0.0,1.0,1.8005540166207794,2023-01-13 21:59:00,108.29999999998563,-1.0,0.32317636195756827,-1.3231763619575683,XAUUSD,35.0,u
207,208,1,True,1919.045,1922.047,1916.695,1.0,1.0,1.277446808510544,2023-01-16 00:59:00,235.00000000001364,1.277446808510544,0.14893617021275732,1.1285106382977865,XAUUSD,35.0,u
210,211,1,False,1926.295,1922.595,1928.885,1.0,1.0,1.4285714285714912,2023-01-16 03:59:00,258.9999999999918,1.4285714285714912,0.13513513513513942,1.293436293436352,XAUUSD,35.0,u
137,138,1,True,4161.039,4169.569,4156.039,0.0,0.0,1.706000000000131,2023-01-16 07:59:00,5.0,-1.0,0.4,-1.4,GRXEUR,2.0,p
218,219,1,False,1916.495,1914.648,1919.195,1.0,1.0,0.6840740740740552,2023-01-16 11:59:00,270.00000000000455,0.6840740740740552,0.12962962962962746,0.5544444444444278,XAUUSD,35.0,u
141,142,1,False,4150.379,4143.349,4155.369,0.0,0.0,1.4088176352705517,2023-01-16 12:58:00,4.989999999999782,-1.0,0.4008016032064304,-1.4008016032064303,GRXEUR,2.0,p
224,225,1,True,1913.705,1916.065,1912.755,1.0,1.0,2.4842105263163994,2023-01-16 17:58:00,94.99999999998181,2.4842105263163994,0.3684210526316495,2.11578947368475,XAUUSD,35.0,u
