ts,ses,arriba,motivo,rr,riesgo_p,bruto,R
2021-05-19 06:30:00,NuevaYork,True,TP,8.53846153846167,9.099999999999664,8.53846153846167,8.406593406593533
2021-05-20 06:45:00,Asia,True,SL,1.0463576158938985,15.100000000001224,-1.0,-1.0794701986754902
2021-05-20 12:15:00,Londres,True,SL,3.6911764705881778,6.800000000000139,-1.0,-1.1764705882352904
2021-05-20 20:00:00,NuevaYork,True,SL,5.959183673468223,4.900000000001015,-1.0,-1.244897959183623
2021-05-21 01:45:00,NuevaYork,True,TP,3.3258426966290817,8.900000000000574,3.3258426966290817,3.1910112359549334
2021-05-21 12:30:00,NuevaYork,False,SL,1.1452991452991477,23.400000000000087,-1.0,-1.051282051282051
2021-05-21 14:00:00,Londres,False,SL,5.300000000000666,4.999999999999449,-1.0,-1.2400000000000264
2021-05-21 17:00:00,Asia,False,TP,1.5728155339804066,10.300000000000864,1.5728155339804066,1.4563106796114844
2021-05-24 05:30:00,Asia,True,SL,4.833333333333703,2.9999999999996696,-1.0,-1.400000000000044
2021-05-24 11:15:00,NuevaYork,True,SL,2.757763975155469,16.099999999998893,-1.0,-1.0745341614906883
2021-05-25 01:45:00,NuevaYork,True,SL,3.1142857142861584,6.999999999999229,-1.0,-1.1714285714285901
2021-05-25 12:15:00,Londres,True,tiempo,6.194029850746561,6.699999999999484,5.074626865672136,4.895522388060182
2021-05-26 13:15:00,Londres,False,SL,4.3033707865165765,8.900000000000574,-1.0,-1.1348314606741485
2021-05-26 15:45:00,NuevaYork,False,SL,3.1309523809524533,8.399999999999519,-1.0,-1.142857142857151
2021-05-27 01:30:00,NuevaYork,False,tiempo,5.224299065421013,10.699999999999044,-0.06542056074768295,-0.17757009345797334
2021-05-28 06:30:00,Asia,False,TP,1.0787401574804885,12.699999999998823,1.0787401574804885,0.9842519685041018
2021-05-28 09:00:00,Asia,True,TP,1.6374999999996287,8.00000000000134,1.6374999999996287,1.4874999999996539
