R,neta,rgo,lado,hfrac,hbar,gana,fvg,pos,anio
-1.0,-1.2102607232968694,7.13400000000064,-1,9,11,False,False,0.9345692475463444,2021
2.4482758620686043,2.091557669440808,4.205000000000325,1,9,11,True,False,0.1678321678321734,2021
-1.0,-1.3542749173358875,4.2339999999995825,1,7,8,False,False,0.2863961813842466,2021
-1.0,-1.4009623095428132,3.741000000000838,-1,0,2,False,False,0.5362318840579672,2021
-1.0,-2.100513573000229,1.3630000000006248,-1,19,20,False,False,0.8291925465838459,2021
2.4482758620686194,2.0243075183716575,3.538000000000352,-1,0,3,True,False,0.9922196796338691,2021
-1.0,-1.760649087221388,1.971999999999241,-1,20,22,False,False,0.8585418933623549,2021
2.4482758620691754,2.2915360501569393,9.569999999999368,-1,7,9,True,True,0.9137380191693265,2021
2.4482758620689875,2.281423804226941,8.990000000000009,-1,10,12,True,True,0.9432907348242833,2021
2.448275862069395,2.149292405820607,5.0169999999994275,1,7,9,True,False,0.16423357664234145,2021
-1.0,-1.4458977407847078,3.3640000000005443,1,20,21,False,False,0.47675675675676094,2021
-1.0,-1.6307821698906078,2.3780000000002133,-1,16,17,False,False,0.543386689132276,2021
-1.0,-1.2258695979520995,6.641000000000474,1,14,16,False,True,0.14285714285713894,2021
-1.0,-1.1821272462360182,8.236000000000843,-1,18,19,False,True,0.9532924961715215,2021
-1.0,-1.251088048208944,5.97399999999908,-1,8,9,False,True,0.7732980832782514,2021
-1.0,-1.0770851533994532,19.459000000000515,-1,6,8,False,False,0.9208494208494271,2021
-1.0,-1.3253090435914205,4.610999999999876,-1,6,8,False,True,0.8867334167709564,2021
-1.0,-1.1364752979710682,10.990999999999929,1,10,12,False,True,-0.16847433116412744,2021
2.4482758620692455,2.1188227542282574,4.55299999999994,-1,7,8,True,False,1.0883190883190783,2021
-1.0,-1.2972651605231804,5.046000000000106,-1,12,13,False,True,0.6357267950963237,2021
-1.0,-1.342543959808165,4.379000000000133,-1,14,15,False,False,0.9708265802269035,2021
2.448275862068846,2.204294079375299,6.148000000000309,-1,0,1,True,True,0.898536585365855,2021
