conf,ses,clave,lado,t,ent,stop,rgo,obj,tent,gano,rgoP,cpc,Rb,Rn
C2,ny,hi,-1,2025-06-16 17:30:00,1.15812,1.15899,0.0008699999999999264,1.1563800000000002,2025-06-16 15:30:00,0,8.699999999999264,16.436781609196792,-1.0,-1.164367816091968
C1,ny,hi,-1,2025-06-17 14:30:00,1.15666,1.15796,0.0013000000000000789,1.1540599999999999,2025-06-17 12:30:00,1,13.000000000000789,10.999999999999332,2.0,1.8900000000000068
C2,ny,hi,-1,2025-06-17 14:35:00,1.15645,1.15796,0.0015100000000001224,1.1534299999999997,2025-06-17 12:35:00,1,15.100000000001224,9.470198675495922,2.0,1.9052980132450408
C1,ny,lo,1,2025-06-17 16:15:00,1.15457,1.15428,0.0002900000000001235,1.1551500000000003,2025-06-17 14:15:00,0,2.900000000001235,49.31034482756521,-1.0,-1.493103448275652
C1,ny,lo,1,2025-06-18 15:35:00,1.14932,1.14905,0.00026999999999999247,1.1498599999999999,2025-06-18 13:35:00,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C2,ny,lo,1,2025-06-18 16:00:00,1.14963,1.14905,0.0005800000000000249,1.15079,2025-06-18 14:00:00,0,5.800000000000249,24.655172413792044,-1.0,-1.2465517241379205
C1,ny,hi,-1,2025-06-18 17:30:00,1.1522,1.153,0.0008000000000001339,1.1505999999999996,2025-06-18 15:30:00,1,8.00000000000134,17.87499999999701,2.0,1.82125000000003
C2,ny,hi,-1,2025-06-18 17:35:00,1.15212,1.153,0.0008799999999999919,1.15036,2025-06-18 15:35:00,1,8.799999999999919,16.25000000000015,2.0,1.8374999999999986
C1,ny,hi,-1,2025-06-19 21:05:00,1.14872,1.14875,2.999999999997449e-05,1.14866,2025-06-19 19:05:00,1,0.2999999999997449,476.666666667072,2.0,-2.7666666666707194
C1,ny,lo,1,2025-06-20 14:50:00,1.15114,1.15061,0.0005300000000001415,1.1522000000000003,2025-06-20 12:50:00,0,5.300000000001415,26.981132075464497,-1.0,-1.2698113207546449
C2,ny,lo,1,2025-06-20 14:55:00,1.15127,1.15061,0.000660000000000105,1.1525900000000002,2025-06-20 12:55:00,0,6.6000000000010495,21.66666666666322,-1.0,-1.2166666666666321
C1,ny,hi,-1,2025-06-20 18:30:00,1.15318,1.15354,0.00035999999999991594,1.1524600000000003,2025-06-20 16:30:00,0,3.5999999999991594,39.722222222231494,-1.0,-1.397222222222315
C1,ny,hi,-1,2025-06-23 16:10:00,1.15203,1.15231,0.00027999999999983594,1.1514700000000004,2025-06-23 14:10:00,0,2.7999999999983594,51.0714285714585,-1.0,-1.510714285714585
C1,ny,hi,-1,2025-06-24 16:50:00,1.16145,1.16226,0.0008099999999999774,1.1598300000000001,2025-06-24 14:50:00,0,8.099999999999774,17.654320987654813,-1.0,-1.176543209876548
C2,ny,hi,-1,2025-06-24 16:55:00,1.16141,1.16226,0.0008500000000000174,1.15971,2025-06-24 14:55:00,0,8.500000000000174,16.823529411764362,-1.0,-1.1682352941176437
C1,ny,hi,-1,2025-06-25 16:45:00,1.16191,1.16226,0.0003500000000000725,1.1612099999999999,2025-06-25 14:45:00,0,3.5000000000007248,40.8571428571344,-1.0,-1.408571428571344
C1,ny,hi,-1,2025-06-27 15:25:00,1.17238,1.17308,0.0006999999999999229,1.1709800000000001,2025-06-27 13:25:00,0,6.999999999999229,20.42857142857368,-1.0,-1.2042857142857368
C2,ny,hi,-1,2025-06-27 15:30:00,1.17234,1.17308,0.0007399999999999629,1.17086,2025-06-27 13:30:00,0,7.399999999999629,19.324324324325293,-1.0,-1.193243243243253
C1,ny,lo,1,2025-06-30 14:20:00,1.17176,1.17121,0.0005499999999998284,1.1728599999999996,2025-06-30 12:20:00,0,5.499999999998284,26.00000000000811,-1.0,-1.260000000000081
C2,ny,lo,1,2025-06-30 15:20:00,1.17181,1.17121,0.0005999999999999339,1.1730099999999999,2025-06-30 13:20:00,0,5.999999999999339,23.833333333335958,-1.0,-1.2383333333333595
