dia,ts,lado,R,motivo,rgo,neta
2023-11-22,2023-11-22 09:40:00,-1,-1.0,SL,8.00000000000134,-1.17874999999997
2024-02-13,2024-02-13 08:05:00,1,-1.0,SL,3.60000000000138,-1.3972222222220698
2024-02-13,2024-02-13 11:20:00,-1,-1.0,SL,1.3000000000018552,-2.0999999999984302
2024-02-13,2024-02-13 10:10:00,-1,-1.0,SL,8.599999999998609,-1.1662790697674688
2024-02-22,2024-02-22 08:05:00,1,2.0,TP,2.500000000000835,1.428000000000191
2024-05-16,2024-05-16 08:05:00,-1,-1.0,SL,1.5999999999993797,-1.8937500000003464
2024-06-05,2024-06-05 08:10:00,-1,-1.0,SL,4.100000000000215,-1.3487804878048597
2024-07-25,2024-07-25 09:55:00,1,0.22330097087372153,cierre,10.300000000000864,0.08446601941742249
2024-07-25,2024-07-25 08:40:00,-1,-1.0,SL,3.5999999999991594,-1.397222222222315
2024-08-22,2024-08-22 09:20:00,-1,-1.0,SL,1.2000000000012,-2.191666666665475
2024-08-22,2024-08-22 09:35:00,-1,-1.0,SL,21.400000000000308,-1.0668224299065412
2024-12-31,2024-12-31 10:00:00,1,-1.0,SL,9.399999999999409,-1.1521276595744776
2025-03-03,2025-03-03 11:00:00,1,1.0163934426230583,cierre,12.199999999999989,0.8991803278689598
2025-03-03,2025-03-03 09:25:00,-1,-1.0,SL,11.300000000000754,-1.1265486725663632
2025-04-01,2025-04-01 08:05:00,-1,-1.0,SL,7.499999999998064,-1.1906666666667158
2025-05-14,2025-05-14 09:40:00,1,2.0,TP,17.099999999998783,1.916374269005842
2025-05-14,2025-05-14 08:10:00,-1,-1.0,SL,5.1000000000001044,-1.2803921568627392
2025-05-14,2025-05-14 09:15:00,-1,-1.0,SL,14.600000000000168,-1.097945205479451
2025-07-25,2025-07-25 08:40:00,1,-1.0,SL,10.300000000000864,-1.138834951456299
2025-07-25,2025-07-25 11:10:00,-1,-0.3653846153846852,cierre,10.399999999999299,-0.5028846153846944
2025-09-10,2025-09-10 08:20:00,1,-1.0,SL,6.500000000000394,-1.2199999999999867
2025-09-10,2025-09-10 09:05:00,-1,-0.7214285714285046,cierre,14.000000000000679,-0.8235714285713568
2025-09-15,2025-09-15 09:15:00,1,1.7432432432428255,cierre,7.4000000000018495,1.5499999999996306
2025-09-15,2025-09-15 08:25:00,-1,-1.0,SL,6.200000000000649,-1.2306451612902984
2025-11-05,2025-11-05 11:05:00,-1,-0.1607142857141795,cierre,5.599999999998939,-0.41607142857137075
2025-12-16,2025-12-16 09:05:00,1,-1.0,SL,7.500000000000284,-1.1906666666666594
2025-12-16,2025-12-16 08:10:00,-1,-1.0,SL,8.399999999999519,-1.170238095238105
2025-12-19,2025-12-19 08:30:00,-1,-1.0,SL,1.3000000000018552,-2.0999999999984302
2025-12-22,2025-12-22 08:35:00,1,2.0,TP,4.599999999999049,1.6891304347825444
2026-03-04,2026-03-04 08:20:00,-1,-1.0,SL,4.199999999998649,-1.3404761904762998
2026-03-04,2026-03-04 11:10:00,1,-0.22413793103448829,cierre,34.79999999999927,-0.26522988505747763
2026-08-21,2026-08-21 10:45:00,1,0.10126582278462157,cierre,7.900000000000684,-0.07974683544321085
