dia,hora,lado,rngA,ent,stop,tp,rgo,rr,R,neta,res,dow
2020-10-30,2020-10-30 08:35:00,1,22.100000000000453,1.16749,1.16678,1.16899,7.099999999999884,2.1126760563381426,-1.0,-1.2014084507042286,SL,4
2020-10-30,2020-10-30 08:35:00,1,22.100000000000453,1.16749,1.16693,1.16899,5.599999999998939,2.6785714285720377,-1.0,-1.2553571428571912,SL,4
2020-11-16,2020-11-16 09:25:00,-1,17.399999999998528,1.184795,1.18571,1.17989,9.149999999999991,5.360655737704854,-0.4098360655737864,-0.566120218579251,abierta,0
2020-11-16,2020-11-16 10:05:00,-1,17.399999999998528,1.184135,1.18557,1.17989,14.350000000000751,2.9581881533098326,-0.7212543554007421,-0.8209059233449878,abierta,0
2020-11-25,2020-11-25 08:50:00,-1,15.600000000000058,1.19072,1.19173,1.18384,10.099999999999554,6.81188118811911,-1.0,-1.141584158415848,SL,2
2020-11-26,2020-11-26 10:10:00,1,13.000000000000789,1.1909100000000001,1.19133,1.1926,4.199999999998649,4.023809523810745,-1.0,-1.3404761904762998,SL,3
2020-11-26,2020-11-26 10:10:00,1,13.000000000000789,1.1909100000000001,1.19149,1.1926,5.799999999998029,2.9137931034492133,-1.0,-1.2465517241380148,SL,3
2020-12-08,2020-12-08 08:45:00,1,15.300000000000313,1.212,1.20972,1.21662,22.800000000000598,2.026315789473661,-0.5657894736842015,-0.6285087719298139,abierta,1
2020-12-09,2020-12-09 09:10:00,-1,24.099999999998012,1.212975,1.21345,1.21102,4.750000000000032,4.115789473684034,-1.0,-1.3010526315789455,SL,2
2020-12-09,2020-12-09 09:10:00,-1,24.099999999998012,1.212975,1.21335,1.21102,3.750000000000142,5.213333333332947,-1.0,-1.3813333333333189,SL,2
2020-12-16,2020-12-16 08:00:00,-1,20.000000000000018,1.21614,1.21694,1.21451,7.999999999999119,2.0375000000002497,-1.0,-1.1787500000000197,SL,2
2020-12-22,2020-12-22 08:40:00,1,27.599999999998737,1.22127,1.22145,1.22255,1.7999999999984695,7.111111111116868,-1.0,-1.7944444444451197,SL,1
2020-12-22,2020-12-22 08:40:00,1,27.599999999998737,1.22127,1.22083,1.22255,4.3999999999999595,2.9090909090908172,-1.0,-1.3250000000000028,SL,1
2020-12-24,2020-12-24 10:20:00,1,22.800000000000598,1.219195,1.21902,1.22068,1.7500000000003624,8.485714285712293,-1.0,-1.817142857142688,SL,3
2020-12-29,2020-12-29 09:10:00,-1,23.699999999999832,1.2242549999999999,1.22449,1.22375,2.3500000000020727,2.1489361702107757,-1.0,-1.6085106382973358,SL,1
