hora,lado,rango_asia,dist_nivel,nivel,fuera_del_rango,roto,pos_rango,cuerpo_m5,rango30,mov_desde_08,min_desde_toque,a_favor_ruptura,quien,s,rgo,R
690,-1,24.800000000000377,0.40000000000040004,alto,True,True,101.61290322580804,-2.4000000000001798,15.800000000001369,26.100000000000012,64,False,regla,-1,6.399999999999739,-0.1875000000001951
485,-1,24.800000000000377,2.900000000001235,bajo,True,True,-11.693548387101576,-2.8999999999990145,5.1000000000001044,-2.000000000002,5,True,regla,-1,12.799999999999478,-1.0
650,1,23.100000000000342,2.80000000000058,alto,False,True,87.87878787878554,4.20000000000087,17.399999999998528,22.199999999998887,3,True,regla,-1,6.500000000000394,-1.0
485,-1,23.100000000000342,2.4000000000001798,bajo,True,True,-10.389610389611013,-3.9999999999995595,6.6000000000010495,-0.5000000000010552,5,True,regla,-1,5.499999999998284,-1.0
560,-1,23.100000000000342,1.2999999999996348,bajo,False,True,5.627705627703963,-9.399999999999409,19.899999999999363,3.1999999999987594,80,True,regla,-1,12.999999999998568,-1.0
485,-1,31.10000000000057,1.2000000000000899,bajo,True,True,-3.8585209003217615,-3.4000000000000696,7.800000000000029,0.9999999999998899,5,True,regla,-1,5.00000000000056,-1.0
580,-1,31.10000000000057,0.0999999999995449,bajo,False,True,0.32154340835865935,-3.5000000000007248,19.299999999999873,2.2999999999995246,100,True,regla,-1,8.599999999999719,2.0
495,1,32.00000000000092,0.09999999999843467,alto,True,True,100.3124999999951,0.5999999999994898,5.599999999998939,2.7999999999983594,5,True,regla,-1,3.5999999999991594,-1.0
625,1,38.40000000000065,3.1000000000003247,alto,False,True,91.92708333333263,3.20000000000098,17.500000000001403,17.700000000000493,1,True,regla,-1,6.500000000000394,-1.0
515,-1,18.699999999998163,0.0,bajo,False,True,0.0,-3.9999999999995595,12.400000000001299,-12.799999999999478,4,True,regla,-1,6.799999999997919,2.0
500,1,20.700000000000163,0.20000000000131024,alto,True,True,100.96618357488555,2.100000000000435,11.200000000000099,11.000000000001009,1,True,regla,-1,4.699999999999704,-1.0
685,1,20.700000000000163,0.5999999999994898,alto,False,True,97.1014492753648,2.500000000000835,6.500000000000394,10.200000000000209,186,True,regla,-1,3.60000000000138,0.0555555555552814
485,1,9.799999999999809,1.900000000001345,alto,True,True,119.38775510205492,2.5999999999992696,3.8000000000004697,1.3000000000018552,5,True,regla,-1,4.80000000000036,2.0
580,1,25.100000000000122,1.5999999999993797,alto,True,True,106.37450199202937,6.699999999999484,19.599999999999618,20.500000000001073,1,True,regla,-1,8.999999999999009,2.0
535,1,19.300000000002093,0.30000000000196536,alto,False,True,98.44559585491227,1.9999999999997797,9.099999999999664,8.599999999998609,3,True,regla,-1,5.5000000000005045,-1.0
520,1,47.40000000000188,0.3999999999981796,alto,True,True,100.84388185653621,8.099999999999774,15.399999999998748,11.599999999998278,3,True,regla,-1,10.3999999999993,-1.0
610,1,47.40000000000188,9.899999999998244,alto,True,True,120.88607594936255,0.700000000000145,25.399999999999867,21.099999999998342,93,True,regla,-1,1.100000000000545,-1.0
