dia,cierre_min,lado,ent,sl,tp,rgo,toque,arriba,R,mot,neta,examen
2023-06-13,505,-1,1.07951,1.07972,1.0790899999999999,2.100000000000435,0,True,-1.0,SL,-1.68095238095224,False
2023-06-13,515,-1,1.07959,1.07978,1.0792100000000002,1.8999999999991246,1,True,2.0,TP,1.2473684210522848,False
2023-06-14,480,1,1.0776,1.07739,1.0780199999999995,2.0999999999982144,0,False,2.0,TP,1.3190476190470402,False
2023-06-14,575,-1,1.07933,1.07967,1.0786499999999999,3.4000000000000696,0,True,2.0,TP,1.579411764705891,False
2023-06-15,535,1,1.0807,1.08036,1.08138,3.4000000000000696,0,False,2.0,TP,1.579411764705891,False
2023-06-15,680,-1,1.08432,1.08448,1.0839999999999996,1.6000000000016001,0,True,2.0,TP,1.106250000000894,False
2023-06-16,525,-1,1.09482,1.09572,1.0930199999999997,9.00000000000123,1,True,0.21111111111098502,cierre,0.05222222222211784,False
2023-06-16,565,1,1.0936,1.09339,1.0940199999999995,2.0999999999982144,0,False,2.0,TP,1.3190476190470402,False
2023-06-19,505,1,1.09326,1.09306,1.0936599999999999,1.9999999999997797,0,False,-1.0,SL,-1.7150000000000787,True
2023-06-20,485,-1,1.09251,1.09272,1.0920900000000004,2.0999999999982144,1,True,2.0,TP,1.3190476190470402,False
2023-06-21,610,-1,1.09214,1.09241,1.0916000000000001,2.6999999999999247,0,True,-1.0,SL,-1.5296296296296443,False
2023-06-22,495,1,1.09845,1.09832,1.0987099999999999,1.2999999999996348,0,False,-1.0,SL,-2.1000000000003087,False
2023-06-22,500,1,1.09851,1.09831,1.0989100000000005,2.000000000002,1,False,-1.0,SL,-1.7149999999992849,False
2023-06-23,485,1,1.09286,1.09271,1.0931599999999997,1.4999999999987246,0,False,2.0,TP,1.046666666665856,False
2023-06-26,495,-1,1.09074,1.09109,1.0900400000000003,3.4999999999985043,0,True,2.0,TP,1.5914285714283969,False
2023-06-26,525,1,1.09005,1.08977,1.09061,2.80000000000058,1,False,2.0,TP,1.48928571428582,False
2023-06-30,495,1,1.0864,1.08599,1.08722,4.100000000000215,0,False,-1.0,SL,-1.3487804878048597,False
2023-07-04,660,1,1.08954,1.08921,1.0901999999999998,3.2999999999994145,0,False,2.0,TP,1.5666666666665898,False
2023-07-05,590,-1,1.08888,1.08966,1.08732,7.800000000000029,1,True,2.0,TP,1.8166666666666673,False
2023-07-05,610,1,1.08725,1.08662,1.0885100000000003,6.300000000001305,0,False,2.0,TP,1.77301587301592,False
2023-07-07,500,-1,1.08938,1.08977,1.0886000000000002,3.8999999999989043,1,True,2.0,TP,1.6333333333332303,False
2023-07-07,535,1,1.08832,1.08812,1.08872,1.9999999999997797,0,False,-1.0,SL,-1.7150000000000787,False
2023-07-10,485,1,1.095,1.09455,1.0959,4.500000000000615,1,False,-1.0,SL,-1.3177777777777344,False
2023-07-13,480,1,1.11309,1.11298,1.1133099999999996,1.0999999999983245,0,False,2.0,TP,0.69999999999802,False
2023-07-13,540,-1,1.11483,1.115,1.11449,1.7000000000000348,0,True,-1.0,SL,-1.841176470588218,False
2023-07-14,675,-1,1.12428,1.12448,1.12388,1.9999999999997797,0,True,2.0,TP,1.2849999999999213,False
2023-07-14,680,-1,1.1242,1.12437,1.12386,1.7000000000000348,1,True,2.0,TP,1.158823529411782,False
2023-07-17,480,-1,1.12324,1.12345,1.12282,2.100000000000435,0,True,2.0,TP,1.31904761904776,False
2023-07-18,580,-1,1.12634,1.12756,1.1239,12.199999999999989,1,True,2.0,TP,1.8827868852459015,False
2023-07-18,660,1,1.1237,1.12317,1.1247599999999998,5.299999999999194,1,False,1.3773584905664724,cierre,1.1075471698117143,False
2023-07-19,485,-1,1.12221,1.12356,1.11951,13.499999999999623,1,True,-1.0,SL,-1.1059259259259289,False
2023-07-21,575,1,1.11306,1.11295,1.1132799999999996,1.0999999999983245,0,False,-1.0,SL,-2.30000000000198,False
2023-07-21,580,1,1.11337,1.11256,1.11499,8.099999999999774,1,False,-1.0,SL,-1.176543209876548,False
2023-07-24,560,-1,1.11288,1.11447,1.1097000000000001,15.899999999999803,1,True,2.0,TP,1.9100628930817598,False
2023-07-27,570,-1,1.11168,1.11179,1.11146,1.100000000000545,0,True,-1.0,SL,-2.299999999999356,False
2023-07-28,530,-1,1.098,1.09911,1.0957800000000002,11.099999999999444,0,True,2.0,TP,1.8711711711711647,False
2023-07-28,600,1,1.09515,1.09435,1.0967500000000003,8.00000000000134,0,False,2.0,TP,1.82125000000003,False
2023-07-28,610,1,1.0954,1.09477,1.0966599999999997,6.299999999999084,1,False,2.0,TP,1.77301587301584,False
2023-07-31,580,-1,1.10223,1.10282,1.1010500000000003,5.899999999998684,1,True,-1.0,SL,-1.2423728813559862,False
2023-08-02,615,1,1.09833,1.09768,1.09963,6.500000000000394,1,False,-0.4923076923078132,cierre,-0.7123076923077998,False
2023-08-03,550,1,1.09208,1.09162,1.0929999999999997,4.599999999999049,1,False,-1.0,SL,-1.3108695652174556,False
2023-08-04,545,1,1.09487,1.09446,1.09569,4.100000000000215,1,False,-1.0,SL,-1.3487804878048597,False
2023-08-08,575,1,1.0978,1.0974,1.0986000000000005,4.00000000000178,0,False,-1.0,SL,-1.357499999999841,False
