tf,ema,fib,rr,n,bruto,zb,neto,zn,coste
15,200,0.5,2.0,59744,-0.27535819496518477,-52.41492150223946,-0.4777716591466852,-90.24854626531645,0.20241346418150047
15,200,0.5,3.0,58458,-0.3238906565397379,-52.23779641632467,-0.5287571204590195,-84.93435705050935,0.20486646391928157
15,200,0.618,1.0,53255,-0.22272087127969203,-52.721149157978985,-0.4534338599184408,-105.7078549095658,0.23071298863874876
15,200,0.618,2.0,52455,-0.19508149842722333,-33.61275492969164,-0.4280454625352312,-73.28806465805556,0.23296396410800782
15,200,0.618,3.0,51697,-0.21527361355591235,-30.814219721706543,-0.4500909858556496,-64.2210619252013,0.2348173722997373
15,200,0.705,1.0,44090,-0.18471308686777047,-39.46398722913768,-0.4414356534662482,-92.89133078236455,0.25672256659847764
15,200,0.705,2.0,43601,-0.13793261622439854,-21.21497893831721,-0.3963474710848898,-60.62527893244667,0.2584148548604913
15,200,0.705,3.0,43190,-0.12368603843482287,-15.536160535008053,-0.3835075462529404,-48.05546359341247,0.2598215078181175
15,200,0.786,1.0,31854,-0.14899227726502165,-26.89141305112167,-0.43391019928637764,-77.41641949342139,0.28491792202135596
15,200,0.786,2.0,31607,-0.07779922169139747,-9.99184039837356,-0.363775856492409,-46.55356738126699,0.2859766348010115
15,200,0.786,3.0,31308,-0.047272262680465055,-4.908932754815731,-0.33451174094465774,-34.69997465904455,0.2872394782641927
60,10,0.382,1.0,14034,-0.060282171868319794,-7.154094800826174,-0.13782365068810795,-16.30555529747259,0.07754147881978816
60,10,0.382,2.0,13423,-0.053043283915667136,-4.407323241007859,-0.13273503076117035,-11.02194384354777,0.07969174684550323
60,10,0.382,3.0,12824,-0.11447286338116032,-7.805561583359515,-0.19613717945421189,-13.38639902999885,0.08166431607305155
60,10,0.5,1.0,13597,-0.021695962344634848,-2.530385759921442,-0.11757204578969456,-13.640685386456987,0.09587608344505971
60,10,0.5,2.0,13142,0.0007609191903819814,0.06166733915921341,-0.09719748576973904,-7.87411382498965,0.09795840496012102
60,10,0.5,3.0,12755,-0.03128185025480204,-2.0615969409790735,-0.1309240231274894,-8.634920869493557,0.09964217287268737
60,10,0.618,1.0,12901,-0.03821409193085807,-4.3434590837127685,-0.16302602793125653,-18.38163512710302,0.12481193600039846
60,10,0.618,2.0,12683,0.023259481195300795,1.8417309102933135,-0.10289795708572642,-8.1372003599694,0.1261574382810272
60,10,0.618,3.0,12404,0.018381167365366012,1.1747764181449993,-0.10937985553331173,-6.996803830488754,0.12776102289867775
60,10,0.705,1.0,12145,-0.0702346644709757,-7.759008173984608,-0.22566489670783565,-24.650036515169216,0.1554302322368599
60,10,0.705,2.0,12033,0.027923211169284468,2.1512556558846105,-0.12834844989283345,-9.864999698231362,0.1562716610621179
60,10,0.705,3.0,11894,0.07449134017151506,4.581939424793009,-0.08284997475287846,-5.096830774879735,0.15734131492439352
60,10,0.786,1.0,10914,-0.1383544071834341,-14.593585044158266,-0.33235296457458047,-34.56780450707579,0.19399855739114635
60,10,0.786,2.0,10855,-0.0039613081529249194,-0.2921129198323992,-0.19853127221706218,-14.596232650841984,0.19456996406413726
60,10,0.786,3.0,10807,0.06338484315721292,3.72862880816354,-0.13166349652971365,-7.739820754102475,0.1950483396869266
60,20,0.382,1.0,15373,-0.10817667338840825,-13.491333997838248,-0.1850479262138837,-22.961829273233377,0.07687125282547545
60,20,0.382,2.0,14688,-0.09395424836601307,-8.266550280095098,-0.1730286265935678,-15.200281628176558,0.07907437822755474
60,20,0.382,3.0,13998,-0.16759537076725248,-12.210892466720317,-0.24875557451783323,-18.131698667174202,0.08116020375058074
60,20,0.5,1.0,14949,-0.061475683992240286,-7.530384028355846,-0.15642068025787245,-19.018470185895268,0.09494499626563217
60,20,0.5,2.0,14448,-0.03571428571428571,-3.0638643014076026,-0.13274667474195545,-11.369414588638147,0.09703238902766975
60,20,0.5,3.0,13996,-0.06030294369819949,-4.206770512029518,-0.1591303610891798,-11.101893877562532,0.09882741739098029
60,20,0.618,1.0,14198,-0.06367093956895338,-7.60189123268834,-0.1873975712274313,-22.144693565424944,0.12372663165847796
60,20,0.618,2.0,13950,-0.0070967741935483875,-0.593738084215844,-0.1322258756212367,-11.032055019988386,0.1251291014276883
60,20,0.618,3.0,13640,-0.0017595307917888563,-0.11870871415469285,-0.12851295855748707,-8.671908029159749,0.1267534277656982
60,20,0.705,1.0,13374,-0.0895767907880963,-10.400622639072544,-0.24368037751235488,-27.94468230428511,0.15410358672425856
60,20,0.705,2.0,13255,-0.004149377593360996,-0.33813824705301054,-0.1590618830877272,-12.919374801436149,0.15491250549436622
60,20,0.705,3.0,13101,0.0438897794061522,2.8596403186197805,-0.11211978129000064,-7.299659839756809,0.15600956069615285
60,20,0.786,1.0,12004,-0.14711762745751417,-16.295251568501644,-0.3388960110416664,-37.01489657550734,0.1917783835841522
60,20,0.786,2.0,11940,-0.018341708542713567,-1.4237910123179307,-0.21069102672894222,-16.308289008966934,0.19234931818622863
60,20,0.786,3.0,11889,0.037934224913785855,2.358866418196047,-0.1548785276411146,-9.624348773620532,0.19281275255490046
60,50,0.382,1.0,16573,-0.2049719423158149,-26.958900986717055,-0.2862086152010041,-37.306373853088196,0.08123667288518921
