entrada,salida,px_ent,px_sal,lotes,atr,motivo,noches,bruto,coste,neto,capital
2025-03-14 09:10:00,2025-03-14 09:39:00,2999.495,2992.0195157894736,1.7430863627737867,7.275484210526314,stop,0,-1303.0414582499068,10.45851817664272,-1313.4999764265494,125504.47312301771
2025-03-18 00:28:00,2025-03-18 05:00:00,3004.9249999999997,3011.5550000000003,1.8368479513365008,6.832599999999998,tiempo,0,1217.8301917362037,11.021087708019005,1206.8091040281847,126711.2822270459
2025-03-18 06:12:00,2025-03-18 11:00:00,3017.6389999999997,3026.449,1.8705155384440988,6.774136842105293,tiempo,0,1647.9241893693259,11.223093230664592,1636.7010961386613,128347.98332318456
2025-03-18 12:00:00,2025-03-18 12:39:00,3035.785,3028.775157894737,1.8847424263183277,6.809842105263191,stop,0,-1321.1746817581823,11.308454557909966,-1332.4831363160922,127015.50018686846
2025-03-19 02:55:00,2025-03-19 07:00:00,3038.258,3035.485,1.8746801497312158,6.77531578947371,tiempo,0,-519.8488055204068,11.248080898387295,-531.0968864187942,126484.40330044967
2025-03-19 17:37:00,2025-03-19 23:00:00,3045.355,3049.695,1.8366938206631827,6.8865263157895,tiempo,0,797.125118167848,11.020162923979097,786.1049552438689,127270.50825569354
2025-03-20 00:19:00,2025-03-20 01:00:00,3055.4849999999997,3048.5966210526312,1.902860308263011,6.688378947368447,stop,0,-1310.762288722194,11.417161849578065,-1322.1794505717721,125948.32880512177
2025-03-27 03:26:00,2025-03-27 04:58:00,3036.105,3029.4678210526317,1.9565764729378885,6.437178947368442,stop,0,-1298.6148175099445,11.739458837627332,-1310.3542763475718,124637.9745287742
2025-03-27 09:02:00,2025-03-27 12:40:00,3041.1749999999997,3034.380505263158,1.8900306923053043,6.594494736842132,stop,0,-1284.180359133804,11.340184153831826,-1295.5205432876357,123342.45398548656
2025-03-27 23:09:00,2025-03-28 04:00:00,3059.718,3073.5350000000003,1.753331676687779,7.034747368421071,tiempo,1,2422.578377679585,71.88659874419893,2350.691778935386,125693.14576442195
2025-03-28 05:07:00,2025-03-28 07:08:00,3082.0049999999997,3075.2821263157894,1.9269596783497205,6.522873684210539,stop,0,-1295.4706512111677,11.561758070098323,-1307.032409281266,124386.11335514068
2025-03-28 13:04:00,2025-03-28 13:16:00,3086.0449999999996,3079.1075052631577,1.8461775216679568,6.737494736842109,stop,0,-1280.7846839847323,11.07706513000774,-1291.86174911474,123094.25160602594
2025-03-31 02:03:00,2025-03-31 07:00:00,3097.915,3118.835,1.7744567510610436,6.9370105263158,tiempo,0,3712.1635232197164,10.646740506366262,3701.51678271335,126795.76838873929
2025-04-01 01:01:00,2025-04-01 06:00:00,3128.0249999999996,3131.648,1.5949385554679036,7.949884210526311,tiempo,0,577.8462386461016,9.569631332807422,568.2766073132942,127364.04499605259
2025-04-02 23:01:00,2025-04-03 04:00:00,3149.035,3147.5150000000003,1.3412002352861947,9.496273684210529,tiempo,1,-203.86243576343816,54.98920964673398,-258.8516454101721,127105.19335064241
2025-04-09 11:19:00,2025-04-09 16:00:00,3055.3799999999997,3086.0150000000003,0.6968924850600046,18.238852631578926,tiempo,0,2134.930127981371,4.181354910360027,2130.748773071011,129235.94212371342
2025-04-09 17:02:00,2025-04-09 17:24:00,3094.955,3076.434494736842,0.7054169099997699,18.320505263157866,stop,0,-1306.467759437118,4.23250145999862,-1310.7002608971168,127925.2418628163
2025-04-10 00:32:00,2025-04-10 01:35:00,3099.665,3080.7736526315794,0.6844088836471237,18.691347368421017,stop,0,-1292.940596301078,4.106453301882742,-1297.0470496029607,126628.19481321334
2025-04-10 12:30:00,2025-04-10 17:00:00,3132.4449999999997,3158.175,0.657898382732921,19.24737894736839,tiempo,0,1692.772538771837,3.947390296397526,1688.8251484754394,128317.01996168878
2025-04-10 18:48:00,2025-04-11 00:00:00,3174.895,3188.5550000000003,0.6878394035299225,18.65508421052629,tiempo,1,939.5886252218953,28.20141554472682,911.3872096771685,129228.40717136595
2025-04-11 03:08:00,2025-04-11 05:41:00,3219.745,3201.5598736842107,0.7185293275250118,17.985126315789465,stop,0,-1306.6546582641372,4.3111759651500705,-1310.9658342292873,127917.44133713667
2025-04-11 10:10:00,2025-04-11 10:47:00,3230.2549999999997,3213.1218842105263,0.755427665690773,16.93311578947367,stop,0,-1294.2829666851558,4.532565994144639,-1298.8155326793003,126618.62580445736
2025-04-11 16:06:00,2025-04-11 16:49:00,3244.145,3226.7899052631583,0.7380817637371164,17.155094736842095,stop,0,-1280.9478933192863,4.4284905824226986,-1285.376383901709,125333.24942055566
2025-04-15 23:37:00,2025-04-16 04:00:00,3245.7149999999997,3281.195,0.844061956005209,14.848821052631616,tiempo,1,2994.731819906521,34.606540196213565,2960.1252797103075,128293.37470026597
2025-04-16 05:06:00,2025-04-16 10:00:00,3287.8089999999997,3303.105,0.9370081075376007,13.69181052631583,tiempo,0,1433.24760128954,5.622048645225604,1427.6255526443144,129721.00025291028
2025-04-16 14:00:00,2025-04-16 19:00:00,3317.7749999999996,3337.965,0.9632832878686083,13.466547368421097,tiempo,0,1944.868958206769,5.77969972721165,1939.0892584795574,131660.08951138984
