conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C2,londres,lo,1,2020-01-14 11:45:00,2020-01-14 10:45:00,1.11342,1.11303,0.0003900000000001125,1.1142000000000003,0,3.900000000001125,36.66666666665609,-1.0,-1.366666666666561
C1,londres,lo,1,2020-01-14 11:25:00,2020-01-14 10:25:00,1.11314,1.11284,0.00029999999999996696,1.11374,0,2.9999999999996696,47.666666666671915,-1.0,-1.4766666666667192
C2,londres,lo,1,2020-01-14 11:30:00,2020-01-14 10:30:00,1.1132,1.11284,0.00035999999999991594,1.1139199999999998,0,3.5999999999991594,39.722222222231494,-1.0,-1.397222222222315
C1,londres,lo,1,2020-01-14 12:15:00,2020-01-14 11:15:00,1.11326,1.11289,0.00036999999999998145,1.1139999999999999,0,3.6999999999998145,38.648648648650585,-1.0,-1.3864864864865059
C1,londres,lo,1,2020-01-14 12:40:00,2020-01-14 11:40:00,1.11318,1.11264,0.0005399999999999849,1.11426,0,5.399999999999849,26.48148148148222,-1.0,-1.2648148148148222
C1,londres,hi,-1,2020-01-15 08:00:00,2020-01-15 07:00:00,1.1136,1.11368,8.000000000008001e-05,1.1134399999999998,0,0.8000000000008001,178.74999999982123,-1.0,-2.787499999998212
C2,londres,hi,-1,2020-01-15 08:05:00,2020-01-15 07:05:00,1.11355,1.11368,0.00012999999999996348,1.1132900000000001,1,1.2999999999996348,110.00000000003091,2.0,0.899999999999691
C1,londres,hi,-1,2020-01-15 08:05:00,2020-01-15 07:05:00,1.11343,1.11365,0.000220000000000109,1.1129899999999997,1,2.20000000000109,64.9999999999678,2.0,1.350000000000322
C2,londres,hi,-1,2020-01-15 08:10:00,2020-01-15 07:10:00,1.1134,1.11365,0.0002500000000000835,1.1128999999999998,1,2.500000000000835,57.199999999980896,2.0,1.428000000000191
C1,londres,lo,1,2020-01-15 09:50:00,2020-01-15 08:50:00,1.11278,1.11185,0.0009300000000000974,1.1146400000000003,1,9.300000000000974,15.376344086019895,2.0,1.8462365591398011
C2,londres,lo,1,2020-01-15 09:55:00,2020-01-15 08:55:00,1.11279,1.11185,0.0009399999999999409,1.1146699999999998,1,9.399999999999409,15.212765957447765,2.0,1.8478723404255224
C1,londres,lo,1,2020-01-15 10:05:00,2020-01-15 09:05:00,1.11284,1.11257,0.00026999999999999247,1.11338,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
