ts,lado,bruto,neto
2025-02-03 12:15:00,-1,1.100000000000545,-0.09999999999945497
2025-02-03 15:15:00,-1,-2.60000000000149,-3.80000000000149
2025-02-03 15:30:00,-1,24.099999999998012,22.899999999998013
2025-02-03 21:30:00,-1,-4.699999999999704,-5.899999999999705
2025-02-03 21:45:00,-1,1.4999999999987246,0.2999999999987246
2025-02-12 17:00:00,-1,-8.099999999999774,-9.299999999999773
2025-02-12 17:15:00,-1,8.399999999999519,7.199999999999519
2025-03-04 18:00:00,-1,-18.700000000000383,-19.900000000000382
2025-03-04 18:15:00,-1,-22.100000000000453,-23.300000000000452
2025-03-04 18:30:00,-1,-16.899999999999693,-18.099999999999692
2025-03-04 18:45:00,-1,-10.200000000000209,-11.400000000000208
2025-03-04 20:00:00,-1,4.500000000000615,3.3000000000006144
2025-03-04 20:15:00,-1,-7.099999999999884,-8.299999999999883
2025-03-05 08:00:00,-1,-16.599999999999948,-17.799999999999947
2025-03-05 08:15:00,-1,-24.699999999999722,-25.89999999999972
2025-03-05 08:30:00,-1,-20.400000000000418,-21.600000000000417
2025-03-05 08:45:00,-1,-13.899999999997803,-15.099999999997802
2025-03-05 09:00:00,-1,-4.60000000000127,-5.80000000000127
2025-03-05 09:15:00,-1,24.799999999998157,23.599999999998158
2025-03-05 14:30:00,-1,6.199999999998429,4.999999999998429
2025-03-05 14:45:00,-1,4.20000000000087,3.0000000000008695
2025-03-05 16:00:00,-1,-3.5000000000007248,-4.700000000000725
2025-03-06 17:00:00,1,-9.900000000000464,-11.100000000000463
2025-03-06 17:30:00,1,-32.79999999999949,-33.999999999999496
2025-03-06 18:15:00,1,5.499999999998284,4.299999999998284
2025-03-06 18:30:00,1,36.299999999998,35.099999999998
2025-03-07 21:30:00,1,0.4999999999988347,-0.7000000000011652
2025-03-07 21:45:00,1,9.599999999998499,8.3999999999985
2025-03-10 01:30:00,1,-8.20000000000043,-9.400000000000428
2025-03-10 17:15:00,1,8.20000000000043,7.000000000000429
2025-03-11 19:00:00,1,0.0,-1.2
2025-03-12 17:15:00,1,-2.7999999999983594,-3.9999999999983595
2025-03-12 17:30:00,1,8.699999999999264,7.499999999999264
2025-03-19 17:30:00,-1,15.400000000000968,14.20000000000097
2025-04-02 23:15:00,-1,4.199999999998649,2.999999999998649
2025-04-02 23:30:00,-1,7.399999999999629,6.199999999999629
2025-04-03 06:30:00,-1,11.499999999999844,10.299999999999844
2025-04-03 06:45:00,-1,18.699999999998163,17.499999999998163
2025-04-03 08:30:00,-1,-19.099999999998563,-20.299999999998562
2025-04-03 09:00:00,-1,-75.10000000000127,-76.30000000000128
2025-04-03 09:15:00,-1,-52.30000000000068,-53.50000000000068
2025-04-03 10:00:00,-1,46.10000000000003,44.90000000000003
