ts,salida_ts,dir,entrada,sl,tp,riesgo_pips,motivo,pips,R
2025-06-05 12:45:00,2025-06-05 13:10:00,corto,1.14304,1.14495,1.1411300000000002,19.099999999998563,SL,-20.299999999998562,-1.0628272251308948
2025-06-06 06:35:00,2025-06-06 06:55:00,largo,1.14321,1.14235,1.1440700000000001,8.60000000000083,TP,7.400000000000829,0.8604651162790832
2025-06-10 12:05:00,2025-06-10 13:07:00,corto,1.14289,1.14414,1.14164,12.499999999999734,SL,-13.699999999999733,-1.096000000000002
2025-06-11 12:20:00,2025-06-11 12:29:00,corto,1.14362,1.14392,1.1433200000000001,2.9999999999996696,TP,1.7999999999996696,0.599999999999956
2025-06-11 15:45:00,2025-06-11 16:33:00,corto,1.14863,1.14913,1.14813,4.999999999999449,SL,-6.1999999999994495,-1.2400000000000264
2025-06-17 06:20:00,2025-06-17 07:31:00,largo,1.15676,1.15516,1.15836,16.00000000000046,SL,-17.200000000000458,-1.0749999999999977
2025-06-17 08:25:00,2025-06-17 08:56:00,largo,1.15581,1.15513,1.15649,6.800000000000139,SL,-8.000000000000139,-1.1764705882352904
2025-06-17 15:30:00,2025-06-17 15:45:00,largo,1.15254,1.15174,1.1533399999999998,7.999999999999119,TP,6.799999999999119,0.8499999999999834
2025-06-18 15:55:00,2025-06-18 16:35:00,corto,1.15203,1.1531,1.1509600000000002,10.699999999999044,TP,9.499999999999044,0.8878504672897096
2025-06-23 07:45:00,2025-06-23 08:42:00,largo,1.1499,1.14895,1.15085,9.500000000000064,SL,-10.700000000000063,-1.1263157894736833
2025-06-25 07:25:00,2025-06-25 07:51:00,largo,1.16071,1.15988,1.1615399999999998,8.299999999998864,SL,-9.499999999998863,-1.1445783132530318
2025-06-30 08:50:00,2025-06-30 12:19:00,largo,1.17258,1.17125,1.17391,13.300000000000534,SL,-14.500000000000533,-1.0902255639097707
2025-06-30 15:20:00,2025-06-30 15:46:00,corto,1.17442,1.17558,1.17326,11.600000000000499,SL,-12.800000000000498,-1.1034482758620645
2025-07-03 07:35:00,2025-07-03 08:25:00,corto,1.18053,1.18109,1.1799700000000002,5.599999999998939,TP,4.399999999998939,0.7857142857142451
2025-07-03 08:55:00,2025-07-03 11:56:00,corto,1.17977,1.18092,1.17862,11.499999999999844,TP,10.299999999999844,0.8956521739130421
2025-07-07 06:50:00,2025-07-07 07:09:00,largo,1.17547,1.17489,1.17605,5.800000000000249,SL,-7.00000000000025,-1.206896551724129
2025-07-10 13:35:00,2025-07-10 13:51:00,largo,1.1703,1.16906,1.1715399999999998,12.399999999999078,SL,-13.599999999999078,-1.0967741935483943
2025-07-15 15:55:00,2025-07-15 16:37:00,largo,1.16178,1.15997,1.1635900000000001,18.100000000000893,SL,-19.300000000000892,-1.0662983425414332
2025-07-16 06:45:00,2025-07-16 06:57:00,corto,1.16201,1.16266,1.16136,6.500000000000394,SL,-7.7000000000003945,-1.1846153846153735
2025-07-16 08:05:00,2025-07-16 08:14:00,corto,1.16181,1.16234,1.16128,5.299999999999194,SL,-6.499999999999194,-1.226415094339657
2025-07-16 15:40:00,2025-07-16 15:55:00,corto,1.16893,1.17222,1.16564,32.90000000000015,TP,31.70000000000015,0.9635258358662616
2025-07-18 08:50:00,2025-07-18 10:00:00,corto,1.16397,1.16466,1.1632799999999999,6.900000000000794,TP,5.700000000000794,0.8260869565217591
