ts,R,equity,ano,plaza,riesgo_pips,motivo,dir
2021-02-04 07:40:00,-1.1304347826086911,6484.53007114061,2021,Londres,9.200000000000319,SL,largo
2021-02-05 09:40:00,-1.1142857142857148,6412.273878919329,2021,Londres,10.499999999999954,SL,corto
2021-02-08 07:20:00,0.7551020408162662,6460.693089841777,2021,Londres,4.899999999998794,TP,largo
2021-02-08 08:15:00,0.8867924528301953,6517.986028563015,2021,Londres,10.600000000000609,TP,corto
2021-02-08 14:20:00,-1.2666666666667619,6435.424872201211,2021,NY,4.499999999998394,SL,corto
2021-02-11 13:35:00,0.8499999999999834,6490.125983614919,2021,NY,7.999999999999119,TP,corto
2021-02-15 07:10:00,0.675675675675854,6533.978186206924,2021,Londres,3.700000000002035,TP,corto
2021-02-15 07:40:00,-1.1714285714285357,6457.437298882788,2021,Londres,7.0000000000014495,SL,corto
2021-02-15 10:40:00,-1.2033898305084434,6379.729155116574,2021,Londres,5.9000000000009045,SL,corto
2021-02-16 08:15:00,-1.1463414634146265,6306.595674557921,2021,Londres,8.20000000000043,SL,corto
2021-03-04 08:30:00,-1.1578947368420855,6233.571935168304,2021,Londres,7.600000000000939,SL,largo
2021-03-09 08:40:00,-1.1791044776119541,6160.071609365572,2021,Londres,6.699999999999484,SL,corto
2021-03-10 08:30:00,0.9069767441860476,6215.942026287725,2021,Londres,12.900000000000134,TP,largo
2021-03-10 15:35:00,-1.0483870967741928,6150.774892141159,2021,NY,24.800000000000377,SL,corto
2021-03-12 09:55:00,-1.153846153846153,6079.804412616454,2021,Londres,7.800000000000029,SL,largo
2021-03-16 07:45:00,0.921568627450982,6135.833982693508,2021,Londres,15.300000000000313,TP,largo
2021-03-17 07:10:00,0.7777777777777716,6183.557135892234,2021,Londres,5.399999999999849,TP,largo
2021-03-23 12:35:00,-1.1643835616438587,6111.55681307705,2021,NY,7.299999999998974,SL,largo
2021-03-29 07:55:00,0.857142857142849,6163.941585760566,2021,Londres,8.399999999999519,TP,corto
2021-03-29 15:25:00,0.8867924528301715,6218.6029545399515,2021,NY,10.599999999998388,TP,largo
2021-03-30 06:10:00,-1.2666666666666302,6139.833983782448,2021,Londres,4.500000000000615,SL,largo
2021-03-31 13:40:00,0.5200000000001603,6171.761120498127,2021,NY,2.500000000000835,TP,corto
2021-03-31 13:50:00,-1.2608695652173194,6093.94326289185,2021,NY,4.60000000000127,SL,corto
2021-04-01 13:15:00,-1.1445783132530318,6024.193309882846,2021,NY,8.299999999998864,SL,corto
2021-04-01 13:30:00,-1.2181818181817983,5950.807682289729,2021,NY,5.5000000000005045,SL,corto
