R,neta,mot,rgo,hniv,aliU,aliM,dob,i
-1.0,-1.318131256952175,SL,4.494999999999916,23,False,False,False,EURUSD
-1.0,-1.1260356072624607,SL,11.346000000000966,18,False,True,False,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,18,False,False,True,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,9,False,False,True,EURUSD
2.0,1.7782258064516514,TP,6.4480000000011195,9,False,False,False,EURUSD
-1.0,-1.1781043716527475,SL,8.029000000000508,16,False,True,True,EURUSD
2.0,1.8769892473118233,TP,11.624999999999552,16,False,False,True,EURUSD
2.0,1.8472548600726246,TP,9.361999999999426,22,False,False,False,EURUSD
-1.0,-1.1553166069295107,SL,9.206999999999965,22,False,True,True,EURUSD
2.0,1.970373132782232,TP,48.26699999999961,15,False,False,True,EURUSD
-1.0,-1.0771388499298777,SL,18.537999999999055,23,False,False,False,EURUSD
-1.0,-1.1085388994307515,SL,13.174999999998604,23,False,False,False,EURUSD
2.0,1.9440181647353576,TP,25.543999999999567,23,False,True,True,EURUSD
2.0,1.9332430792213224,TP,21.420999999999246,21,False,False,True,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,15,False,True,True,EURUSD
2.0,1.9273558547117027,TP,19.684999999998176,1,False,True,True,EURUSD
2.0,1.8409343715239517,TP,8.990000000002052,21,False,True,False,EURUSD
-1.0,-1.1195052649172774,SL,11.965999999998811,21,True,False,True,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,15,False,False,False,EURUSD
-1.0,-1.2050179211469483,SL,6.9750000000001755,1,False,False,False,EURUSD
-1.0,-1.1507484714316063,SL,9.485999999998551,19,True,False,True,EURUSD
2.0,1.9576019924098667,TP,33.72799999999953,19,True,False,True,EURUSD
-1.0,-1.0627605881062083,SL,22.78500000000072,21,False,False,True,EURUSD
2.0,1.9749570943224406,TP,57.10199999999998,1,False,False,True,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,4,True,False,True,EURUSD
-1.0,-1.0669506999391403,SL,21.358999999998574,21,True,False,True,EURUSD
2.0,1.954054748746948,TP,31.12400000000015,17,False,False,True,EURUSD
2.0,1.9537321642346395,TP,30.907000000000018,21,False,False,True,EURUSD
-1.0,-1.052779213109912,SL,27.09400000000084,21,False,True,False,EURUSD
-1.0,-1.0981468771448153,SL,14.570000000000416,17,False,False,True,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,7,False,False,False,EURUSD
-1.0,-1.041707985766784,SL,34.286000000001145,14,False,False,False,EURUSD
