instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,B,0.25,1:10,1.0,1212,1212,5.3920000000000075,53.92000000000007,19,0.8622112211221122,0.8622112211221122,0.9090909090909091,-5.677128277443427,2048.9600000000028,204.89600000000027,-0.05156765676567655,-0.07382284964401482,-151.2600660066008,0.0963,0.0665,0.1894,0.1264,18.0
NASDAQ,B,0.25,1:30,0.2,1212,1212,1.7973333333333357,53.92000000000007,4,0.9026402640264026,0.9026402640264026,0.967741935483871,-12.827573607836626,431.3600000000006,14.378666666666685,-0.06727172717271726,-0.0895269200510555,-38.618332233223356,0.0,0.0,0.0,0.0,
NASDAQ,B,0.25,1:30,0.5,1212,1212,1.7973333333333357,53.92000000000007,9,0.9026402640264026,0.9026402640264026,0.967741935483871,-12.827573607836626,970.5600000000013,32.35200000000004,-0.06727172717271726,-0.0895269200510555,-86.89124752475257,0.0,0.0,0.0002,0.0001,
NASDAQ,B,0.25,1:30,1.0,1212,1212,1.7973333333333357,53.92000000000007,19,0.9026402640264026,0.9026402640264026,0.967741935483871,-12.827573607836626,2048.9600000000028,68.29866666666676,-0.06727172717271726,-0.0895269200510555,-183.43707810781098,0.0,0.0,0.0164,0.0122,
NASDAQ,B,0.5,1:1,0.2,1212,950,107.84000000000015,107.84000000000015,2,0.5132013201320133,0.48947368421052634,0.5,-0.6488856845230487,431.3600000000006,431.3600000000006,0.006546827716896708,-0.0045807687222724205,-1.975960396039434,0.3937,0.2706,0.4292,0.3007,30.0
NASDAQ,B,0.5,1:1,0.5,1212,950,107.84000000000015,107.84000000000015,5,0.5132013201320133,0.48947368421052634,0.5,-0.6488856845230487,1078.4000000000015,1078.4000000000015,0.006546827716896708,-0.0045807687222724205,-4.939900990098581,0.402,0.3081,0.4072,0.3209,6.0
NASDAQ,B,0.5,1:1,1.0,1212,950,107.84000000000015,107.84000000000015,9,0.5132013201320133,0.48947368421052634,0.5,-0.6488856845230487,1941.1200000000026,1941.1200000000026,0.006546827716896708,-0.0045807687222724205,-8.891821782177605,0.3286,0.2774,0.3681,0.3062,5.0
NASDAQ,B,0.5,1:3,0.2,1212,1154,35.946666666666715,107.84000000000015,2,0.7136963696369637,0.7374350086655113,0.75,-0.9857447251699919,431.3600000000006,143.78666666666686,-0.02720619034269883,-0.03833378678186795,-16.53566226622658,0.114,0.092,0.1636,0.1384,71.0
NASDAQ,B,0.5,1:3,0.5,1212,1154,35.946666666666715,107.84000000000015,5,0.7136963696369637,0.7374350086655113,0.75,-0.9857447251699919,1078.4000000000015,359.46666666666715,-0.02720619034269883,-0.03833378678186795,-41.33915566556646,0.293,0.217,0.3233,0.2327,15.0
NASDAQ,B,0.5,1:3,1.0,1212,1154,35.946666666666715,107.84000000000015,9,0.7136963696369637,0.7374350086655113,0.75,-0.9857447251699919,1941.1200000000026,647.0400000000009,-0.02720619034269883,-0.03833378678186795,-74.41048019801968,0.3812,0.3423,0.4093,0.3594,4.0
