ts,salida_ts,dir,entrada,sl,tp,riesgo_pips,motivo,pips,R
2025-08-21 17:45:00,2025-08-22 06:41:00,largo,23139.02,23041.742,23236.298000000003,97.27800000000207,SL,-98.77800000000207,-1.0154197249121073
2025-08-22 15:57:00,2025-08-22 16:14:00,corto,23516.31,23562.299,23470.321000000004,45.98899999999776,SL,-47.48899999999776,-1.0326164952488655
2025-08-25 04:06:00,2025-08-25 04:16:00,largo,23475.589,23471.221,23479.957,4.367999999998574,TP,2.867999999998574,0.6565934065932945
2025-08-26 03:30:00,2025-08-26 05:01:00,largo,23384.432,23372.409,23396.455,12.023000000001048,TP,10.523000000001048,0.8752391250104076
2025-08-26 08:30:00,2025-08-26 10:26:00,largo,23399.497,23371.753,23427.240999999998,27.743999999998778,TP,26.243999999998778,0.945934256055361
2025-08-26 12:39:00,2025-08-26 13:32:00,largo,23405.376,23371.653,23439.099000000002,33.723000000001775,TP,32.223000000001775,0.9555199715327841
2025-08-26 16:42:00,2025-08-26 17:10:00,corto,23474.732,23491.287,23458.177,16.55500000000029,TP,15.055000000000291,0.9093929326487482
2025-08-26 23:03:00,2025-08-26 23:36:00,corto,23548.665,23555.597,23541.733,6.9320000000006985,SL,-8.432000000000698,-1.216387766878224
2025-08-27 04:54:00,2025-08-27 05:07:00,corto,23550.665,23556.331,23544.999000000003,5.665999999997439,TP,4.165999999997439,0.7352629721142467
2025-08-27 12:39:00,2025-08-27 15:48:00,corto,23500.898,23555.789,23446.007,54.89099999999962,SL,-56.39099999999962,-1.027326884188665
2025-08-28 00:09:00,2025-08-28 00:18:00,largo,23452.299,23433.353,23471.245,18.945999999999913,SL,-20.445999999999913,-1.0791723846722268
2025-08-29 08:24:00,2025-08-29 08:51:00,largo,23619.131,23600.969,23637.293,18.162000000000262,SL,-19.662000000000262,-1.0825900231252052
2025-08-29 14:27:00,2025-08-29 14:52:00,largo,23445.029,23374.392,23515.665999999997,70.6369999999988,SL,-72.1369999999988,-1.0212353299262429
2025-08-31 23:18:00,2025-09-01 00:07:00,corto,23487.631,23499.088,23476.174000000003,11.456999999998516,SL,-12.956999999998516,-1.1309243257397394
2025-09-01 03:03:00,2025-09-01 03:23:00,largo,23429.036,23404.558,23453.514,24.477999999999156,SL,-25.977999999999156,-1.0612795163003534
2025-09-01 08:06:00,2025-09-01 08:32:00,largo,23426.529,23410.797,23442.261,15.731999999999971,TP,14.231999999999971,0.9046529366895498
2025-09-01 08:30:00,2025-09-01 11:31:00,largo,23439.231,23410.797,23467.665,28.434000000001106,SL,-29.934000000001106,-1.0527537455159295
2025-09-01 12:24:00,2025-09-01 13:21:00,largo,23424.131,23412.011,23436.251000000004,12.12000000000262,TP,10.62000000000262,0.876237623762403
2025-09-01 13:48:00,2025-09-01 23:20:00,largo,23439.772,23394.772,23484.772,45.0,SL,-46.5,-1.0333333333333334
2025-09-04 00:27:00,2025-09-04 02:03:00,corto,23455.536,23474.069,23437.003,18.532999999999447,SL,-20.032999999999447,-1.0809367074947416
2025-09-04 11:09:00,2025-09-04 11:23:00,corto,23468.381,23480.12,23456.642000000003,11.738999999997759,TP,10.238999999997759,0.8722208024533362
2025-09-04 11:45:00,2025-09-04 12:35:00,corto,23457.153,23480.12,23434.185999999998,22.967000000000553,TP,21.467000000000553,0.9346889014673243
2025-09-04 12:39:00,2025-09-04 13:33:00,corto,23434.414,23480.308,23388.52,45.89400000000023,SL,-47.39400000000023,-1.0326840109818276
2025-09-04 13:36:00,2025-09-04 14:16:00,corto,23440.186,23507.62,23372.752000000004,67.43399999999747,TP,65.93399999999747,0.9777560281163796
2025-09-04 15:30:00,2025-09-04 16:48:00,corto,23487.141,23512.671,23461.611,25.529999999998836,SL,-27.029999999998836,-1.0587544065804961
2025-09-04 23:54:00,2025-09-05 00:09:00,corto,23671.5,23680.279,23662.721,8.778999999998632,SL,-10.278999999998632,-1.170862284998318
