RA,nA,RB,nB,RC,nC,rgo,lado,anio
-1.0,-1.7619047619054098,0.0,-0.7619047619054098,0.0,-0.7619047619054098,2.0999999999982144,1,2020
-1.0,-1.2539682539682908,-1.0,-1.2539682539682908,-1.0,-1.2539682539682908,6.299999999999084,-1,2020
-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,0.8999999999992347,-1,2020
-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,0.8999999999992347,-1,2020
-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,-1.0,-2.7777777777792894,0.8999999999992347,-1,2020
-1.0,-3.2857142857138126,-1.0,-3.2857142857138126,-1.0,-3.2857142857138126,0.700000000000145,1,2020
-1.0,-3.2857142857138126,-1.0,-3.2857142857138126,-1.0,-3.2857142857138126,0.700000000000145,1,2020
-1.0,-1.3902439024390039,-1.0,-1.3902439024390039,-1.0,-1.3902439024390039,4.100000000000215,1,2020
-1.0,-1.3902439024390039,-1.0,-1.3902439024390039,-1.0,-1.3902439024390039,4.100000000000215,1,2020
-1.0,-1.3720930232558741,-1.0,-1.3720930232558741,-1.0,-1.3720930232558741,4.299999999999304,1,2020
-1.0,-1.3720930232558741,-1.0,-1.3720930232558741,-1.0,-1.3720930232558741,4.299999999999304,1,2020
2.0,0.6666666666680001,2.0,0.6666666666680001,1.6,0.2666666666680002,1.2000000000012,-1,2020
-1.0,-2.142857142856906,-1.0,-2.142857142856906,-1.0,-2.142857142856906,1.40000000000029,1,2020
-1.0,-2.333333333332,0.0,-1.3333333333319999,0.0,-1.3333333333319999,1.2000000000012,-1,2020
-1.0,-2.333333333332,0.0,-1.3333333333319999,0.0,-1.3333333333319999,1.2000000000012,-1,2020
-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,3.1000000000003247,-1,2020
-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,3.1000000000003247,-1,2020
-1.0,-1.8421052631582828,0.0,-0.8421052631582828,0.0,-0.8421052631582828,1.8999999999991246,1,2020
2.0,0.545454545455266,2.0,0.545454545455266,2.0,0.545454545455266,1.100000000000545,1,2020
2.0,0.545454545455266,2.0,0.545454545455266,2.0,0.545454545455266,1.100000000000545,1,2020
-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,-1.0,-1.5161290322580105,3.1000000000003247,1,2020
-1.0,-1.6956521739131873,-1.0,-1.6956521739131873,-1.0,-1.6956521739131873,2.2999999999995246,-1,2020
2.0,1.6279069767441259,2.0,1.6279069767441259,1.6,1.227906976744126,4.299999999999304,-1,2020
-1.0,-1.6956521739131873,0.0,-0.6956521739131873,0.0,-0.6956521739131873,2.2999999999995246,-1,2020
-1.0,-2.142857142856906,-1.0,-2.142857142856906,-1.0,-2.142857142856906,1.40000000000029,-1,2020
-1.0,-2.454545454544734,-1.0,-2.454545454544734,-1.0,-2.454545454544734,1.100000000000545,1,2020
-1.0,-1.6399999999997863,-1.0,-1.6399999999997863,-1.0,-1.6399999999997863,2.500000000000835,-1,2020
-1.0,-1.8421052631572987,-1.0,-1.8421052631572987,-1.0,-1.8421052631572987,1.900000000001345,1,2020
2.0,1.4999999999998062,0.0,-0.5000000000001938,0.0,-0.5000000000001938,3.1999999999987594,-1,2020
2.0,1.999955756559757e-12,0.0,-1.999999999998,0.0,-1.999999999998,0.8000000000008001,1,2020
