dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2025-04-17,690,0,0,0.733333333333357,0,0
2025-05-02,480,0,0,0.654867256637156,-1,0
2025-05-02,485,0,0,0.9159292035398591,0,0
2025-05-02,490,0,0,1.1460176991151212,0,0
2025-05-02,495,0,0,0.97345132743365,0,0
2025-05-02,500,0,0,1.4070796460177262,0,0
2025-05-02,505,0,0,1.5663716814160222,0,0
2025-05-02,510,0,0,1.5221238938054062,0,0
2025-05-02,515,0,0,1.544247787610665,0,0
2025-05-02,520,0,0,1.358407079646019,0,-1
2025-05-02,525,0,0,1.2610619469027031,0,-1
2025-05-02,530,0,0,1.3539823008850262,-1,1
2025-05-02,535,0,0,1.318584070796494,-1,1
2025-05-02,540,0,0,1.4601769911505242,-1,1
2025-05-02,545,0,0,1.500000000000049,1,0
2025-05-02,550,0,0,1.606194690265547,1,0
2025-05-02,555,0,0,1.433628318584076,1,-1
2025-05-02,560,0,0,1.526548672566399,-1,0
2025-05-02,565,0,0,1.225663716814171,-1,0
2025-05-02,570,0,0,1.243362831858437,-1,0
2025-05-02,575,0,0,1.411504424778817,0,1
2025-05-02,580,0,0,1.38938053097346,0,1
2025-05-02,585,0,0,1.561946902654931,0,0
2025-05-02,590,0,0,1.5973451327434633,0,0
2025-05-02,595,0,0,1.7699115044248361,0,0
2025-05-02,600,0,0,1.5575221238938401,0,-1
2025-05-02,605,0,0,1.4070796460177262,-1,0
2025-05-02,610,0,0,1.1991150442478211,-1,0
2025-05-02,615,0,0,1.079646017699148,-1,0
2025-05-02,620,0,0,1.185840707964646,0,0
2025-05-02,625,0,0,1.4159292035399083,0,0
2025-05-02,630,0,0,1.4513274336283422,0,0
2025-05-02,635,0,0,1.659292035398247,0,0
2025-05-02,640,0,0,1.632743362831897,0,0
2025-05-02,645,0,0,1.6637168141593381,0,0
2025-05-02,650,0,0,1.747787610619479,0,0
2025-05-02,655,0,0,1.7168141592921362,0,0
2025-05-02,660,0,0,1.734513274336304,0,0
2025-05-02,665,0,0,1.632743362831897,0,0
2025-05-02,670,0,0,1.672566371681422,0,1
