fam,N,S,per,etiq,n,R,t,sharpe,lo,hi,tb
B,5,2.0,ajuste,real,812,0.005469374587968686,0.4476906524130399,0.24940220129563334,-0.021976933254895442,0.03373958382030118,0.382780188116474
B,5,2.0,fuera,real,536,-0.007728254563199938,-0.5107879219541807,-0.3502341538330988,-0.027349045157713775,0.013645648944841209,-0.7362167470494005
B,5,3.0,ajuste,real,812,0.004021229116580601,0.49539607431753346,0.2759782246559349,-0.014431463556259953,0.02186580662564165,0.429850472892618
B,5,3.0,fuera,real,536,-0.007416636293155611,-0.7079150766490393,-0.4853991787967732,-0.021115623054669415,0.006437655201789551,-1.0507940259259119
B,5,5.0,ajuste,real,812,0.0024127374699483618,0.4953960743175337,0.275978224655935,-0.008391729181068074,0.013346619601218334,0.43115991228873324
B,5,5.0,fuera,real,536,-0.004367596789101985,-0.6955301470130101,-0.4769071507653307,-0.012737637831221664,0.003998885031197111,-1.0077835190797289
B,10,1.0,ajuste,real,812,0.008762090164917474,0.37201202201223693,0.2072426947004736,-0.03597707376843904,0.06030268499895303,0.35552289382446733
B,10,1.0,fuera,real,536,-0.0025139996209860155,-0.08714658950855096,-0.05975417727027941,-0.03294762133163004,0.034514411711233345,-0.14589168273586467
B,10,2.0,ajuste,real,812,0.004260788728515895,0.3495198339631515,0.19471261130212333,-0.01965312087881247,0.028051577293374236,0.35304244036562515
B,10,2.0,fuera,real,536,-0.0060401709323087095,-0.39635976996807293,-0.271773710147951,-0.020845944589914622,0.012110920490683429,-0.7121457057841329
B,10,3.0,ajuste,real,812,0.0030789382294272175,0.37944303309085636,0.2113824070461986,-0.011638683437965465,0.01890959793540096,0.388894740252486
B,10,3.0,fuera,real,536,-0.006174044793646796,-0.5862305370237293,-0.4019632165539862,-0.016429342020336652,0.006195462876126318,-1.0682102716313204
B,10,5.0,ajuste,real,812,0.001847362937656329,0.37944303309085614,0.21138240704619846,-0.007466740449108443,0.01179953477628715,0.3859949023280669
B,10,5.0,fuera,real,536,-0.0034234531808366073,-0.5446333584766548,-0.37344110002753905,-0.009865642610936089,0.0041832253048440324,-0.9500556657178765
B,20,1.0,ajuste,real,812,0.003695305144778454,0.1567799288758597,0.08733990573593073,-0.04926500940269153,0.046261203686365805,0.15295062861310105
B,20,1.0,fuera,real,536,-0.00772773759701687,-0.2556161977134785,-0.17526945893651133,-0.05851787475085452,0.04426295067912176,-0.29548006758006995
B,20,2.0,ajuste,real,812,0.002924671464310901,0.24058318537830428,0.13402552790560973,-0.021924918215413217,0.02396217755658835,0.246445004098424
B,20,2.0,fuera,real,536,-0.004766621611931126,-0.304861921160401,-0.20903598617808314,-0.030242250211603428,0.019606146197501687,-0.37520381967564015
B,20,3.0,ajuste,real,812,0.0018375071033131347,0.22583784620183114,0.1258111056708782,-0.01521398217180649,0.01541636149446561,0.23438411820278462
B,20,3.0,fuera,real,536,-0.0036543081600299543,-0.3467450683176268,-0.2377541840327967,-0.01985748017780325,0.012973576418499692,-0.4291642559631333
